COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	dʒ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ tʃ i l a							
125-1	b e n ŋ ɾ a							
162-1	l e s i							
171-1	tʃ o m ʃ a							
219-1	t a ŋ p u							
247-1	p a ŋ l u ŋ							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m b u							
397-1	g a m d i							
406-1	kʰ a tʃ u tʃ							
426-1	m Ø k p a							
473-1	pʰ i n a ŋ							
499-1	z a m Ø n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t a ŋ							
599-1	g o i tʰ a m							
608-1	b a n tʰ u							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	n i ɾ i							
690-1	m i ŋ							
708-1	tʰ a tʃ ɾ i ŋ b u							
717-1	dʒ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p s i							
881-1	l a m							
890-1	r a Ø a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ɾ a ŋ							
980-1	w a ɾ o ŋ							
998-1	pʰ e i							
1022-1	tʃ dʒ a tʰ u r							
1031-1	b i n a ŋ kʰ u k a tʃ							
1069-1	tʃ o w ŋ tʃ tʃ z a							
1079-1	ʃ a Ø a							
1098-1	j a ŋ b tʃ u							
1117-1	tʃʰ u n							
1141-1	ɾ i n b u							
1189-1	m a n							
1198-1	n u tʃ tʃ							
1208-1	z a l tʃ tʃ a							
1217-1	l a n i tʃ							
1253-1	a m a							
1271-1	n o Ø a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ b a							
1343-1	b i i n a ŋ							
1361-1	j e n a ŋ tʃ tʃ							
1370-1	n a k u							
1388-1	m a n b a							
1397-1	tʰ u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p tʃ tʃ a r tʃ tʃ							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b a d a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u d̪ j a ŋ b a							
1529-1	tʃʰ a l u							
1538-1	s o l u							
1557-1	tʃ o i d u ŋ							
1618-1	i ɲ tʃʰ a							
1663-1	z u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m tʃ							
1742-1	m u g i							
1751-1	b u ʃ i l a							
1778-1	z a							
1787-1	tʃʰ u r p u							
1823-1	l e m							
1832-1	k a r m a							
1842-1	l u ŋ							
1860-1	ŋ a m tʃ tʃ tʃ							
1869-1	ʃ u p t a ŋ							
1888-1	ʃ a m p i							
1897-1	s e							
1932-1	ɾ i n a ŋ s a p l a tʃ							
1950-1	z u							
1968-1	t o ŋ t tʃ tʰ ŏ ɾ							
1978-1	k u t p a tʃ							
1987-1	s a m							
2015-1	ŋ a m k ŏ n							
2118-1	m o ŋ ʃ tʃ o tʃ							
2238-1	ŋ a r ʃ ŏ n							
2507-1	tʰ i n u ŋ							
2526-1	l e tʃ							
2535-1	ʃ a tʃ							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ e tʰ u ɾ							
2578-1	n i tʃ i ŋ							
2596-1	d u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i tʃ tʃ							
2719-1	ɾ i d i							
2728-1	k o tʃ u ŋ							
2747-1	n i ŋ tʃ tʃ							
2756-1	s e r b u							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ dʒ i l a						
125-2		b i j ŋ ɾ a						
162-2		l e i s i						
171-2		o m ʃ a						
219-2		t a ŋ p u						
247-2		tʃʰ a ŋ l u ŋ						
282-2		l u s p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b a t i						
363-2		n i m b u						
397-2		g a m d i						
406-2		kʰ a u						
426-2		m u k p a						
473-2		pʰ i n a ŋ						
499-2		z a m i n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		k o t a ŋ						
599-2		g o i tʰ a m						
608-2		b a n tʰ o						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u r						
672-2		t o ŋ p a						
681-2		n i ɾ i						
690-2		m i ŋ						
708-2		tʰ a r i ŋ b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a p a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		p s i						
881-2		l a m						
890-2		r a w a						
899-2		s e r						
926-2		tʰ a m						
944-2		g a ɾ a ŋ						
