COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	z a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ							
125-1	b e ŋ a							
162-1	l e							
171-1	r o w a							
219-1	t a ŋ p u							
247-1	tʃ a ŋ l u							
282-1	l u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u w i							
363-1	n a m u							
397-1	g a m							
406-1	kʰ a m u ŋ							
426-1	m a n							
473-1	pʰ i n a ŋ							
499-1	z a m l a							
526-1	g a ɾ a							
544-1	kʰ u							
553-1	k o ŋ							
599-1	g o i t a m							
608-1	b a n							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	ɾ i							
690-1	m i ŋ							
708-1	tʰ a ŋ p u							
717-1	tʃ o k p u							
726-1	s i							
744-1	a w a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o ŋ n a ŋ							
836-1	s i							
881-1	l a m							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ						
125-2		b e n a ŋ						
162-2		l e i						
171-2		ʃ o m ʃ a						
219-2		t a ŋ p u						
247-2		tʃʰ a ŋ l u						
282-2		l u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b i						
363-2		n a m b u						
397-2		g a m						
406-2		kʰ a m						
426-2		m u t p a						
473-2		pʰ i n a ŋ						
499-2		z a m						
526-2		g a ɾ a						
544-2		kʰ u						
553-2		k o t p a ŋ						
599-2		g o i t a m						
608-2		b a n u						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ b u						
672-2		t o ŋ p a						
681-2		ɲ i						
690-2		m i ŋ						
708-2		tʰ a ɾ i ŋ b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a w a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o n a ŋ						
836-2		s i						
881-2		l a m						
10-3			dʒ a ŋ					
37-3			n a n					
46-3			n a n					
98-3			kʰ a ŋ					
125-3			b e ɾ a ŋ					
162-3			l e					
171-3			b o g a					
219-3			t a ŋ p u					
247-3			tʃʰ a ŋ l u					
