COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	dʒ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ k a l a							
125-1	b e ŋ r a							
162-1	l e s i							
171-1	ʃ o w a ŋ							
219-1	t a ŋ p u							
247-1	tʃ a ŋ l u							
282-1	l u b p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m i ŋ							
363-1	n a m u ŋ							
397-1	g a m l a							
406-1	kʰ a m u ŋ							
426-1	m u k p a							
473-1	pʰ i n a ŋ							
499-1	z a m l a							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t k a ŋ							
599-1	g o i d i ŋ							
608-1	b a n d i							
617-1	j e n							
645-1	a n a ŋ							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	ɲ i n i							
690-1	m i ŋ							
708-1	tʰ a ɾ a ŋ b u							
717-1	dʒ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o ŋ n a ŋ							
836-1	p a i pʰ i							
881-1	l a m							
10-2		dʒ a ŋ						
37-2		n a w i						
46-2		n a w i						
98-2		kʰ a ŋ l a						
125-2		b i j a ŋ b a						
162-2		l e i						
171-2		o m a n						
219-2		t a ŋ p u						
247-2		tʃʰ a ŋ l u						
282-2		l u s p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b a						
363-2		n a m b u						
397-2		g a m pʰ i						
406-2		kʰ a m						
426-2		m u k p a						
473-2		pʰ i n a ŋ						
499-2		z a m						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		k o t t a ŋ						
599-2		g o i tʰ u m						
608-2		b a n d a						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u r						
672-2		t o ŋ p a						
681-2		ɲ i ŋ						
690-2		m i ŋ						
708-2		tʰ a ɾ i ŋ b u						
717-2		dʒ o k tʃ u						
726-2		s i j a						
744-2		a w a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o n n a ŋ						
836-2		s i j a						
881-2		l a m						
10-3			dʒ a ŋ					
37-3			n a n					
46-3			n a n					
98-3			kʰ a ŋ dʒ i l a					
125-3			b e ŋ n a					
162-3			l e					
171-3			o m n a					
219-3			t a ŋ p u z a					
247-3			tʃʰ a ŋ l u					
282-3			l u s u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			m ŭ dʒ a m b i					
363-3			n a m s u					
397-3			g a m					
406-3			kʰ a u					
426-3			m ŭ p a					
473-3			pʰ i n a ŋ					
499-3			z a m b i					
526-3			g a ɾ a ŋ					
544-3			kʰ u					
553-3			k o w a ŋ					
599-3			g o i n a ŋ					
608-3			b a n u l o					
617-3			j e n					
645-3			a m a					
663-3			s o ŋ tʰ u r					
672-3			t o ŋ p a					
681-3			n i z i					
690-3			m i n					
708-3			tʰ a r b u					
717-3			dʒ o k p u					
726-3			s i					
744-3			a a p a					
782-3			m i					
791-3			ŋ a					
800-3			ŋ a					
809-3			m o n n a ŋ					
836-3			s i					
881-3			l a m					
10-4				z a ŋ				
37-4				n a n				
46-4				n a n				
98-4				kʰ a n t i				
125-4				b i n a ŋ				
162-4				l i				
171-4				r o m a				
219-4				t a ŋ p u				
247-4				tʃʰ a ŋ pʰ u				
282-4				l u k p u				
292-4				kʰ a m				
301-4				l i				
354-4				m u g a				
363-4				n a m s u				
397-4				g ă z a				
406-4				kʰ a				
426-4				m u g a				
473-4				pʰ i n a ŋ				
499-4				z a m p i				
526-4				g ă z a				
544-4				kʰ u				
553-4				k o t tʃʰ a m				
599-4				g o i t p a				
608-4				b a n i ŋ				
617-4				j e n				
645-4				a n a				
663-4				s o ŋ tʰ u r				
672-4				t o ŋ p a				
681-4				ɲ i ɾ i				
690-4				m i n				
708-4				pʰ a i b u				
717-4				tʃʰ a p t e n				
726-4				s i				
744-4				a p a				
782-4				m i				
791-4				ŋ a				
800-4				ŋ a				
809-4				m o n a ŋ				
836-4				p i				
881-4				l a m				
10-5					dʒ a ŋ			
37-5					n a n			
46-5					n a n			
98-5					kʰ a ɲ i l a			
125-5					b i ŋ b a			
162-5					l e i			
171-5					m o ŋ ʃ a			
219-5					t a ŋ p u			
247-5					tʃ a ŋ l u			
282-5					l u s p u			
292-5					kʰ a ŋ			
301-5					l i			
354-5					m u ŋ b a			
363-5					n a m b u			
397-5					g a m d i			
406-5					kʰ a u			
426-5					m u d̪ b a			
473-5					pʰ i n a ŋ			
499-5					z a m kʰ ə n			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					k o t a ŋ			
599-5					g o i d a m			
608-5					b a n d a			
617-5					j e n			
645-5					a n a			
663-5					s o ŋ tʰ u r			
672-5					t o ŋ p a			
681-5					ɲ i ɲ i			
690-5					m i ŋ			
