COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	ŋ a dʒ							
37-1	a n n							
46-1	a n n							
98-1								
125-1								
162-1								
171-1								
219-1								
247-1								
282-1								
292-1	ŋ a kʰ							
301-1	i l							
354-1								
363-1								
397-1								
406-1	u a kʰ							
426-1								
473-1								
499-1								
526-1								
544-1	u kʰ							
553-1								
599-1								
608-1								
617-1	j e n							
645-1	a a n							
663-1								
672-1								
681-1								
690-1	ŋ i m							
708-1								
717-1								
726-1	i s							
744-1	a a p							
782-1	i m							
791-1	a ŋ							
800-1	a ŋ							
809-1								
836-1	i s p							
881-1	m a l							
890-1								
899-1	r e s							
926-1	m a tʃ							
944-1								
953-1								
980-1								
998-1	e pʰ							
1022-1								
1031-1								
1069-1								
1079-1								
1098-1								
1117-1	n tʃ u							
1141-1								
1189-1	n a m							
1198-1	u n							
1208-1								
1217-1								
1253-1	a a m							
1271-1								
1289-1	ŋ i m							
1316-1	ŋ ŋ a							
1325-1	m a kʰ							
1334-1								
1343-1								
1361-1								
1370-1	a n kʰ							
1388-1								
1397-1	r u tʰ							
1406-1	o ŋ tʃ							
1424-1								
1433-1								
1442-1	m a l							
1451-1								
1468-1								
1477-1	a ŋ s							
1502-1								
1511-1								
1529-1								
1538-1								
1557-1								
1618-1								
1663-1	m u z							
1689-1	i o ŋ							
1698-1	ŋ u kʰ							
1707-1								
1716-1	a ŋ m							
1742-1	i u m							
1751-1								
1778-1	a z							
1787-1								
1823-1	e l m							
1832-1								
1842-1	ŋ u l							
1860-1	a ŋ m							
1869-1								
1888-1								
1897-1	e s							
1932-1								
1950-1	u z							
1968-1								
1978-1								
1987-1	m a s							
2015-1								
2118-1								
2238-1								
2507-1								
2526-1	e l							
2535-1	a ʃ							
2544-1	ŋ i ʃ							
2560-1								
2569-1								
2578-1								
2596-1	ŋ u d							
2615-1	i ɾ							
2663-1								
2690-1	i s							
2719-1								
2728-1								
2747-1	ŋ i ɲ							
2756-1								
2774-1								
19-1								
28-1								
89-1								
107-1								
190-1								
229-1	a kʰ							
257-1								
338-1								
436-1								
483-1	a w							
535-1								
571-1								
699-1								
845-1	o k ɾ							
971-1								
1049-1	u b							
1161-1	m a							
1180-1	a ʃ							
1226-1								
1235-1								
1280-1								
1352-1	u g							
1379-1	i s							
1415-1	a ɾ							
1636-1								
1654-1	i l							
1680-1								
1725-1								
2127-1								
2181-1	i d̪							
2366-1								
2672-1								
2681-1								
55-1								
80-1								
116-1								
210-1	i o g							
319-1								
453-1								
508-1	a ŋ m							
754-1								
764-1								
827-1	i bʱ							
1244-1								
1460-1	o s ŋ							
1734-1								
2033-1								
2172-1	i m							
2209-1								
2256-1								
2517-1								
2654-1	b o ŋ							
2737-1								
415-1	u a kʰ							
1013-1								
1150-1								
1584-1								
10-2		a ŋ dʒ						
37-2		n a n						
46-2		n a n						
98-2								
125-2								
162-2								
171-2								
219-2								
247-2								
282-2								
292-2		kʰ a ŋ						
301-2		i l						
354-2								
363-2								
397-2								
406-2		a kʰ u						
426-2								
473-2								
499-2								
526-2								
544-2		u kʰ						
553-2								
599-2								
608-2								
617-2		n e j						
645-2		a n a						
663-2								
672-2								
681-2								
690-2		ŋ i i						
708-2								
717-2								
726-2		i s						
744-2		a p a						
782-2		i m						
791-2		a ŋ						
800-2		a ŋ						
809-2								
836-2		i p s						
881-2		l a m						
890-2								
899-2		r e s						
926-2		a m tʃ						
944-2								
953-2								
980-2								
998-2		o i pʰ						
1022-2								
1031-2								
1069-2								
1079-2								
1098-2								
1117-2		n tʃ u						
1141-2								
1189-2		m a n						
1198-2		u n						
1208-2								
1217-2								
1253-2		a m a						
1271-2								
1289-2		n i i						
1316-2		ŋ a ŋ						
1325-2		kʰ a m						
1334-2								
1343-2								
1361-2								
1370-2		a k n						
1388-2								
1397-2		ɾ u tʰ						
1406-2		ŋ tʃ o						
1424-2								
1433-2								
1442-2		l a m						
1451-2								
1468-2								
1477-2		a s ŋ						
1502-2								
1511-2								
1529-2								
1538-2								
1557-2								
1618-2								
1663-2		m u z						
1689-2		i ŋ o						
1698-2		kʰ u ŋ						
1707-2								
1716-2		a m ŋ						
1742-2		e m u						
1751-2								
1778-2		u z						
1787-2								
1823-2		e m l						
1832-2								
1842-2		ŋ u l						
1860-2		a m ŋ						
1869-2								
1888-2								
1897-2		e s						
1932-2								
1950-2		u z						
1968-2								
1978-2								
1987-2		n s a h̥						
2015-2								
2118-2								
2238-2								
2507-2								
2526-2		e l						
2535-2		a ʃ						
2544-2		ŋ i ʃ						
2560-2								
2569-2								
2578-2								
2596-2		d u ŋ						
2615-2		i ɾ						
2663-2								
2690-2		i s						
2719-2								
2728-2								
2747-2		ŋ i ɲ						
2756-2								
2774-2								
19-2								
28-2								
89-2								
107-2								
145-2								
190-2								
229-2		u kʰ						
257-2								
338-2								
436-2								
483-2		u w						
571-2								
699-2								
845-2		k o ɾ						
971-2								
1161-2		m u						
1180-2		a ʃ						
1235-2								
1280-2								
1307-2								
1352-2		u g						
1379-2		i s						
1415-2		u ɾ						
1636-2								
1654-2		i l						
1680-2								
1725-2								
2127-2								
2181-2		e tʰ						
2366-2								
2672-2								
2681-2								
55-2								
80-2								
116-2								
154-2		i ʃ						
181-2								
210-2		i o g						
267-2		i dʒ						
319-2								
389-2								
453-2								
508-2		a m ŋ						
563-2								
764-2								
819-2								
918-2								
1244-2								
1460-2		i ŋ s o						
1487-2								
1521-2		u tʃʰ						
2033-2								
2209-2								
2256-2								
2517-2								
2654-2		ŋ o b						
2737-2								
329-2								
464-2								
581-2								
591-2								
627-2								
655-2								
873-2								
909-2								
990-2		o tʃ						
1013-2								
1133-2		u j						
1584-2								
10-3			dʒ a ŋ					
37-3			n n a					
46-3			n n a					
98-3								
125-3								
162-3								
171-3								
219-3								
247-3								
282-3								
292-3			kʰ a ŋ					
301-3			i w					
354-3								
363-3								
397-3								
406-3			a kʰ u					
426-3								
473-3								
499-3								
526-3								
544-3			u kʰ					
553-3								
599-3								
608-3								
617-3			e n j					
645-3			a a n					
663-3								
672-3								
681-3								
690-3			m i ŋ					
708-3								
717-3								
726-3			i s					
744-3			a a p					
782-3			i m					
791-3			a ŋ					
800-3			a ŋ					
809-3								
836-3			i s p					
881-3			a m l					
890-3								
899-3			r e s					
926-3			a b tʃ					
944-3								
953-3								
980-3								
998-3			pʰ e i					
1022-3								
1031-3								
1069-3								
1079-3								
1098-3								
1117-3			o u tʃ					
1141-3								
1189-3			n a m					
1198-3			u o					
1208-3								
1217-3								
1253-3			a a m					
1271-3								
1289-3			m i ŋ					
1316-3			ŋ ŋ a					
1325-3			m a kʰ					
1334-3								
1343-3								
1361-3								
1370-3								
1388-3								
1397-3			r u tʰ					
1406-3			tʃ o ŋ					
1424-3								
1433-3								
1442-3			a m l					
1451-3								
1468-3								
1477-3			ŋ a s					
1502-3								
1511-3								
1529-3								
1538-3								
1557-3								
1618-3								
1663-3			m u z					
1689-3			ŋ o i					
1698-3			kʰ u ŋ					
1707-3								
1716-3			a m ŋ					
1742-3								
1751-3								
1778-3			a z					
1787-3								
1823-3			l e m					
1832-3								
1842-3			l u ŋ					
1860-3			m a ŋ					
1869-3								
1888-3								
1897-3			e s					
1932-3								
1950-3			u z					
1968-3								
1978-3								
1987-3			m a s					
2015-3								
2118-3								
2238-3								
2507-3								
2526-3			e l					
2535-3			o ʃ					
2544-3			i ŋ ʃ					
2560-3								
2569-3								
2578-3								
2596-3			d u ŋ					
2615-3			i ɾ					
2663-3								
2690-3			i s					
2719-3								
2728-3								
2747-3			a ŋ i					
2756-3								
2774-3								
89-3								
107-3								
145-3								
190-3								
229-3			a kʰ					
257-3								
436-3								
483-3			a w					
535-3								
699-3								
845-3			k ɾ o					
971-3								
1049-3			u b					
1161-3			m o					
1180-3			a ʃ					
1226-3								
1235-3								
1280-3								
1307-3								
1352-3			u g					
1379-3			i s					
1415-3			a ɾ					
1636-3								
1654-3			i w					
1725-3								
2127-3								
2181-3			e d̪					
2366-3								
2672-3								
2681-3								
116-3								
154-3			i ʃ					
181-3								
210-3			g i o					
267-3			i dʒ					
389-3								
563-3								
637-3			u a					
764-3								
819-3								
