COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10								dʒ a ŋ
19		n a ʃ k i p a -						
28								n a ʃ - i b a k
46					n a n			
55						d a ʃ i b a p		
89						g a ŋ p u		
162		l e i s i						l e i s i
190					p u tʃ i			
219						t a ŋ p u		
229								kʰ a
247			tʃʰ a ŋ l u Ø					
282			l u s p u	l u s p u				l u s p u
292		kʰ a ŋ			kʰ a ŋ			kʰ a ŋ
319					pʰ o t - a n		pʰ o t - a n	
338				b r u ŋ				
354							m u m b a t i	
426		m u k p a			m u k p a	m u k p a		m u k p a
436					z u p u		z u l u	
453		tʃ a ŋ p u						
499				z a m Ø n		z a m ĭ n		
526			g a ʃ a					
544		kʰ u	kʰ u		kʰ u		kʰ u	
553					k o t a ŋ	k o t a ŋ		
571					g e l e n d i			
608					b a n tʰ o		b a n tʰ o	
617					j e n	j e n		j e n
645						a n a		
672				t o ŋ p a				
681				ɲ i ɾ i	Ø i ɾ i		ɲ i ɾ i	
690			m i ŋ			m i ŋ		
699						d o ŋ p a		
717				ŋ o k p u	dʒ o k p u		dʒ o k p u	
726				s i	s i	s i		
782					m i		m i	
800		n a		ŋ a	ŋ a			ŋ a
827				b i n				
836						p a s i		
881								l a m
890		r a Ø a						
944								g a ɾ a ŋ
953					ʃ - a ɾ a ŋ			
971						tʃ i t p u		
980					m a ɾ u ŋ	Ø a ɾ o ŋ		
998			Ø a n i		pʰ a a i			
1022				k j a tʰ u r			n dʒ a tʰ u r	
1098		j a ŋ - - - u				j a ŋ b k k u		
1208			z a l - - a					
1217						l a n i a a a		
1226			l a Ø i ŋ					
1244			k a r o ŋ tʃ u n Ø a					
1253							a m a	
1271		n o - a ŋ			n o Ø a ŋ	n o a a ŋ		
1316				ŋ a ŋ			ŋ a ŋ	
1325		kʰ a m						
1334			s i ŋ - a		s i ŋ p i	s i ŋ - a		
