ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_SUBGROUP
1	1_1stpl	1st pl.	MonpaKalaktang	Monpa Kalaktang	aiba	aiba	a i b a	kala1376	27.104162	92.113017	Tshanglic	7 7 1 7	XYBZ	AIPA	4	4.A.V 4.I.V 4.P.C 4.A.V	1.5 1.3 1.75 0.8	aiba	0	4
2	1_1stpl	1st pl.	MonpaBalemu	Monpa Balemu	dʒam	dʒam	dʒ a m	kala1376	26.964717	92.164581	Tshanglic	1 7 4	AXN	TAM	1	1.T.C 1.A.V 1.M.c	2.0 1.5 0.8	dʒam	0	1
3	1_1stpl	1st pl.	MonpaTomko	Monpa Tomko	dʒaŋ	dʒaŋ	dʒ a ŋ	kala1376	27.16536	92.23077	Tshanglic	1 7 4	AXN	TAN	8	8.T.C 8.A.V 8.N.c	2.0 1.5 0.8	dʒaŋ	0	5
4	1_1stpl	1st pl.	MonpaNamsu	Monpa Namsu	aʃi	aʃi	a ʃ i	kala1376	27.359505	92.34921	Tshanglic	7 3 7	XBZ	ASI	5	5.A.V 5.S.C 5.I.V	1.5 1.75 0.8	aʃi	0	2
5	1_1stpl	1st pl.	MonpaTembang	Monpa Tembang	aʃi	aʃi	a ʃ i	tsha1245	27.333876	92.40513	Tshanglic	7 3 7	XBZ	ASI	7	7.A.V 7.S.C 7.I.V	1.5 1.75 0.8	aʃi	0	2
6	1_1stpl	1st pl.	MonpaDirangDum	Monpa Dirang Dum	aɕigaŋpo	aɕigaŋpo	a ɕ i g a ŋ p o	tsha1245	27.334341	92.293734	Tshanglic	7 3 7 1 7 4 1 7	XBYBYMBZ	ASIKANPU	3	3.A.V 3.S.C 3.I.V 3.K.C 3.A.V 3.N.c 3.P.C 3.U.V	1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	aɕigaŋpo	0	3
7	1_1stpl	1st pl.	MonpaSangti	Monpa Sangti	dʒaŋ	dʒaŋ	dʒ a ŋ	tsha1245	27.402266	92.314934	Tshanglic	1 7 4	AXN	TAN	6	6.T.C 6.A.V 6.N.c	2.0 1.5 0.8	dʒaŋ	0	5
8	1_1stpl	1st pl.	MonpaDirang	Monpa Dirang	aʃi	aʃi	a ʃ i	tsha1245	27.34959	92.27914	Tshanglic	7 3 7	XBZ	ASI	2	2.A.V 2.S.C 2.I.V	1.5 1.75 0.8	aʃi	0	2
9	1_1stpl	1st pl.	MonpaTawangMonastery	Monpa Tawang Monastery	ŋataŋ	ŋataŋ	ŋ a t a ŋ	dakp1242	27.586829	91.85796	Takpa
10	1_1stpl	1st pl.	MonpaZimithang	Monpa Zimithang	ɲi	ɲi	ɲ i	dakp1242	27.335901	92.306528	Takpa
11	1_1stpl	1st pl.	MonpaChangprong	Monpa Changprong	ŋadaŋ	ŋadaŋ	ŋ a d a ŋ	dakp1242	27.578928	91.876393	Takpa
3411	1_1stpl	1st pl.	SartangKhoitam	Sartang Khoitam	khət̪he	khət̪he	kʰ ə t̪ʰ e	khoi1252	27.358518	92.438415	Khobwa
3412	1_1stpl	1st pl.	ChugParchu	Chug Parchu	gaɾkaŋpu	gaɾkaŋpu	g a ɾ k a ŋ p u	chug1252	27.420054	92.234173	Khobwa
