COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁵⁵								
452-1	t ɯ ³¹								
4342-1	t ɯ ³¹								
4344-1	tsʰ ɯ ³¹								
5487-1	t ɯ ³¹								
1401-1	pʰ ɔ ⁴⁴								
6496-1	tsʰ ɯ ³¹								
1064-1	l a ³⁵								
1065-1	ts ɿ ³³								
6617-1	t ɔ ³³								
4367-1	t a ²¹								
4378-1	ɕ y ⁵⁵								
4379-1	l i ⁵⁵								
3984-1	s ɛ ³³								
5086-1	ts ɤ ³³								
3333-1	s e ⁴⁴								
2226-1	x e ³⁵								
2373-1	kʰ ɔ ³³								
2363-1	s o ⁵⁵								
672-1	tsʰ Ø ⁵⁵								
673-1	k ɯ ³¹								
2690-1	p ɔ ³³								
6337-1	p a ⁴⁴								
6319-1	ts e ⁴²								
2617-1	s ɯ ³³								
2066-1	s ɯ ³³								
2094-1	s ɯ ³³								
2096-1	k ɛ ⁴⁴								
798-1	p a ⁴²								
6668-1	ɕ y ³³								
4028-1	t e ⁴⁴								
6555-1	k w a ⁴⁴								
2281-1	k e ⁴⁴								
701-1	k w a ⁴⁴								
628-1	s w a ⁴⁴								
3096-1	ts ɿ ³³								
3021-1	ts o ²¹								
2708-1	ɕ i ⁵⁵								
3462-1	k a ⁵⁵								
1932-1	s ɿ ³³								
6469-1	s ɿ ³¹								
4454-1	ɲ i ²¹								
4455-1	k ɛ ³⁵								
6926-1	j ɤ ³³								
6927-1	ɲ i ²¹								
3916-1	m ɔ ³³								
6822-1	ɲ i ³¹								
5417-1	ts ɿ ³³								
1959-1	x ɔ ³¹								
1960-1	t ɤ ³⁵								
2899-1	x ɔ ²¹								
3651-1	ts ɿ ³³								
811-1	k u ²¹								
1633-1	m e ²¹								
1775-1	k e ²¹								
5801-1	k ɛ ⁴²								
4769-1	l ɔ ³¹								
3720-1	k a ³⁵								
6446-1	m e ³³								
1255-1	pʰ ɛ ⁵⁵								
3595-1	ɲ i ⁴⁴								
1600-1	p e ³³								
242-1	ts ɿ ³⁵								
3739-1	k ɛ ²¹								
