COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁴⁴								
452-1	t ɯ ²¹								
4342-1	t ɯ ²¹								
4344-1									
5487-1	t ɯ ²¹								
1401-1									
6496-1									
1064-1	l a ⁵⁵								
1065-1	j i ³¹								
6617-1	t u ²¹								
4367-1	t a ²¹								
4378-1	ɕ y ⁵⁵								
4379-1	l i ⁵⁵								
3984-1	s a ²¹								
5086-1									
3333-1	s e ⁴⁴								
2226-1	x u ³⁵								
2373-1									
2363-1	s ɔ ⁴⁴								
672-1									
673-1	k ɯ ²¹								
2690-1	p ɯ ²¹								
6337-1	p a ⁴⁴								
6319-1									
2617-1	ʂ ɯ ³³								
2066-1	ʂ ɯ ³³								
2094-1	ʂ ɯ ³³								
2096-1	k ɛ ⁴⁴								
798-1	p a ⁴²								
6668-1	ɕ i ³³								
4028-1	t e ⁴⁴								
6555-1									
2281-1	k u ³⁵								
701-1									
628-1									
3096-1									
3021-1	t a ²¹								
2708-1	ɕ i ⁵⁵								
3462-1	k a ³⁵								
1932-1	s ɿ ³³								
6469-1	s ɿ ³¹								
4454-1	ɲ i ²¹								
4455-1	k ɛ ³⁵								
6926-1	n ɤ ³³								
6927-1	ɲ i ²¹								
3916-1	m u ³³								
6822-1	n i ²¹								
5417-1									
1959-1	x ɔ ³¹								
1960-1	t ɤ ³⁵								
2899-1	x ɔ ²¹								
3651-1	tsʰ ɿ ⁵⁵								
811-1	k u ²¹								
1633-1	m e ²¹								
1775-1	k u ²¹								
5801-1	kʲ ɛ ⁴²								
4769-1	l ɔ ²¹								
3720-1	k a ³⁵								
6446-1	m e ³³								
1255-1									
3595-1	j i ⁴⁴								
1600-1	p e ³³								
242-1									
3739-1	k a ²¹								
5984-1	j a ²¹								
838-1	ʂ ɔ ³⁵								
839-1	t u ²¹								
3149-1	j i ⁵⁵								
2829-1									
4602-1									
5225-1	l ɔ ²¹								
