)0.10 - baseline
Language               ED    ED (Normalized)    B-Cubed FS
------------------  -----  -----------------  ------------
ClassicalNahuatl    4.333              0.599         0.494
JalupaNahuat        3.917              0.576         0.472
MecayapanNahuat     3.500              0.502         0.555
NorthPueblaNahuatl  3.083              0.453         0.516
PajapanNahuat       3.333              0.560         0.566
Pipil               4.083              0.624         0.544
Pochutec            4.250              0.700         0.442
ProtoAztecan        4.500              0.618         0.554
TetelcingoNahuatl   2.250              0.319         0.616
TOTAL               3.694              0.550         0.529
)0.10 - BiNMT
Language               ED    ED (Normalized)    B-Cubed FS
------------------  -----  -----------------  ------------
ClassicalNahuatl    4.857              0.802         0.439
JalupaNahuat        3.571              0.803         0.500
MecayapanNahuat     4.143              0.716         0.500
NorthPueblaNahuatl  2.714              0.470         0.551
PajapanNahuat       4.429              0.850         0.567
Pipil               3.429              0.709         0.501
Pochutec            4.571              0.799         0.475
ProtoAztecan        3.333              0.694         0.637
TetelcingoNahuatl   3.857              0.565         0.562
TOTAL               3.878              0.712         0.526
)0.10 - MNMT
Language               ED    ED (Normalized)    B-Cubed FS
------------------  -----  -----------------  ------------
ClassicalNahuatl    4.571              0.683         0.523
JalupaNahuat        4.143              0.733         0.522
MecayapanNahuat     3.571              0.710         0.538
NorthPueblaNahuatl  3.429              0.555         0.502
PajapanNahuat       4.571              0.815         0.571
Pipil               3.286              0.741         0.549
Pochutec            4.429              0.758         0.450
ProtoAztecan        3.333              0.736         0.612
TetelcingoNahuatl   4.000              0.585         0.561
TOTAL               3.926              0.702         0.536
)0.10 - SMT
Language               ED    ED (Normalized)    B-Cubed FS
------------------  -----  -----------------  ------------
ClassicalNahuatl    2.857              0.427         0.627
JalupaNahuat        1.857              0.424         0.706
MecayapanNahuat     2.429              0.488         0.647
NorthPueblaNahuatl  2.286              0.377         0.653
PajapanNahuat       2.429              0.443         0.667
Pipil               1.857              0.435         0.750
Pochutec            3.000              0.435         0.554
ProtoAztecan        2.000              0.428         0.757
TetelcingoNahuatl   2.429              0.418         0.643
TOTAL               2.349              0.431         0.667
)0.50 - baseline
Language               ED    ED (Normalized)    B-Cubed FS
------------------  -----  -----------------  ------------
ClassicalNahuatl    4.356              0.559         0.492
JalupaNahuat        5.339              0.742         0.333
MecayapanNahuat     3.569              0.551         0.481
NorthPueblaNahuatl  3.140              0.430         0.589
PajapanNahuat       3.661              0.579         0.520
Pipil               4.052              0.562         0.489
Pochutec            3.841              0.726         0.378
ProtoAztecan        4.508              0.574         0.472
