)0.10 - baseline
Language          ED    ED (Normalized)    B-Cubed FS
-------------  -----  -----------------  ------------
Bankan_Tey     2.310              0.563         0.459
Ben_Tey        2.043              0.493         0.463
Bunoge         3.204              0.706         0.413
Jamsay         1.550              0.424         0.576
Mombo          2.419              0.571         0.470
Najamba        2.242              0.506         0.499
Nanga          2.059              0.473         0.449
Penange        2.070              0.506         0.539
Perge_Tegu     1.402              0.371         0.587
Tebul_Ure      1.736              0.439         0.504
Tiranige_Diga  2.212              0.558         0.473
Togo_Kan       1.573              0.417         0.553
Tommo_So       1.432              0.363         0.579
Toro_Tegu      1.970              0.498         0.527
Yanda_Dom      1.544              0.382         0.555
Yorno_So       0.953              0.266         0.686
TOTAL          1.920              0.471         0.521
)0.10 - BiNMT
Language          ED    ED (Normalized)    B-Cubed FS
-------------  -----  -----------------  ------------
Bankan_Tey     2.574              0.711         0.293
Ben_Tey        2.648              0.724         0.299
Bunoge         2.867              0.710         0.333
Jamsay         2.163              0.638         0.350
Mombo          8.486              0.737         0.669
Najamba        3.075              0.841         0.266
Nanga          2.741              0.670         0.304
Penange        3.029              0.802         0.301
Perge_Tegu     2.586              0.663         0.314
Tebul_Ure      2.788              0.760         0.256
Tiranige_Diga  2.690              0.773         0.307
Togo_Kan       2.426              0.656         0.359
Tommo_So       2.686              0.771         0.283
Toro_Tegu      2.773              0.792         0.311
Yanda_Dom      2.733              0.764         0.265
Yorno_So       2.208              0.618         0.342
TOTAL          3.030              0.727         0.328
)0.10 - MNMT
)0.10 - SMT
Language          ED    ED (Normalized)    B-Cubed FS
-------------  -----  -----------------  ------------
Bankan_Tey     1.667              0.432         0.516
Ben_Tey        1.574              0.426         0.515
Bunoge         2.100              0.573         0.522
Jamsay         1.551              0.446         0.525
Mombo          1.914              0.521         0.508
Najamba        2.050              0.568         0.466
Nanga          1.889              0.499         0.494
Penange        1.971              0.516         0.483
Perge_Tegu     1.672              0.485         0.529
Tebul_Ure      1.673              0.461         0.483
Tiranige_Diga  1.833              0.521         0.532
Togo_Kan       1.681              0.503         0.522
Tommo_So       1.745              0.467         0.463
Toro_Tegu      1.977              0.531         0.462
Yanda_Dom      1.578              0.449         0.479
Yorno_So       1.509              0.434         0.532
TOTAL          1.774              0.489         0.502
)0.50 - baseline
Language          ED    ED (Normalized)    B-Cubed FS
-------------  -----  -----------------  ------------
Bankan_Tey     4.232              1.000         0.108
Ben_Tey        4.022              0.926         0.195
Bunoge         4.420              1.000         0.102
Jamsay         3.040              0.714         0.357
