)0.10 - baseline
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       3.179              0.584         0.507
Hachijo     1.821              0.349         0.693
Kagoshima   1.929              0.388         0.587
Kochi       0.679              0.154         0.865
Kyoto       1.071              0.238         0.811
Miyako      2.964              0.634         0.519
Oki         1.250              0.246         0.736
Sado        0.750              0.146         0.882
Shuri       3.107              0.609         0.486
Tokyo       0.643              0.115         0.914
TOTAL       1.739              0.346         0.700
)0.10 - BiNMT
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       2.800              0.503         0.500
Hachijo     1.667              0.371         0.608
Kagoshima   1.909              0.523         0.531
Kochi       1.733              0.379         0.550
Kyoto       2.067              0.502         0.584
Miyako      2.214              0.635         0.469
Oki         1.667              0.364         0.588
Sado        1.200              0.268         0.647
Shuri       2.200              0.536         0.545
Tokyo       2.267              0.469         0.529
TOTAL       1.972              0.455         0.555
)0.10 - MNMT
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       3.067              0.526         0.459
Hachijo     2.400              0.490         0.464
Kagoshima   1.818              0.515         0.594
Kochi       1.933              0.415         0.578
Kyoto       2.133              0.460         0.531
Miyako      2.357              0.629         0.527
Oki         1.667              0.409         0.600
Sado        1.867              0.421         0.555
Shuri       2.333              0.513         0.570
Tokyo       2.267              0.469         0.513
TOTAL       2.184              0.485         0.539
)0.10 - SMT
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       2.400              0.480         0.496
Hachijo     1.733              0.336         0.610
Kagoshima   1.364              0.364         0.670
Kochi       1.400              0.298         0.628
Kyoto       2.000              0.509         0.625
Miyako      2.286              0.634         0.477
Oki         1.267              0.312         0.659
Sado        1.733              0.355         0.594
Shuri       1.933              0.504         0.570
Tokyo       2.200              0.450         0.533
TOTAL       1.832              0.424         0.586
)0.50 - baseline
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       4.008              0.682         0.380
Hachijo     1.557              0.300         0.613
Kagoshima   2.437              0.499         0.434
Kochi       1.313              0.261         0.730
Kyoto       1.163              0.241         0.714
Miyako      4.477              0.845         0.336
Oki         1.370              0.298         0.655
Sado        0.903              0.180         0.758
Shuri       4.189              0.794         0.362
Tokyo       0.659              0.128         0.836
TOTAL       2.208              0.423         0.582
)0.50 - BiNMT
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       3.943              0.673         0.333
Hachijo     3.757              0.801         0.225
Kagoshima   3.183              0.836         0.239
Kochi       3.481              0.776         0.249
Kyoto       3.425              0.784         0.250
Miyako      3.207              0.887         0.234
Oki         3.013              0.744         0.236
Sado        3.410              0.801         0.219
Shuri       3.726              0.770         0.246
Tokyo       3.049              0.706         0.277
TOTAL       3.419              0.778         0.251
)0.50 - MNMT
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       4.100              0.641         0.350
Hachijo     3.586              0.726         0.260
Kagoshima   3.000              0.731         0.275
Kochi       2.797              0.634         0.294
Kyoto       3.025              0.702         0.280
Miyako      3.017              0.795         0.272
Oki         2.837              0.692         0.268
Sado        3.231              0.698         0.279
Shuri       3.932              0.749         0.273
Tokyo       3.086              0.673         0.276
TOTAL       3.261              0.704         0.283
)0.50 - SMT
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       3.786              0.684         0.328
Hachijo     2.443              0.540         0.438
Kagoshima   2.167              0.569         0.387
Kochi       1.709              0.396         0.538
Kyoto       1.900              0.459         0.514
Miyako      2.414              0.667         0.375
Oki         1.850              0.476         0.466
Sado        1.731              0.391         0.522
Shuri       3.096              0.645         0.327
Tokyo       1.778              0.395         0.537
TOTAL       2.287              0.522         0.443
)0.10 - baseline
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       3.179              0.584         0.507
Hachijo     1.821              0.349         0.693
Kagoshima   1.929              0.388         0.587
Kochi       0.679              0.154         0.865
Kyoto       1.071              0.238         0.811
Miyako      2.964              0.634         0.519
Oki         1.250              0.246         0.736
Sado        0.750              0.146         0.882
Shuri       3.107              0.609         0.486
Tokyo       0.643              0.115         0.914
TOTAL       1.739              0.346         0.700
)0.10 - BiNMT
Language       ED    ED (Normalized)    B-Cubed FS
