COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	s̪ o ɣ d o ŋ						
514-1	m Ø k						
464-1	ŋ n̪ ɑ						
1020-1	ŋ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b l ɜ ŋ						
237-1	l̪ ʈ Ø ɑ						
205-1	p r̪ ɜ q p ɜ						
1089-1	l ɜ q Ø Ø l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ Ø s̪ p ɜ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ ŋ ɜ q						
1512-1	x tɕ i n̪						
555-1	Ø ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	Ø ŋ ɜ x m ɜ						
1106-1	b u s̪ s̪						
693-1	h ɜ Ø o Ø ɑ						
221-1	s̪ ʈ ɜ r̪ e						
1199-1	t̪ʰ ɑ q p ɜ						
1424-1	s̪ k u ʈ p ɜ						
904-1	l z̪ o ʈ						
1273-1	k n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m Ø o						
383-1	p s̪ Ø l						
820-1	l̪ o k						
1636-1	k l̪ u ŋ						
1331-1	o ɾ d̪ Ø ɑ						
1097-1	l ɜ m						
1223-1	Ø ɜ ŋ ɜ						
592-1	m e						
1290-1	t̪ u ʈ p ɜ						
669-1	Ø s̪ ɛ ɾ						
1472-1	s̪ ʈ ɑ ɣ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɜ						
626-1	m Ø n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɛ r̪ m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɜ						
1081-1	Ø o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	tθʰ Ø l						
610-1	Ø ɑ						
350-1	Ø ɜ ŋ s̪ o						
871-1	o ŋ m ɑ						
734-1	ɾ Ø ɑ						
431-1	kʰ i						
1298-1	ŋ o ɣ b ʊ l						
929-1	Ø ɜ ŋ k i						
1315-1	ʈ ɜ x s̪ k ɜ n̪						
964-1	m i n̪ ʈ ɜ Ø ŋ						
836-1	m i						
1644-1	b u s̪ ʈ r̪ i ŋ						
547-1	ɜ ʈ ɜ						
1048-1	k ɜ k ɜ						
1692-1	pʰ o n̪ o						
1306-1	b ŋ u						
405-1	b o ŋ o						
709-2		g o o					
522-2		o ɣ d o					
514-2		m Ø k					
464-2		ɕ n̪ ɑ					
1020-2		n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b l ɜ					
237-2		l̪ t̪ʰ Ø ɑ					
205-2		p l ɜ q p ɜ					
1089-2		l ɜ q Ø Ø l					
804-2		k ɑ m ɜ					
1263-2		b ɜ m s̪ p ɑ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i					
269-2		Ø Ø ɜ q					
1512-2		m tɕ i n̪					
555-2		Ø ɜ k p ɜ					
751-2		n̪ ɜ					
439-2		s̪ g o					
601-2		ɕ i					
320-2		Ø m ɜ m m ɜ					
1106-2		b u m m					
693-2		h ɜ Ø o Ø ɑ					
221-2		s̪ t̪ʰ ɜ r̪ e					
1199-2		t̪ʰ ɑ q p ɜ					
1424-2		s̪ k u t̪ʰ p ɜ					
904-2		l s̪ o t̪ʰ					
1273-2		m n̪ ɜ m					
1323-2		s̪ k ɜ r̪ m ɜ					
1127-2		tɕʰ ɜ r̪ p ɑ					
1529-2		tɕʰ u					
1175-2		ɾ gʲ ɛ m Ø o					
383-2		pʰ s̪ Ø l					
820-2		l̪ o k					
1636-2		o l̪ u					
1331-2		Ø ɾ d̪ Ø ɑ					
1097-2		l ɜ m					
1223-2		Ø ɜ ɑ					
592-2		m ɛ					
1290-2		t̪ u t̪ʰ p ɜ					
669-2		m s̪ ɛ ɾ					
1472-2		s̪ t̪ʰ ɑ ɣ Ø i					
788-2		l o ɑ					
1191-2		ɾ ɜ m p ɜ					
626-2		m ɑ n̪ d o q					
844-2		ɑ m					
879-2		tɕʰ ɑ					
1151-2		b tʰ ɜ s̪					
1119-2		ɑ l u					
365-2		s̪ ȵ ɛ r̪ m ɜ					
1480-2		j u					
653-2		s̪ g o k p ɜ					
1081-2		Ø o					
1448-2		p ɑ ɣ ɜ n̪					
1029-2		m ɑ ɾ					
863-2		ɕ ɑ					
539-2		tθʰ Ø l					
610-2		Ø ɑ					
350-2		Ø ɜ m o					
871-2		o m ɑ					
734-2		ɾ Ø ɑ					
431-2		kʰ i					
1298-2		m m o o b Ø l					
929-2		Ø ɜ k i					
1315-2		t̪ʰ ɑ m s̪ k ɜ n̪					
964-2		m i n̪ t̪ʰ ɜ m m					
836-2		m i					
1644-2		b u s̪ t̪ʰ r̪ i					
