COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	tθʰ o						
522-1	kʰ o ŋ						
514-1	m i						
464-1	s̪ ɑ ŋ						
1020-1	s̪ k ɜ p						
1355-1	s̪ o						
1464-1	tɕ i						
302-1	b o ŋ s̪						
237-1	l̪ ʈ ɑ						
205-1	p r̪ ɜ ŋ						
1089-1	l ɑ						
804-1	k ɜ ŋ						
1263-1	b i ɜ p ɑ						
286-1	ɾ gʲ u n̪						
717-1	s̪ i ŋ s̪						
269-1	kʰ ɜ p						
1512-1	tɕ i						
555-1	ŋ ɜ t̪ ɜ p						
751-1	t̪ ɜ ŋ						
439-1	z̪ o						
601-1	ȵ i ŋ						
320-1	ŋ ɜ n̪ ɜ p						
1106-1	ɾ d u						
693-1	kʰ ɜ ŋ						
221-1	s̪ r̪ ɜ ŋ						
1199-1	t̪ʰ ɜ p p ɑ						
1424-1	s̪ u m						
904-1	l dð o						
1273-1	s̪ ɜ m						
1323-1	s̪ k ɜ m s̪						
1127-1	tɕʰ ɜ ŋ s̪						
1529-1	d̪ʲ u n̪						
1175-1	ɾ gʲ ɑ						
383-1	s̪ u ɾ						
820-1	l̪ tɕʰ o						
1636-1	ts̪ ɑ ŋ						
1331-1	ɾ gʲ ɑ						
1097-1	l ɜ m						
1223-1	ŋ ɜ ŋ						
592-1	m e						
1290-1	t̪ r̪ u n̪						
669-1	s̪ u ɾ s̪						
1472-1	s̪ ɑ						
788-1	l o ŋ						
1191-1	ɾ gʲ ɜ p						
626-1	m i n̪ o						
844-1	m ɑ						
879-1	ɾ ɑ						
1151-1	b ɑ						
1119-1	l ɑ						
365-1	ɜ ɕ i p ɑ						
1480-1	d̪ʲ u n̪						
653-1	z̪ o x p ɑ						
1081-1	tθʰ o ŋ						
1448-1	p ɑ m tθ e						
1029-1	m ɑ						
863-1	ɕ e						
539-1	tθʰ i						
610-1	ŋ ɑ						
350-1	t̪ ɜ ŋ						
871-1	kʰ o ŋ						
734-1	ɾ ɑ						
431-1	kʰ i						
1298-1	ɾ d u n̪						
929-1	z̪ ɜ ŋ						
1315-1	ts̪ ɑ ŋ s̪						
964-1	m i n̪						
836-1	ʑ i						
1644-1	ɾ d u n̪ s̪						
547-1	ŋ ɑ						
1048-1	k ɜ p s̪						
1692-1	d̪ o						
1306-1	ɾ d u						
405-1	kʰ o ŋ						
294-1	pʰ r̪ u						
661-1	kʰ o ŋ						
413-1	tɕʰ ɑ						
996-1	t̪ ɜ n̪						
1012-1	t̪ r̪ ɑ						
181-1	tɕ o b i						
1660-1	g u ɾ						
1440-1	d̪ u n̪						
1652-1	l o						
1037-1	tɕ i ŋ s̪						
677-1	ŋ ɜ m o						
1561-1	ɕ ɛ d						
447-1	s̪ o ŋ s̪						
828-1	ɾ i ŋ ɑ						
1247-1	tɕ ɜ t̪ s̪						
391-1	t̪ r̪ ɜ m						
972-1	ȵ i m o						
531-1	t̪ʰ ɜ ŋ						
253-1	tɕ o						
1282-1	d̪ u n̪						
812-1	ɾ ɑ ŋ						
245-1	g u r̪ u						
1609-1	k ɑ						
261-1	n̪ ɑ						
1143-1	m ɑ ŋ						
709-2		g o					
522-2		d̪ ɛ n̪					
514-2		m o					
464-2		ɕ ɛ n̪					
1020-2		s̪ u m					
1355-2		s̪ o					
1464-2		l̪ t̪ ɜ n̪					
302-2		b d ɜ ŋ					
237-2		l̪ t̪ ɑ					
205-2		b gʲ ɜ n̪					
1089-2		ts̪ ɑ j ɑ					
804-2		s̪ ɜ ŋ m ɛ n̪					
1263-2		b gʲ ɜ n̪					
286-2		ɾ u n̪					
717-2		s̪ tɕ ɪ k					
269-2		kʰ ɜ ŋ					
1512-2		tɕ i					
555-2		s̪ õ s̪					
751-2		tɕ ɜ ŋ					
439-2		z̪ o					
601-2		ɕ i ŋ					
320-2		ŋ ɜ m o m					
1106-2		b u n̪					
693-2		h ɜ f t̪ o x					
221-2		s̪ t̪ ɜ					
1199-2		t̪ʰ ɑ ŋ m ɑ					
1424-2		s̪ u					
904-2		l o x					
1273-2		s̪ ɛ n̪					
1323-2		s̪ u					
1127-2		x ɜ l m õ s̪					
1529-2		pʰ u					
1175-2		ɾ i m o					
383-2		s̪ u					
820-2		l̪ tɕʰ o					
1636-2		d̪ʲ u n̪					
1331-2		ʊ ɾ g ɑ					
1097-2		n̪ ɑ m					
1223-2		ŋ ɑ j ɑ					
592-2		m o					
1290-2		tɕ u k					
669-2		s̪ u					
1472-2		s̪ ɛ n̪					
788-2		j ɑ ŋ					
1191-2		ɾ d ɜ p					
626-2		m o x p o					
844-2		ts̪ ɑ m					
879-2		n̪ ɑ					
1151-2		b gʲ ɜ s̪					
1119-2		ts̪ ɑ					
365-2		s̪ r̪ i m ɜ					
1480-2		j u ŋ					
653-2		z̪ ʊ ɾ g o					
1081-2		d̪ ɛ n̪					
1448-2		p ɑ ɕ u n̪					
1029-2		m ɑ					
863-2		ɕ ɛ n̪					
539-2		tθʰ ɛ n̪					
610-2		ŋ ɑ					
350-2		ŋ ɜ s̪					
871-2		ŋ o ŋ					
734-2		ɾ ɑ					
431-2		kʰ i					
1298-2		d̪ ɛ n̪					
929-2		g o ŋ					
1315-2		s̪ t̪ u n̪					
964-2		m i m o					
836-2		m i					
1644-2		z̪ ɛ n̪					
547-2		ŋ ɑ					
1048-2		s̪ ɜ k					
1692-2		d̪ o					
1306-2		b ɛ n̪					
405-2		kʰ o ŋ					
294-2		pʰ u n̪					
661-2		kʰ o ŋ					
413-2		l̪ t̪ ɜ p o					
996-2		ŋ ɜ n̪					
1012-2		tɕ o ŋ					
181-2		ȵ i m o					
1660-2		g ɛ n̪					
1440-2		d̪ ɛ n̪					
1652-2		m o					
1037-2		s̪ ɜ t̪ ɜ ŋ m ɑ					
677-2		s̪ t̪ o					
1561-2		x ɛ n̪					
447-2		s̪ u m o					
828-2		ɾ i ŋ ɑ					
1247-2		tɕ ɜ t̪					
391-2		g o ŋ b o q					
972-2		ȵ i m o					
531-2		t̪ʰ ɜ ɕ i ŋ ɑ					
253-2		tɕ o					
1282-2		n̪ u n̪					
812-2		g ɑ ŋ m o					
245-2		t̪ʰ u n̪					
1609-2		k ɑ ŋ					
261-2		n̪ ɛ n̪ d o					
1143-2		m ɑ					
709-3			g o				
522-3			ɾ o ŋ				
514-3			m ɪ k				
464-3			s̪ ɑ m				
1020-3			s̪ u m				
1355-3			s̪ o				
1464-3			tɕ ɪ k				
302-3			b ɜ ŋ				
237-3			l̪ ʈ ɜ m				
205-3			b ɜ q				
1089-3			j ɑ ŋ				
804-3			s̪ ɜ ŋ				
1263-3			ɾ ɜ s̪				
286-3			ɾ g u l				
717-3			s̪ ɪ n̪ ŋ				
269-3			tɕ ɜ q				
1512-3			tɕ i				
555-3			ŋ ɜ t̪ ɜ p				
751-3			kʰ ɜ ŋ				
439-3			z̪ o				
601-3			ɕ i ŋ				
320-3			ŋ ɜ t̪ ɜ ŋ				
1106-3			ɣ r̪ u				
693-3			h ɜ f t̪ ɑ				
221-3			s̪ t̪ r̪ i ŋ				
1199-3			t̪ʰ ɜ l b ɜ				
1424-3			s̪ u m				
904-3			l o x s̪				
1273-3			s̪ u m				
1323-3			s̪ u m				
1127-3			t̪ ɑ̃ m ɑ				
1529-3			d̪ u				
1175-3			β gʲ ɜ t̪				
383-3			s̪ u m				
820-3			l̪ tɕʰ o				
1636-3			d̪ r̪ u ŋ				
1331-3			ɾ g ɑ				
1097-3			m ɜ m				
1223-3			kʰʲ ɜ ŋ				
592-3			m o				
1290-3			t̪ r̪ ɜ q				
669-3			s̪ u m				
1472-3			s̪ ɑ				
788-3			m o ŋ				
1191-3			ɾ ɜ p				
626-3			m o q				
844-3			m ɑ				
879-3			ɣ ɑ				
1151-3			β gʲ ɜ s̪				
1119-3			m ɑ				
365-3			b ɜ l b ɜ				
1480-3			j u ŋ				
653-3			z̪ ʊ s̪				
1081-3			kʰ o ŋ				
1448-3			p ɑ j ɜ				
1029-3			m ɑ				
863-3			ɕ ɜ p				
539-3			tθʰ ɪ n̪				
610-3			ŋ ɑ				
350-3			t̪ ɜ ŋ				
871-3			kʰ o ŋ				
734-3			ɾ ɑ				
431-3			kʰ i				
1298-3			ɾ g u				
929-3			gʲ ɜ ŋ				
1315-3			t̪ r̪ ɜ ŋ				
964-3			m ɜ n̪ ɜ				
836-3			m i				
1644-3			b i ɜ ŋ				
547-3			j ɑ ŋ				
1048-3			s̪ ɑ m				
1692-3			d̪ o				
1306-3			pʰ r̪ u				
405-3			kʰ o ŋ				
294-3			pʰ r̪ u				
661-3			kʰ o ŋ				
413-3			tɕʰ ɜ q				
996-3			kʰ ɜ p				
1012-3			g o g o b i				
181-3			tɕʰ i m o				
1660-3			g ʊ n̪ d o q				
1440-3			d̪ i ŋ				
1652-3			m o				
1037-3			s̪ t̪ r̪ u ŋ				
677-3			ɜ t̪ ɜ m o				
1561-3			ȵ i m ɑ				
447-3			s̪ u m o				
828-3			ɾ ɜ ŋ				
1247-3			tɕ ɜ t̪				
391-3			h ɜ n̪ d o				
972-3			ȵ i m o				
531-3			t̪ʰ ɜ ŋ				
253-3			tɕ o				
1282-3			d̪ u m				
812-3			j ɑ ŋ m o				
245-3			g u ɾ				
1609-3			g ɑ m o				
261-3			n̪ ɑ q				
1143-3			m ɑ				
709-4				tθʰ o			
522-4				d̪ o ŋ			
514-4				m i s̪			
464-4				ŋ ɑ			
1020-4				s̪ u m			
1355-4				s̪ o			
1464-4				l̪ tɕʰ u			
302-4				t̪ r̪ ɜ ŋ			
237-4				l̪ t̪ u l			
205-4				ɸ ɜ ɕ ɪ s̪			
1089-4				l ɜ n̪ ʊ s̪			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɜ k s̪			
286-4				ɾ r̪ u s̪			
717-4				s̪ t̪ r̪ i ŋ			
269-4				kʰ o ŋ			
1512-4				tɕ i n̪			
555-4				ŋ ɜ ɽ ɜ			
751-4				t̪ r̪ ɜ ŋ			
439-4				z̪ ʊ			
601-4				ɕ i ŋ			
320-4				ŋ ɜ ɽ ɜ m			
1106-4				β gʲ u			
693-4				kʰ o ŋ			
221-4				s̪ u m			
1199-4				j ɑ ŋ			
1424-4				s̪ u k			
904-4				l o			
1273-4				h ɜ n̪ u m			
1323-4				s̪ u m			
1127-4				h ɜ n̪ ʊ s̪			
1529-4				d̪ʲ u			
1175-4				tɕʲ ɑ ŋ m o			
383-4				s̪ u m			
820-4				l̪ tɕʰ o			
1636-4				d̪ u ŋ			
1331-4				ɾ ɑ ŋ			
1097-4				l ɑ m			
1223-4				ŋ ɑ m			
592-4				m o			
1290-4				t̪ r̪ u			
669-4				s̪ u ɾ			
1472-4				s̪ t̪ r̪ i			
788-4				l o ŋ			
1191-4				ɾ ɜ b ɜ ŋ			
626-4				m i n̪ d o			
844-4				ɑ m			
879-4				ɣ ɑ			
1151-4				b gʲ u s̪ s̪			
1119-4				j ɑ m			
365-4				s̪ r̪ ɜ ŋ s̪			
1480-4				d̪ʲ u ŋ			
653-4				z̪ ʊ p ɜ			
1081-4				tθʰ o ŋ			
1448-4				n̪ ɑ m			
1029-4				m ɑ			
863-4				ɕ i n̪			
539-4				tθʰ i n̪			
610-4				ŋ ɑ			
350-4				ŋ ɑ m o			
871-4				kʰ o ŋ			
734-4				ɾ ɑ m			
431-4				kʰ i			
1298-4				gʲ o x s̪			
929-4				t̪ r̪ ɜ ŋ			
1315-4				tɕʲ ɜ n̪ ʊ s̪			
964-4				m i n̪			
836-4				m i			
1644-4				b gʲ u ŋ			
547-4				h ɜ n̪ ʊ s̪			
1048-4				k ɜ ɽ ɜ			
1692-4				d̪ o ŋ			
1306-4				d̪ u k			
405-4				d̪ o ŋ			
294-4				d̪ u k			
661-4				d̪ o ŋ			
413-4				ɑ ɕ o			
996-4				kʰ ɜ n̪			
1012-4				t̪ r̪ ɜ k			
181-4				ȵ i s̪			
1660-4				t̪ʰ ɜ n̪ d u n̪ s̪			
1440-4				d̪ o ŋ			
1652-4				l o			
1037-4				s̪ t̪ r̪ i s̪			
677-4				ŋ ɑ m o			
1561-4				ɜ ɕ i n̪			
447-4				s̪ o ŋ			
828-4				ɾ ɑ m o			
1247-4				tɕ ɜ t̪			
391-4				h ɜ n̪ u m o			
972-4				ȵ i m o			
531-4				t̪ʰ ɜ ŋ			
253-4				tɕ o			
1282-4				n̪ u m			
812-4				j ɑ ŋ m o			
245-4				t̪ r̪ u			
1609-4				k ɑ m o			
261-4				n̪ ɑ			
1143-4				m ɑ			
709-5					g o		
522-5					kʰ o ŋ o		
514-5					m ɪ n̪ s̪		
464-5					s̪ ɑ		
1020-5					x s̪ u m		
1355-5					s̪ o		
1464-5					tɕ i		
302-5					kʰ ɜ ŋ		
237-5					l̪ t̪ ɑ		
205-5					h ɜ l d u m		
1089-5					h ɜ n̪ d o q		
804-5					k ɑ ŋ m ɜ		
1263-5					d̪ ɜ x s̪		
286-5					ʊ ɾ g o		
717-5					s̪ i ŋ		
269-5					β gʲ ɜ q		
1512-5					tɕ i		
555-5					ŋ ɜ t̪ ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ ʊ s̪		
601-5					ɕ i ŋ		
320-5					d̪ ɜ l d u m		
1106-5					d̪ u		
693-5					h ɜ p m o		
221-5					x s̪ u		
1199-5					β gʲ ɜ p		
1424-5					x s̪ u		
904-5					m o		
1273-5					s̪ r̪ ɪ n̪ m		
1323-5					s̪ r̪ ɜ p		
1127-5					p ɜ ɽ ɑ ɣ z̪ ɑ		
1529-5					d̪ʲ u		
1175-5					ʊ ɾ g o		
383-5					s̪ ɪ n̪ s̪		
820-5					tθʰ o		
1636-5					d̪ʲ u		
1331-5					ɾ ɑ		
1097-5					l ɜ m		
