COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1							
514-1	m i						
464-1	ɕ ɑ						
1020-1							
1355-1	s̪ o						
1464-1							
302-1							
237-1							
205-1							
1089-1							
804-1							
1263-1							
286-1							
717-1	s̪ i ŋ s̪						
269-1	kʰ ɜ q						
1512-1							
555-1							
751-1	n̪ ɑ ŋ						
439-1	z̪ g o						
601-1	ɕ ɪ m						
320-1							
1106-1	b u						
693-1							
221-1							
709-2		g o					
522-2							
514-2		m i					
464-2		ɕ ɜ					
1020-2							
1355-2		s̪ o					
1464-2							
302-2							
237-2							
205-2							
1089-2							
804-2							
1263-2							
286-2							
717-2		b i ŋ					
269-2		t̪ʰ ɜ q					
1512-2							
555-2							
751-2		n̪ ɜ m					
439-2		z̪ g o					
601-2		ɕ i					
320-2							
1106-2		b u					
693-2							
221-2							
709-3			g o				
522-3							
514-3			m i				
464-3			ɕ ɜ				
1020-3							
1355-3			s̪ o				
1464-3							
302-3							
237-3							
205-3							
1089-3							
804-3							
1263-3							
286-3							
717-3			b i ŋ				
269-3			ts̪ ɜ q				
1512-3							
555-3							
751-3			n̪ ɜ m				
439-3			z̪ g o				
601-3			ɕ i				
320-3							
1106-3			b u				
693-3							
221-3							
709-4				g o			
522-4							
514-4				m i			
464-4				ɕ ɑ			
1020-4							
1355-4				s̪ o			
1464-4							
302-4							
237-4							
205-4							
1089-4							
804-4							
1263-4							
286-4							
717-4				b i ŋ			
269-4				ts̪ ɜ q			
1512-4							
555-4							
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i			
320-4							
1106-4				b u			
693-4							
221-4							
709-5					g oˑ		
522-5							
514-5					m i k		
464-5					ɕ ɛ d ɜ		
1020-5							
1355-5					s̪ õ s̪		
1464-5							
302-5							
237-5							
205-5							
1089-5							
804-5							
1263-5							
286-5							
717-5							
269-5					ts̪ ɑ q		
1512-5							
555-5							
751-5					n̪ ɑ ŋ		
439-5					z̪ g o		
601-5					ɕ i ŋ		
320-5							
1106-5					b u		
693-5							
221-5							
709-6						g o	
522-6							
514-6						m ɪ n̪	
464-6						ɕ e	
1020-6							
1355-6						s̪ o	
1464-6							
302-6							
237-6							
205-6							
1089-6							
804-6							
1263-6							
286-6							
717-6						b i ŋ	
269-6						ts̪ ɑ q	
1512-6							
555-6							
751-6						n̪ ɜ m	
439-6						z̪ g o	
601-6						ɕ i	
320-6							
1106-6						b u	
693-6							
221-6							
709-7							g o
522-7							
514-7							m i k
464-7							ɕ e
1020-7							
1355-7							s̪ o
1464-7							
302-7							
237-7							
205-7							
1089-7							
804-7							
1263-7							
286-7							
717-7							s̪ i ŋ m
269-7							dz̪ ɜ q
1512-7							
555-7							
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							ɕ i
320-7							
1106-7							b u
693-7							
221-7							
