COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709					g o o		
514						m i k	
464	s̪ n̪ ɑ						
1355						s̪ o	
1464			l̪ tɕ e				
205				p l ɜ q p ɜ			
717					s̪ n̪ i ŋ		
1512			k tɕ i n̪		- tɕ i n̪	- tɕ i m	
555			s̪ Ø ɜ k p ɜ	s̪ Ø ɑ k p ɜ			
751	n̪ ɜ ŋ			n̪ ɜ ŋ			
439					s̪ g o		
1105	l̪ t̪ ɜ n̪ u s̪ s̪						
781						Ø i	
1167						- s̪ u r̪ u p	
1339						ȵ i m ɑ	
904	l z̪ o t̪			l z̪ o t̪			
1127							tɕʰ ɜ r̪ p ɜ
1529					tɕʰ u		
820	l̪ o k						
1331			u ɾ d̪ β̞ ɑ				
1097					l ɜ m		l ɜ m
592	m e						
1290					t̪ u t̪ p ɜ		
669				k s̪ ɛ ɾ			
844						ɑ m	
1119				ɑ l u		ɑ l u	
365					s̪ ȵ ɛ r̪ m ɜ		
1448						p ɑ Ø ɜ m	p ɑ Ø ɜ n̪
329			b ɜ m d				
1029				m ɑ ɾ			
350			Ø ɜ ŋ o				
734			ɾ β̞ ɑ				
431			kʰ i				
1298					s̪ ɾ ɑ ɑ b Ø l		
929	ts̪ ɜ ŋ k i						
1315			t̪ ɑ k s̪ k ɜ n̪				
964	m i n̪ t̪ ɜ x s̪						
836						m i	
547					ɜ t̪ ɜ		
1692							n̪ o n̪ o
1057				ɜ ɕ e			
405			b o ŋ o				
767			ɜ ɕ i p ɜ				
1625				z̪ ɜ n̪ z̪ u s̪		z̪ ɜ n̪ z̪ u s̪	
294	b s̪ u						
661							b o ŋ o
413					Ø ɜ q		
912	gʲ o x p ɜ					gʲ o - p ɜ	
181						Ø s̪ i ɑ r̪ o s̪	
896				l Ø ɑ	l Ø ɑ	l Ø ɑ	
1652			l o				
1561				s̪ ɕ e r̪ p ɜ			- ɕ ɛ r̪ p ɜ
828	ɾ i Ø m o						
1247	tɕ ɜ t̪			tɕ ɜ t̪			
1159					ʈ - ɜ ŋ		
531				t̪ʰ ɑ q r̪ i ŋ s̪	t̪ʰ ɜ q r̪ i ŋ s̪		
253					tɕ o Ø o		tɕ o Ø o
812				j ɛ ŋ m o	j ɛ ŋ m o	j ɛ ŋ m o	
1609			k ɑ r̪ p o				
1065	tɕ i k						
1488	tɕ o ŋ ɜ s̪					tɕ o ŋ ɜ s̪	
1073						ɾ gʲ ɜ	
1569				tɕ i			
1397				Ø u			
1415	d̪ e Ø						
1215			ts̪ o q s̪ ɑ Ø o q s̪				
853				i ɕ i n̪		i ɕ ɪ n̪	
111			ŋ Ø t̪ s̪ o s̪				
96			d̪ u k s̪				
1			m i n̪ s̪				
73					ɾ d ɜ p s̪	ɾ d ɜ p s̪	
144							Ø u ɾ s̪
136							s̪ o ŋ s̪
41				o s̪ s̪	o s̪ s̪		
120							z̪ ɛ ɾ s̪
701					x o		kʰ o
1537						ŋ ɑ j ɑ	
1684					x i t̪ ɜ ŋ		
1424		s̪ k u t̪ p ɜ					s̪ k u t̪ p ɜ
759		ts̪ ɑ m s̪ s̪					
742	tθʰ o	tθʰ o					
1012		t̪ - o b ɜ ɾ	t̪ - o b ɜ ɾ				
539		tθʰ ɪ l					
972		ȵ i m o ɾ					ȵ i m o ɾ
653		z̪ g o k p ɜ					z̪ g o k p ɜ
1020		s̪ n̪ ɜ m s̪ u l					
422		l o k s̪ o					
626		m ɛ n̪ d o q		m ɛ n̪ d o q			
1701		s̪ t̪ r̪ i ŋ m o					
229		tɕ ɑ ŋ m ɛ n̪					
726	l̪ tɕʰ o	l̪ tɕʰ o					
383		p s̪ ɪ l					
1496		ȵ i ɕ u					ȵ i ɕ u
1379		Ø u ŋ					Ø u n̪
213	t̪ʰ ɑ l tɕ ɪ t̪	t̪ʰ ɑ l tɕ i t̪					
358		p r̪ u					
685		ɾ ɑ s̪ s̪ l	ɾ ɑ q q l				
279		u ɾ g o					
399	b ɑ̃ s̪ s̪ s̪						
