ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY
1852	Backstrom-1992-210b-190	(he gave)	RonduBalti	Rondu Balti	mins	mins	m i n̪ s̪	balt1258	35.468685	75.358422	Sino-Tibetan	4 7 4 3	AXLN	MINS	4	4.M.C 4.I.V 4.N.c 4.S.c	2.0 1.5 1.1 0.8	min̪s̪	0	1
1853	Backstrom-1992-210b-190	(he gave)	ShigarBalti	Shigar Balti	mɪns	mɪns	m ɪ n̪ s̪	balt1258	35.422616	75.737108	Sino-Tibetan	4 7 4 3	AXLN	MINS	5	5.M.C 5.I.V 5.N.c 5.S.c	2.0 1.5 1.1 0.8	mɪn̪s̪	0	1
1854	Backstrom-1992-210b-190	(he gave)	SkarduBalti	Skardu Balti	mɪns	mɪns	m ɪ n̪ s̪	balt1258	35.289137	75.607395	Sino-Tibetan	4 7 4 3	AXLN	MINS	6	6.M.C 6.I.V 6.N.c 6.S.c	2.0 1.5 1.1 0.8	mɪn̪s̪	0	1
1855	Backstrom-1992-210b-190	(he gave)	KhapaluBalti	Khapalu Balti	mins	mins	m i n̪ s̪	balt1258	35.163409	76.342552	Sino-Tibetan	4 7 4 3	AXLN	MINS	2	2.M.C 2.I.V 2.N.c 2.S.c	2.0 1.5 1.1 0.8	min̪s̪	0	1
1856	Backstrom-1992-210b-190	(he gave)	KharmangBalti	Kharmang Balti	mɪns	mɪns	m ɪ n̪ s̪	balt1258	34.968679	76.213849	Sino-Tibetan	4 7 4 3	AXLN	MINS	3	3.M.C 3.I.V 3.N.c 3.S.c	2.0 1.5 1.1 0.8	mɪn̪s̪	0	1
1857	Backstrom-1992-210b-190	(he gave)	ChorbatBalti	Chorbat Balti	mins	mins	m i n̪ s̪	balt1258	34.979586	72.680387	Sino-Tibetan	4 7 4 3	AXLN	MINS	1	1.M.C 1.I.V 1.N.c 1.S.c	2.0 1.5 1.1 0.8	min̪s̪	0	1
1858	Backstrom-1992-210b-190	(he gave)	SkarduPurki	Skardu Purki	minɑtɑ̃s	minɑtɑ̃s	m i n̪ ɑ t̪ ɑ̃ s̪	puri1258			Sino-Tibetan	4 7 4 7 1 7 3	AXBYBYN	MINATAS	7	7.M.C 7.I.V 7.N.C 7.A.V 7.T.C 7.A.V 7.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	min̪ɑt̪ɑ̃s̪	0	2
1809	Backstrom-1992-210b-184	(he was) hungry	RonduBalti	Rondu Balti	ɬtoks	ɬtoks	l̪ t̪ o k s̪	balt1258	35.468685	75.358422	Sino-Tibetan	5 1 7 1 3	ACYBC	LTUKS	4	4.L.C 4.T.C 4.U.V 4.K.C 4.S.C	2.0 1.5 1.3 1.75 1.5	l̪t̪oks̪	0	9
1810	Backstrom-1992-210b-184	(he was) hungry	ShigarBalti	Shigar Balti	ɬtoks	ɬtoks	l̪ t̪ o k s̪	balt1258	35.422616	75.737108	Sino-Tibetan	5 1 7 1 3	ACYBC	LTUKS	5	5.L.C 5.T.C 5.U.V 5.K.C 5.S.C	2.0 1.5 1.3 1.75 1.5	l̪t̪oks̪	0	9
1811	Backstrom-1992-210b-184	(he was) hungry	SkarduBalti	Skardu Balti	ɬtoks	ɬtoks	l̪ t̪ o k s̪	balt1258	35.289137	75.607395	Sino-Tibetan	5 1 7 1 3	ACYBC	LTUKS	6	6.L.C 6.T.C 6.U.V 6.K.C 6.S.C	2.0 1.5 1.3 1.75 1.5	l̪t̪oks̪	0	9
1812	Backstrom-1992-210b-184	(he was) hungry	KhapaluBalti	Khapalu Balti	ɬtoks	ɬtoks	l̪ t̪ o k s̪	balt1258	35.163409	76.342552	Sino-Tibetan	5 1 7 1 3	ACYBC	LTUKS	2	2.L.C 2.T.C 2.U.V 2.K.C 2.S.C	2.0 1.5 1.3 1.75 1.5	l̪t̪oks̪	0	9
1813	Backstrom-1992-210b-184	(he was) hungry	KharmangBalti	Kharmang Balti	ɬtoks	ɬtoks	l̪ t̪ o k s̪	balt1258	34.968679	76.213849	Sino-Tibetan	5 1 7 1 3	ACYBC	LTUKS	3	3.L.C 3.T.C 3.U.V 3.K.C 3.S.C	2.0 1.5 1.3 1.75 1.5	l̪t̪oks̪	0	9
