COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
7158	ˀd a ¹	t a ¹			ⁿd a ¹	ˀd a ¹		ⁿd ə ¹		ˀd a ¹	ˀd a ¹	ˀd a ¹		ˀd a ¹	ˀd a ¹	
7159	v a n ¹	p a n ¹	w a n ¹		v a n ¹	v a n ¹	v a n ¹	v a n ¹	w a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹
6882	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹	j a t ¹	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹	z ə t ¹
6485	ˀb ə n ¹	m ə n ¹	ⁿb ə n ¹	ⁿb ə n ¹	ˀb ə n ¹	ˀb ə n ¹	ⁿb ə n ¹	ⁿb ə n ¹	ⁿb ə n ¹	ˀb ə n ¹	ˀb ə n ¹	ˀb ə n ¹	m ə n ¹	ˀm ə n ¹	ˀb ə n ¹	ˀb ə n ¹
1484	f a ¹	f a ¹	f a ¹	f a ¹	f a ¹	v a ¹		f a ¹	f a ¹	f a ¹	v a ¹	v a ¹		f a ¹	f a ¹	f a ¹
4690	m u n ¹	m u n ¹	m o n ¹	m o n ¹	m o n ¹	m o n ¹	m o n ¹	m o n ¹	m o n ¹	m o n ¹	m o n ¹	m u n ¹	m u n ¹	m u n ¹	m u n ¹	m o n ¹
5671	f ə n ¹	p j ə n ¹	f ə n ¹	f ə n ¹	f ə n ¹	v ə n ¹	h w ə n ¹	f ə n ¹	f ə n ¹	f ə n ¹	v ə n ¹	v ə n ¹	p j ə n ¹	f ə n ¹	f ə n ¹	f ə n ¹
6599	ˀn ui ¹	n ui ¹	ˀn ui ¹	n ui ¹	ˀn i ¹	ˀn i ¹	n ui ¹	n ui ¹	n ui ¹	ˀn ui ¹	ˀn i ¹		n ui ¹	ˀn ui ¹	ˀn ui ¹	ˀn ui ¹
1933	ȵ i ¹		ȵ i ¹	ȵ i ¹	ȵ e ¹	ȵ e ¹	n i ¹	ȵ i ¹	ȵ i ¹	ȵ i ¹	ȵ e ¹	ȵ e ¹		ȵ i ¹	ȵ i ¹	ȵ i ¹
7160			l a ¹				l ə ¹		l a ¹							l a ¹
6488					ʔ u ¹		ʔ u ¹		ʔ u ¹		ʔ u ¹					ʔ u ¹
1932	n a m ¹	n a m ¹		n a m ¹			n a m ¹						n a m ¹			
1934		m e ¹											m e ¹			
10830		kʰ aː ŋ ¹			kʰ aː ŋ ¹	kʰ aː ŋ ¹		kʰ aː ŋ ¹	kʰ aː ŋ ¹	kʰ aː ŋ ¹	kʰ aː ŋ ¹	kʰ aː ŋ ¹			kʰ aː ŋ ¹	kʰ aː ŋ ¹
4274										ˀb a ¹			p j a ¹			ˀb a ¹
4272	l aː p ¹	l aː p ¹	l aː p ¹	l aː t ¹	ˀd aː p ¹	ˀd aː p ¹	l a p ¹	l aː p ¹	l aː p ¹	l aː p ¹	ˀd aː p ¹	ˀd aː p ¹	ⁿd j a p ¹	l aː p ¹	l aː p ¹	l aː p ¹
7418	q u m ¹		q a m ¹		q a m ¹	q u m ¹		q u m ¹	q u m ¹	q u m ¹	q u m ¹	k ə m ¹		q u m ¹	q u m ¹	q a m ¹
7419	ˀȵ a ¹		ˀȵ a ¹	n i ¹	ˀȵ a ¹	ˀȵ a ¹		ȵ a ¹	ȵ a ¹	ˀȵ a ¹	ˀȵ a ¹	ˀȵ a ¹		ˀȵ a ¹	ˀȵ a ¹	ˀȵ a ¹
10935	ⁿb e ¹	p e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb e ¹	ⁿb əi ¹	ⁿb e ¹	ⁿb e ¹
4760	n j e n ¹	n j aː n ¹	n j e n ¹	n i n ¹	n j aː n ¹	n j aː n ¹	n j e n ¹	n j e n ¹	n j e n ¹	n j e n ¹	n j aː n ¹	n j aː n ¹	n j aː n ¹	n i n ¹	n j a n ¹	n j e n ¹
1881	v a n ¹	p a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹
5099	s aː n ¹		s aː n ¹		s aː n ¹	s aː n ¹		s aː n ¹	s aː n ¹	s aː n ¹	s aː n ¹	s aː n ¹		s aː n ¹	s aː n ¹	s aː n ¹
4777	ɕ ə t ¹	h ə t ¹	h j ə t ¹	ɕ a t ¹	ɕ i t ¹	ɕ ə t ¹	s ə t ¹	h j ə t ¹	h j ə t ¹	ɕ ə t ¹	ɕ ə t ¹	ɕ i t ¹	h ə t ¹	ɕ ə t ¹	ɕ a t ¹	ɕ ə t ¹
10969	v a n ¹	p a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹
10970	ˀȵ u ¹	ȵ u ¹	ˀȵ u ¹	ȵ u ¹	ˀȵ u ¹	ˀȵ u ¹	ȵ u ¹	ȵ u ¹	ȵ u ¹	ˀȵ u ¹	ˀȵ u ¹	ˀȵ u ¹	ȵ u ¹	ˀȵ u ¹	ˀȵ u ¹	ˀȵ u ¹
10829	l u m ¹		l u m ¹	l u m ¹			l u m ¹						l u m ¹	l u m ¹	l u m ¹	l u m ¹
4271	ˀb ə ¹	m ə n ¹	p ə ¹					p ə ¹	p ə ¹					ˀm ə ¹	ˀb ə ¹	
4273				v a ¹	v a ¹	v a ¹	v a ¹				v a ¹	v a ¹				
7420		p j a ¹					p j a ¹						p j a ¹			
5101				ȵ a m ¹			ȵ a m ¹									
5100		t j aː n ¹											t j aː n ¹			
10206	v a n ¹	p a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹	v a n ¹
10207	ˀm u ¹	m u ¹	ˀm u ¹	m u ¹		ˀm u ¹	m u ¹	m u ¹	m u ¹	ˀm u ¹	ˀm u ¹	ˀm u ¹	m u ¹	ˀm u ¹	ˀm u ¹	ˀm u ¹
6837	s ə n ¹	s ə n ¹	s ə n ¹		s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹	s ə n ¹
401	n̥ o ¹	n̥ o ¹	n̥ o ¹		n̥ o ¹	n̥ o ¹				n̥ o ¹	n̥ o ¹	n̥ o ¹	n̥ o ¹	n̥ o ¹	n̥ o ¹	n̥ o ¹
