COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	ə t ¹															
6485-1	m ə n ¹															
4690-1	m o n ¹															
5671-1	f ə n ¹															
4272-1	l aː p ¹															
10935-1	pʰ e ¹															
4760-1	n j aː n ¹															
1881-1	v a n ¹															
4777-1	ɕ ə t ¹															
10969-1	v a n ¹															
10970-1	Ø u ¹															
10206-1	v a n ¹															
6565-1	k w a n ¹															
1281-1	ʔ j e n ¹															
10569-1	n a m ¹															
6899-1	pʰ j u ŋ ¹															
7081-1	k ui ¹															
4090-1	ⁿd a m ¹															
2197-1	h u m ¹															
3352-1	t i ¹															
3892-1	ɕ j ə t ¹															
1071-1	q aː m ¹															
10313-1	m ai ¹															
2671-1	ⁿd j ə t ¹															
5502-1	f aː k ¹															
7382-1	ⁿd u n ¹															
932-1	ts i ŋ ¹															
533-1	m ai ¹															
4159-1	v a ¹															
2804-1	n u k ¹															
5451-1	ʁ ai ¹															
5773-1	ʔ au ¹															
6933-1	ʔ au ¹															
4657-1	ʔ au ¹															
4658-1	f j aː ŋ ¹															
6966-1	h i ¹															
5351-1	ʁ a ¹															
4073-1	ⁿd aːi ¹															
2163-1	m j aː ŋ ¹															
1121-1	f a ¹															
5790-1	v aː ŋ ¹															
10413-1	ˀm a ¹															
6731-1	ˀm a ¹															
1645-1	ˀm a ¹															
4914-1	ˀm a ¹															
6175-1	ŋ a ¹															
3092-1	s i ŋ ¹															
1247-1	l j aː n ¹															
5620-1	ɕ j u ¹															
4897-1	ʁ a ¹															
4811-1	pʰ aː ŋ ¹															
1213-1	q aːi ¹															
11019-1	ʁ aː ŋ ¹															
11020-1	q aːi ¹															
2129-1	ʔ e p ¹															
3211-1	ŋ aː n ¹															
714-1	n o k ¹															
1729-1	q a ¹															
3679-1	m a ¹															
1054-1	m j aːu ¹															
7448-1	m u m ¹															
582-1	ˀm i ¹															
4743-1	m o n ¹															
5419-1	l j ə n ¹															
5601-1	v i n ¹															
2705-1	m o m ¹															
6381-1	Ø o ŋ ¹															
1017-1	v a ¹															
645-1	l u k ¹															
273-1	m ə t ¹															
4338-1	ⁿd j a k ¹															
2533-1	k i ¹															
1089-1	kʰ u p ¹															
843-1	n a n ¹															
2787-1	w a t ¹															
4462-1	ˀn u n ¹															
10918-1	h a n ¹															
6582-1	h ui ¹															
2070-1	k a ¹															
3075-1	Ø aː k ¹															
10848-1	v a ¹															
2480-1	ts ə n ¹															
2214-1	k ai ¹															
7225-1	h ə t ¹															
3515-1	p j a m ¹															
2588-1	ts ə n ¹															
2908-1	p j aː k ¹															
2393-1	ˀn a ¹															
1156-1	ŋ ai ¹															
2374-1	ⁿd a ¹															
2146-1	kʰ a ¹															
5133-1	ˀn a ŋ ¹															
4981-1	m u k ¹															
10239-1	m a ¹															
599-1	n j u t ¹															
5048-1	q o ¹															
6331-1	h a ¹															
290-1	ȶʰ i n ¹															
311-1	h aː k ¹															
3430-1	m j a ¹															
5369-1	m j a ¹															
2749-1	ȶ o n ¹															
2621-1	l j a p ¹															
1181-1	t a k ¹															
949-1	t j u ¹															
2839-1	t i n ¹															
861-1	l aː k ¹															
6773-1	l aː k ¹															
5739-1	l aː k ¹															
5740-1	kʰ ə t ¹															
3550-1	ɕ u m ¹															
4445-1	p u t ¹															
680-1	l o ŋ ¹															
817-1	t ə n ¹															
782-1	pʰ j aː t ¹															
10396-1	ˀn j u ¹															
4606-1	n aː n ¹															
5207-1	m a n ¹															
7280-1	Ø j a ¹															
6983-1	ʔ j u t ¹															
5168-1	p u ŋ ¹															
1264-1	ts u ¹															
915-1	t ui ¹															
1767-1	ts u ŋ ¹															
10901-1	k w e ŋ ¹															
10867-1	ˀd o ŋ ¹															
417-1	k w aː n ¹															
2285-1	pʰ j e ¹															
11002-1	ʔ i t ¹															
6348-1	m ai ¹															
6349-1	ʁ aː n ¹															
10602-1	m ə n ¹															
5654-1	m j e n ¹															
880-1	l e ¹															
983-1	n̥ aː n ¹															
2033-1	t o ¹															
1433-1	ʔ j a ¹															
1467-1	ˀd u k ¹															
469-1	t j u m ¹															
3127-1	m j a ¹															
4623-1	h a ¹															
7099-1	l j ə k ¹															
4726-1	ɕ e n ¹															
10465-1	v aː n ¹															
5519-1	h ə n ¹															
5893-1	kʰ ə n ¹															
2857-1	t i n ¹															
3645-1	ʁ aː n ¹															
3032-1	f j aː n ¹															
2088-1	v j a n ¹															
2463-1	p u ¹															
4794-1	n i ¹															
4569-1	l u ŋ ¹															
4586-1	ts u ¹															
4552-1	p a ¹															
3228-1	q o ŋ ¹															
3245-1	j a ¹															
6651-1	l aː k ¹															
6652-1	pʰ aː n ¹															
1817-1	l aː k ¹															
1818-1	m j aː k ¹															
11052-1	n u ¹															
1230-1	l aː k ¹															
3380-1	h e k ¹															
8174-1	ʁ u m ¹															
8599-1	p j a m ¹															
7782-1	ⁿd j ai ¹															
8294-1	l i k ¹															
8514-1	h aːi ¹															
9669-1	l j a k ¹															
8531-1	p aːi ¹															
7954-1	ʔ u k ¹															
9968-1	s aː m ¹															
8040-1	t a ¹															
9304-1	ȶ i ¹															
8345-1	t o k ¹															
8765-1	ȶ o k ¹															
8849-1	s e ŋ ¹															
9286-1	k w aː ŋ ¹															
9581-1	n u n ¹															
9267-1	l a ¹															
8497-1	ts ə n ¹															
7602-1	ʔ aː p ¹															
8431-1	v j ə n ¹															
10036-1	s u k ¹															
10019-1	l a k ¹															
9216-1	n e ¹															
8074-1	q a t ¹															
9511-1	p a n ¹															
8243-1	ʔ j a m ¹															
9250-1	t j e m ¹															
7568-1	s aːi ¹															
8832-1	k u ¹															
8057-1	ŋ e ¹															
7716-1	h u p ¹															
9899-1	ts i ¹															
7585-1	kʰ au ¹															
8582-1	m j a ¹															
9097-1	l a m ¹															
10125-1	v a ¹															
9460-1	l aːi ¹															
9649-1	pʰ u t ¹															
9870-1	ŋ a p ¹															
8680-1	ŋ a m ¹															
7699-1	ȶ i t ¹															
9001-1	ŋ w a t ¹															
9494-1	t i p ¹															
7666-1	ɕ ə n ¹															
9598-1	t a k ¹															
