COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	z ə t ¹															
6485-1	ˀb ə n ¹															
4690-1	m o n ¹															
5671-1	f ə n ¹															
4272-1	l aː p ¹															
10935-1	p e ¹															
4760-1	n j e n ¹															
1881-1	v a n ¹															
4777-1	ɕ ə t ¹															
10969-1	v a n ¹															
10970-1	ˀȵ u ¹															
10206-1	v a n ¹															
6565-1	k a n ¹															
1281-1	ʔ j e n ¹															
10569-1	n a m ¹															
6899-1	pʰ j u ŋ ¹															
7081-1	k ui ¹															
4090-1	ⁿd a m ¹															
2197-1	h u m ¹															
3352-1	t i ¹															
3892-1	h ə t ¹															
1071-1	q aː m ¹															
10313-1	m ai ¹															
2671-1	ⁿd j ə t ¹															
5502-1	f aː k ¹															
7382-1	ⁿd u n ¹															
932-1	ts i ŋ ¹															
533-1	m ai ¹															
4159-1	v a ¹															
2804-1	n u k ¹															
5451-1	ɣ ai ¹															
5773-1	ʔ au ¹															
6933-1	ʔ au ¹															
4657-1	ʔ au ¹															
4658-1	f j e ŋ ¹															
6966-1	h i ¹															
5351-1	ˀɣ a ¹															
4073-1	ⁿd aːi ¹															
2163-1	m j e ŋ ¹															
1121-1	f w ə ¹															
5790-1	v aː ŋ ¹															
10413-1	m a ¹															
6731-1	m a ¹															
1645-1	m a ¹															
4914-1	m a ¹															
6175-1	v a ¹															
3092-1	s i ŋ ¹															
1247-1	l j e n ¹															
5620-1	h j u ¹															
4897-1	ʁ a ¹															
4811-1	pʰ aː ŋ ¹															
1213-1	q aːi ¹															
11019-1	ʁ aː ŋ ¹															
11020-1	q aːi ¹															
2129-1	ʔ e p ¹															
3211-1	ŋ aː n ¹															
714-1	n o k ¹															
1729-1	q a ¹															
3679-1	m a ¹															
1054-1	m j e ¹															
7448-1	m u m ¹															
582-1	m i ¹															
4743-1	m o n ¹															
5419-1	l j ə n ¹															
5601-1	ˀb i n ¹															
2705-1	m o m ¹															
6381-1	ˀȵ o ŋ ¹															
