COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	z ə t ¹															
6485-1	ˀb ə n ¹															
4690-1	m o n ¹															
5671-1	f a n ¹															
4272-1	l aː p ¹															
10935-1	ˀm e ¹															
4760-1	n j e n ¹															
1881-1	f a n ¹															
4777-1	h ə t ¹															
10969-1	f a n ¹															
10970-1	n̥ u ¹															
10206-1	f a n ¹															
6565-1	k o n ¹															
1281-1	ʔ j e n ¹															
10569-1	n a m ¹															
6899-1	pʰ j u ŋ ¹															
7081-1	k ui ¹															
4090-1	t a m ¹															
2197-1	h u m ¹															
3352-1	t ai ¹															
3892-1	h ə t ¹															
1071-1	q aː m ¹															
10313-1	m ai ¹															
2671-1	t j ə t ¹															
5502-1	f a k ¹															
7382-1	ˀd u n ¹															
932-1	ts j e ŋ ¹															
533-1	m ai ¹															
4159-1	f a ¹															
2804-1	n u k ¹															
5451-1	ɣ ai ¹															
5773-1	ʔ ai ¹															
6933-1	ʔ ai ¹															
4657-1	ʔ ai ¹															
4658-1	f j e ŋ ¹															
6966-1	h i ¹															
5351-1	ɣ a ¹															
4073-1	ˀd aːi ¹															
2163-1	m j e ŋ ¹															
1121-1	f a ¹															
5790-1	f aː ŋ ¹															
10413-1	m a ¹															
6731-1	m a ¹															
1645-1	m a ¹															
4914-1	m a ¹															
6175-1	ŋ a ¹															
3092-1	s j e ŋ ¹															
1247-1	l j e n ¹															
5620-1	h j eu ¹															
4897-1	n̥ a ¹															
4811-1	pʰ aː ŋ ¹															
1213-1	l aːi ¹															
11019-1	ʁ aː ŋ ¹															
11020-1	l aːi ¹															
2129-1	ʔ a p ¹															
3211-1	n aː n ¹															
714-1	n o k ¹															
1729-1	q a ¹															
3679-1	m a ¹															
1054-1	m aːu ¹															
7448-1	m u m ¹															
582-1	ˀm i ¹															
4743-1	m o n ¹															
5419-1	l j ə n ¹															
5601-1	ˀb i n ¹															
2705-1	m o m ¹															
6381-1	ˀȵ o ŋ ¹															
