COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1	m o tʃ i + n	m u tʃ i	n o tʃ i	n o tʃ i + n	n o tʃ i	m u tʃ i	n o tʃ o	m o tʃ ɨ + m	n o tʃ iː
2	n e x + tɬ i	k o + n e x + t i	k w a + n eː x	tɬ e k o + n e x + tɬ i	b a + n eː x	n e x + t i	n o x + t	n ɨ x + tɬ ɨ	tɬ a k o + n e x + tɬ iː
3	eː w a + tɬ			j e w a + j o		eː w a + j u		ɨ w aː + j oː + tɬ	j e w a + j u + tɬ
4			k w a + k a h l oː + ʔ		b a + g a h l o				
6	i ʔ t e	i h t i		i h t e	i h t i	i h t i		ɨ h t ɨ	i h t e
8	w eː	w e j	w e j i	w e j i	w eː j	w eː j	h u h i o m	w e h e j	b i e j iː
9	t oː t oː + tɬ	t uː r u + t	t oː t oː + ʔ	t o t o + tɬ	t oː t o + t	t uː t u + t		t oː t oː + tɬ	t u t u + tɬ
10	k e ʔ ts o m								k e ts o m a
12			t a n + k w a		t a m + b a	t a n + k w a		k ɨ h + ts o m a	
13	tɬ iː l + t i k			tɬ i l + t i k		t iː l + t i k		tɬ iː l + t ɨ + k	tɬ i l + t iː k
14			p iː s + t i ʔ		p i s + t i k				
16	e s + tɬ i	e s + t i	e s + t i	j e s + tɬ i	e s + t i	e s + t i	e s + t	ɨ s + tɬ ɨ	j e s + tɬ iː
17	o m i + tɬ	u m i + t	o m i + ʔ	o h m i + tɬ	o m i + t	uː m i + t	o + t	oː m ɨ + tɬ	
19	tʃ iː tʃ iː w a l		tʃ iː tʃ i w a l	tʃ i tʃ i w a l	tʃ i tʃ i w a l			tʃ iː tʃ iː w a l	tʃ i tʃ iː w a l
20		tʃ i tʃ i				tʃ iː tʃ i h			
22	tɬ a t i aː	t a t i	t a t i a		t a t a	t a t i a	t a t i	tɬ a + t ɨ + h a	tɬ a t i a
24	i s t e + tɬ	i s t i	i s t i	i s t + n	i s t i	i s t i + t	o x + t	ɨ s t ɨ	i s t e
25	m i x + tɬ i		m i x + t i	m e x + tɬ i	m iː x + t i	m i x + t i		m i x + tɬ ɨ	m e x + tɬ iː
28	iː ts + t i k	s e s e k	s e s eː ʔ		s e s eː k	s e s e k		s e s e + k	
27				i ts + t i k					i ts + t iː k
30	w i ts		w iː ʔ	w i ts	w iː ts	w iː ts	w i ts	w iː ts	i b i ts
32	m i k	m i k i	m i k i	m i k i	m i g i	m i k i	m o k	m ɨ k i	m iː k iː
33	tʃ i tʃ i	tʃ u tʃ u		tʃ i tʃ i		p eː l u			tʃ iː tʃ iː + t u
51	o n + iː	x i + k	o n + i + a	o n + i	o n + i	u n + i	t e m + i	i h i	o n + i
52	w aː k + k i	w a k + t u k	w aː k + t o ʔ	w a h + k i	w aː k + t o k	w aː k + t u k	w a k	w aː k	w a h + k iː
53	n a k a s + tɬ i	n a k a s	n a k a s	n a k a s	n a g a s	n a k a s	n e k e s + t	n a k a s + tɬ ɨ	n a k a s
54	tɬ aː l + l i	t a h l i	t aː h l i	tɬ a l i	t aː h l i	t aː l	t a l	tɬ aː l + l ɨ	tɬ ø l iː
55	k w aː	b w aː	k w a	k w a	b aː	k w a	k w a	k w a + h aː	k w a
56	t oː t o l + t e + tɬ			t o t o l + t e + tɬ					t u t o l + t e tɬ
57			t e k s i s		t e k s i s	t e k s i s + t i			
60	iː x + t e l o l o ʔ	iː x	iː x	i x + t e l o l o	iː x + t o l o l o	iː x	i x + t o t o l u + t	iː x	i x + t e l o l o
79	i h w i + tɬ	i j + u h w i + j u		i h w i + tɬ				ɨ w ɨ	
81			ts o h m i + ʔ		ts o h m i + t				
83	tɬ e + tɬ	t i + t	t i ʔ + t i	tɬ e + tɬ	t i + t	t iː + t	t e + t	tɬ a h i + tɬ	tɬ e + ts i n + tɬ iː
84	m i tʃ + i n			m i tʃ i		m i tʃ i n	m i tʃ o m	m ɨ + tʃ ɨ + m	m iː tʃ iː
85			t oː p o h		t oː p o h				
87	p a tɬ aː n	p a r a n i	p a t aː n i	p a tɬ a n i	p a t aː n i	p a t aː n i	p a t a n k	p a tɬ aː n i	p a tɬ ø n i
88	kx i + tɬ	i kx i	i kx i	i kx i	i kx i	kx i		ɨ kx ɨ	i kx iː
90	t eː n + t o k		t eː n + t o ʔ	t e n + t o k	t eː n + t o k	t eː n + t u k		t eː n + t o k	t i e n + t iː k a
92	m a k a	m a	m a k a	m a k a	m a g a	m a k a	m e k a	m a k a	m a k a
93	k w a l + l i			k w a l i					k w a l iː
94		j e k + t i	j eː k + t i		j e k + t i	j eː k		j eː k + tɬ ɨ	
97	j e k + tɬ i							j eː k + tɬ ɨ	
98	x o x o k + t i k		x o x o k + t i ʔ	x o x o k + t i k	x o x o k + t i k				x o x o k + t iː k
99		x u x u i + k				x u x u w i + k			
101	ts o n + tɬ i	ts u n + t i		ts o n + tɬ i			ts o n	ts o m	ts o n + tɬ iː
102			ts o n + k a l		ts o n + g a l	ts u n + k a l			
103	m aː	m aː + n	m a j i ʔ	m a + n	m aː	m e j	m a i	m a h	m ø
105	k w aː + tɬ						k w a i + t		
104		ts u n + t e k o n	ts o n + t e k o n	ts o n + t e k o	ts o n + t e g o n	ts u n + t e k u m a + t		k w a h	ts o n + t e k o
106	k a k	k a i	k a k i	k a k i	g a g i	k aː k i	k e k i	k a k i	k a k iː
107	j oː l + l i	j u h + l u		j o l + o		j u l	n	j oː l	j u l o h + tɬ iː
125	k w aː k w a w + tɬ	k o k o i t	k w aː k w a	k w a k o w	b aː b aː				
138	n e ʔ w aː + tɬ	n e h e	n e h	n e h w a + tɬ	n e h a	n a	n e n	n a h a	n a h a
139	m i k iː + t i aː	m i k + t i	m i k + t i a	m i k + t i a	m i k + t i a	m i k + t i a	m o k t i	m ɨ k + t ɨ + h a	m iː k + t iː a
140	tɬ a n + k w a i	t a m + b w a + n	t a n + k w aː + ʔ	tɬ a n + k w a	t a m + b a			tɬ a n + k w a h	tɬ a n + k w a t e
142	m a t	m a	m a t i	m a t i	m a t i	m a t i	m e t i	m a t i	m a t iː
143	i s w a + tɬ	i s w a + t	i s w a ʔ		i s w a + t	i s w a + t		ɨ s w a + tɬ	
144				x i w i + tɬ			x u t		x iː b iː tɬ
145	m o + t eː k a	m u + r e k a + k	m o + t eː c a	m o + t e k a	m o + t e g a	m u + t eː k a	t e k e	m o + t eː k a	m o + t i e k a
158	w eː i j a k	w e j a k	w eː j a k t i ʔ	w e j a k	w eː j a k	w e j a k		w e h e j a + k	b e j a k
159	a t e m i + tɬ	aː t i n	a t i m i ʔ		aː t i n	a t i m e + t	a t o m + t	a t ɨ m ɨ + tɬ	a t iː m iː + tɬ
176	t aː k a + tɬ	t aː k a + t	t aː g a + ʔ	tɬ a k a tɬ	t aː g a + t	t aː k a + t	o k o x + t	tɬ aː k a + tɬ	u m b r e
177	m i a k iː n	m i a k p a	m i a ʔ	m i a k	m i a k	m i j a k		m ɨ j a k	m e j a k
179	n a k a + tɬ	n a k a + t	n a k a + ʔ	n a k a + tɬ	n a g a + t	n a k a + t	n e k e + t	n a k a + tɬ	n a k a + tɬ
180	m eː ts + tɬ i	m eː ts + t i	m eː ts + t i	m e ts + tɬ i	m eː s + t i	m eː ts + t i	m e s + t	m eː ts + tɬ ɨ	m i e ts + tɬ iː
