COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ iː +								
2-1	+ + n e x + t iː								
8-1	w e + j i +								
16-1	+ e s + t iː								
24-1	iː s t iː x x								
32-1	m iː k iː								
51-1	tʃ iː u n + + iː + +								
52-1	w a k + t u k								
53-1	n a k a s + + +								
54-1	t o l iː + + +								
55-1	k w a + + +								
60-1	iː x iː iː iː iː iː + +								
83-1	+ + t iː + tʃ + t +								
87-1	p a t o n iː +								
92-1	m a k a								
103-1	m a x + + +								
106-1	k a k iː								
138-1	n e h + a + +								
139-1	m iː k + + t iː a + + +								
142-1	m a t								
145-1	m o + t e + k a +								
176-1	t a + + k a + t								
179-1	n a k a + t								
180-1	m e + ts + t iː								
186-1	k e tʃ + + + + + +								
190-1	j a k a + + +								
194-1	s e + +								
220-1	o h + + t + iː +								
231-1	iː + t a								
240-1	k o tʃ iː								
283-1	+ + t e + + t +								
293-1	iː n iː i								
314-1	k w a x iː + + + + t								
315-1	o m e +								
322-1	t e h iː m e n + + + + +								
323-1	t e + + +								
9-1	t o t o + t								
17-1	u + m iː + t								
22-1	t a t iː + + + + + + +								
30-1	w iː ts								
88-1	iː Ø iː								
158-1	w e + + j a k + +								
159-1	a t iː m + + + +								
177-1	m iː + a k +								
184-1	t o k a + + + +								
187-1	j a n k w iː + k								
227-1	+ + x a l iː + + +								
1-2		n o Ø Ø +							
2-2		u u u h n Ø Ø + Ø o							
8-2		Ø Ø u t j u							
16-2		u e s + Ø Ø							
24-2		i s t Ø + h							
32-2		tɬ Ø k iː							
51-2		u Ø n tʃ + i u u							
52-2		Ø a k + k Ø h							
53-2		n a k a s e							
54-2		Ø Ø l e							
55-2		k Ø a tʃ tʃ tʃ							
60-2		i Ø t Ø l Ø l o u u u							
83-2		u u u Ø Ø u tʃ + Ø u							
87-2		Ø a Ø Ø n u iː							
92-2		tɬ a k a							
103-2		tɬ a u tʃ u							
106-2		k a k iː							
138-2		n e h Ø + Ø							
139-2		tɬ Ø k u u + t Ø a tʃ tʃ tʃ							
142-2		tɬ a t iː							
145-2		u o + t e u k a							
176-2		t Ø u u k a u + Ø							
179-2		n a k a + Ø							
180-2		tɬ Ø u s + Ø Ø							
186-2		k Ø Ø u u u Ø							
190-2		j Ø k Ø + tɬ u u							
194-2		s e u u							
220-2		o h + u Ø u Ø u							
231-2		iː t Ø a							
240-2		k o Ø iː							
283-2		u u u u t e u + Ø u							
293-2		i n u h							
314-2		k Ø a Ø iː + tʃ tʃ tʃ Ø							
315-2		o tɬ e u							
322-2		t e h h Ø e tʃ tʃ tʃ tʃ tʃ							
323-2		Ø Ø u u u u							
9-2		t o t o + Ø							
17-2		o u u Ø + Ø							
22-2		Ø a t Ø a tʃ tʃ tʃ tʃ tʃ tʃ							
88-2		i Ø Ø Ø							
158-2		Ø Ø tʃ e j a k u u tʃ tʃ							
159-2		a t Ø n e u Ø							
177-2		tɬ Ø u a k u u							
184-2		t o k a h tʃ + u							
187-2		j a n k Ø Ø + k							
227-2		u h Ø Ø l e							
1-3			n o tʃ iː + e						
2-3			u u n n + n e x + tɬ iː						
8-3			w e u t j u u						
16-3			u e s + tɬ iː						
24-3			iː s t iː						
32-3			m iː k						
51-3			u iː n + iː u						
52-3			w a k + k						
53-3			n a k a s e						
54-3			tɬ Ø l e e						
55-3			k w a u u u						
60-3			i x + t n iː iː u u u						
83-3			u u tɬ iː u + tɬ u						
87-3			p a tɬ Ø n u						
92-3			m a k e						
103-3			m a u u n						
106-3			k a k						
138-3			n e h u a +						
139-3			m iː k u u + t iː a u u u						
142-3			m a t						
145-3			m o + t e u k a u u						
176-3			ʰt Ø u u k a u + tɬ						
179-3			n a k a + tɬ						
180-3			m e u ts + tɬ iː						
186-3			k e tʃ u u e						
190-3			j e k n + u u						
194-3			s e u u						
220-3			o h + u tɬ u iː u						
231-3			iː t a						
240-3			k o tʃ						
283-3			u u u u t e + t u						
293-3			iː n Ø u						
314-3			k w e w + u u u tɬ						
315-3			o m e u						
322-3			t e h u w e n u u u u u						
323-3			tɬ e u u u						
9-3			t o t o + tɬ						
17-3			o u m iː + tɬ						
22-3			tɬ a t iː a j j j j j j						
30-3			u w iː ts						
88-3			Ø iː						
158-3			w Ø u e j a k u u						
159-3			e t iː m e + tɬ						
177-3			m iː t a k u						
