COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	kx i + tɬ								
2-1	k w a w + tɬ								
8-1	w i ts								
16-1	s i + tɬ								
24-1	o m i + tɬ								
32-1	m i k								
51-1	i n + oː n								
52-1	aː k								
53-1	n a k a + tɬ								
54-1	tɬ a l + l i								
55-1	k w a w + tɬ								
60-1	i n + oː n								
1-2		h iː n i							
2-2		n e h + t i							
8-2		k e tʃ							
16-2		n e h + t i							
24-2		i s t i							
32-2		m i k							
51-2		u h + t i							
52-2		m aː + t							
53-2		j a k							
54-2		t aː n							
55-2		k a k							
60-2		h uː n i							
1-3			m o + t i						
2-3			n e h + t i						
8-3			k o tʃ i						
16-3			m o + t i						
24-3			i s t i						
32-3			m i t i						
51-3			o h + t i						
52-3			m a k + t i						
53-3			n a k a + ʔ						
54-3			t e h						
55-3			k a k + t i						
60-3			t e h						
1-4				m o + tɬ i					
2-4				n e h + tɬ i					
8-4				w e j a					
16-4				n e h + tɬ i					
24-4				i kx i					
32-4				m i k					
51-4				o h + tɬ i					
52-4				j e w a l i					
53-4				n a k a n					
54-4				tɬ a l i					
55-4				k a k a					
60-4				i kx i					
1-5					ts o n				
2-5					b a g a + t				
8-5					w eː tʃ				
16-5					aː + t				
24-5					i s t i				
32-5					m i k				
51-5					h oː n				
52-5					j a g a + t				
53-5					n a g a				
54-5					t e h a				
55-5					g a g a				
60-5					i s t i				
1-6						n u n i			
2-6						t aː n i			
8-6						w e j a			
16-6						uː m e + t			
24-6						i s t i			
32-6						m i k			
51-6						u h + t i			
52-6						j a k			
53-6						n a k a			
54-6						t aː l i			
55-6						k a k a			
60-6						t aː + t			
1-7							o x + t		
2-7							k o x + t		
8-7							n e n		
16-7							o x + t		
24-7							t o + t		
32-7							m e k i		
51-7							n e n		
52-7							k o + t		
53-7							n e k e		
54-7							t e n		
55-7							k o x + t		
60-7							t e + t		
1-8								oː m ɨ + m	
2-8								k w a + tɬ	
8-8								s eː	
16-8								s eː + tɬ ɨ	
24-8								oː m ɨ + tɬ	
32-8								m ɨ k	
51-8								o h + tɬ ɨ	
52-8								s e + k	
53-8								n a k a + tɬ	
54-8								t ə + tɬ	
55-8								k w a + tɬ	
60-8								ɨ h t ɨ	
1-9									m iː tʃ iː
2-9									n e h + tɬ iː
8-9									tɬ i n iː n u
16-9									tɬ i n + tɬ iː
24-9									t i e + tɬ iː
32-9									m iː k iː
51-9									ts o n + tɬ iː
52-9									n a k iː
53-9									j a k a
54-9									i n + tɬ iː
55-9									k a k a
60-9									t u t u
