COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n e ʔ + n e m i								
2-1	k e tʃ + tɬ i								
8-1	w i ts								
16-1	o ʔ + tɬ i								
24-1	kx i + tɬ								
32-1	m i a k iː n								
51-1	o ʔ + tɬ i								
52-1	w i ts								
53-1	n a k a + tɬ								
54-1	tɬ a n + tɬ i								
55-1	k w aː + tɬ								
60-1	i s t aː k								
1-2		n e h e							
2-2		n e h + t i							
8-2		w e j a k							
16-2		j u h + l u							
24-2		i s t aː k							
32-2		m i k + t i							
51-2		ts u n + t i							
52-2		w e j a k							
53-2		n a k a + t							
54-2		t aː k a + t							
55-2		k o i + t							
60-2		x aː h l i							
1-3			m o + t eː						
2-3			t aː g a + ʔ						
8-3			s eː						
16-3			s i w a + ʔ						
24-3			i s t aː ʔ						
32-3			m i a ʔ						
51-3			o h + t i						
52-3			w iː l + t i ʔ						
53-3			n a k a + ʔ						
54-3			t aː g a + ʔ						
55-3			k a k i						
60-3			i s t aː ʔ						
1-4				m o + tɬ a l i					
2-4				n e n e p i + tɬ					
8-4				w i ts					
16-4				s i w a + tɬ					
24-4				i s t a k					
32-4				m i a k					
51-4				o h + tɬ i					
52-4				w i ts					
53-4				n a k a + tɬ					
54-4				tɬ a n					
55-4				k w a + tɬ					
60-4				k o tʃ i					
1-5					h oː n				
2-5					n e h a				
8-5					s o aː + t				
16-5					s o aː + t				
24-5					i s t aː k				
32-5					m i a k				
51-5					o h + t i				
52-5					w eː j a k				
53-5					n e h a				
54-5					t eː				
55-5					g a g i				
60-5					o h + t i				
1-6						k u tʃ i			
2-6						k u tʃ i			
8-6						w iː ts			
16-6						s eː			
24-6						i h t i			
32-6						m i tʃ i n			
51-6						u h + t i			
52-6						w iː ts			
53-6						n a k a			
54-6						t aː			
55-6						k aː k i			
60-6						k u tʃ i			
1-7							n		
2-7							k o x + t		
8-7							w i ts		
16-7							s e		
24-7							i t a		
32-7							m o k t i		
51-7							i n a		
52-7							w i ts		
53-7							n e k e + t		
54-7							t e		
55-7							k o x + t		
60-7							i n a		
1-8								m o h + tɬ ɨ	
2-8								k w a h	
8-8								w iː ts	
16-8								j oː l	
24-8								ɨ kx ɨ	
32-8								m ɨ j a k	
51-8								o h + tɬ ɨ	
52-8								j oː k + tɬ ɨ	
53-8								n a k a	
54-8								tɬ a n	
55-8								k w a h	
60-8								i n	
1-9									n e n e p iː l
2-9									k w a b iː + tɬ
8-9									b e j a k
16-9									s i e
24-9									i kx iː
32-9									m e j a k
51-9									o h + tɬ iː
52-9									j o w a l iː
53-9									n a k a + tɬ
54-9									tɬ i n iː n u
55-9									k o tʃ iː
60-9									ts o n + tɬ iː
