COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1									
2-1									
8-1	eː w j								
16-1									
24-1									
32-1	i k m								
51-1	i i i w aː + tɬ								
52-1	k aː w								
53-1									
54-1	tɬ aː l								
55-1	k w aː								
60-1	x iː								
83-1									
87-1									
92-1	a m								
103-1	aː n								
106-1	a i k								
138-1	n e ʔ w aː								
139-1									
142-1	a m								
145-1									
176-1									
179-1									
180-1									
186-1	k e + tʃ								
190-1	aː h k								
194-1	eː s								
220-1									
231-1	i tɬ aː								
240-1									
283-1									
293-1	i n +								
314-1									
315-1	oː m e								
322-1									
323-1	eː t								
9-1									
17-1	+ i tɬ i								
22-1									
30-1	i w ts								
88-1	i i kx								
158-1									
159-1									
177-1									
184-1									
187-1									
227-1									
1-2									
2-2									
8-2		eː + u h w							
16-2									
24-2									
32-2		m + n i k							
51-2		i + n i							
52-2		a i k x							
53-2									
54-2		a l t							
55-2		b w a							
60-2		x iː							
83-2									
87-2									
92-2									
103-2		u k m							
106-2		b a i k							
138-2		n e h e							
139-2									
142-2		a + t m							
145-2									
176-2									
179-2									
180-2									
186-2		b e tʃ							
190-2		j a + k							
194-2		eː s							
220-2									
231-2		e ʰt							
240-2		b o tʃ							
283-2									
293-2		n iː h							
314-2									
315-2		uː m e							
322-2									
323-2		a r							
9-2									
17-2		o r w							
22-2									
88-2		i i kx							
158-2									
159-2									
177-2									
184-2									
187-2									
227-2									
1-3									
2-3									
8-3			eː w j						
16-3									
24-3									
32-3			k o m						
51-3			i + i w aː + ʔ						
52-3			aː ʔ w						
53-3									
54-3			aː l i ʔ						
55-3			k w aː						
60-3			x iː						
83-3									
87-3									
92-3			aː m						
103-3			aː m						
106-3			a k ʔ						
138-3			eː n n						
139-3									
142-3			aː m						
145-3									
176-3									
179-3									
180-3									
186-3			k e tʃ						
190-3			j a k						
194-3			eː s						
220-3									
231-3			aː t t						
240-3			k o tʃ						
283-3									
293-3			i aː ʔ n						
314-3									
315-3			oː m e						
322-3									
323-3			aː t						
9-3									
17-3			+ o t						
22-3									
30-3			ts i w						
88-3			iː kx						
158-3									
159-3									
177-3									
184-3									
187-3									
227-3									
1-4									
2-4									
8-4				j e w					
16-4									
24-4									
32-4				m i k					
51-4				e h i					
52-4				a k i n w					
53-4									
54-4				tɬ a l					
55-4				a w k					
60-4				x i					
83-4									
87-4									
92-4				a m					
103-4				a m					
106-4				i a k					
138-4				e h w a n					
139-4									
142-4				a m					
145-4									
176-4									
179-4									
180-4									
186-4				e k tʃ					
190-4				k a j					
194-4				e s					
220-4									
231-4				i tɬ a					
240-4				k i n o tʃ					
283-4									
293-4				e n i					
314-4									
315-4				e o m					
322-4									
323-4				e t					
9-4									
17-4				i + + tɬ					
30-4				ts w i					
88-4				i i kx					
158-4									
177-4									
184-4									
187-4									
227-4									
1-5									
2-5									
8-5					eː w				
16-5									
24-5									
32-5					g m i				
51-5					i h i				
52-5					aː k w				
53-5									
54-5					t aː t i				
55-5					a b				
60-5					x iː				
83-5									
87-5									
92-5					a w m				
103-5					aː m				
106-5					a g k				
138-5					m e h a				
139-5									
142-5					a m t				
145-5									
176-5									
179-5									
180-5									
186-5					k e tʃ				
190-5					j a k				
194-5					eː s				
220-5									
231-5					a t t				
240-5					g o tʃ				
283-5									
293-5					n l aː				
314-5									
315-5					oː m e				
322-5									
323-5					e t				
9-5									
17-5					t + o				
22-5									
30-5					l ts w				
88-5					i i kx				
158-5									
159-5									
177-5									
184-5									
187-5									
227-5									
1-6									
2-6									
8-6						eː w			
16-6									
24-6									
32-6						k m u			
51-6						i h i			
52-6						k aː w			
53-6									
54-6						l aː t			
55-6						a k w			
60-6						x iː			
83-6									
87-6									
92-6						a m			
103-6						aː m			
106-6						k k a			
138-6						a n			
139-6									
142-6						a m			
145-6									
176-6									
179-6									
180-6									
186-6						e k tʃ			
190-6						a k j			
194-6						eː s			
220-6									
231-6						aː ʰt			
240-6						u k tʃ			
283-6									
293-6						h i m			
314-6									
315-6						u m e			
322-6									
323-6						e t			
9-6									
17-6						t + o			
22-6									
30-6						ts i w			
88-6						i kx i			
158-6									
159-6									
177-6									
184-6									
187-6									
227-6									
1-7									
2-7									
8-7							j e w		
16-7									
24-7									
32-7							+ m i k		
51-7							h i i		
52-7							k a w		
53-7									
54-7							l a t		
55-7							a w k		
60-7							x iː		
83-7									
87-7									
92-7							k m		
103-7							a m		
106-7							e k a		
138-7							x n		
139-7									
142-7							k m		
145-7									
176-7									
179-7									
180-7									
186-7							tʃ e a		
190-7							k a n		
194-7							eː s		
220-7									
231-7							e ʰt		
240-7							tʃ o k		
283-7									
293-7							n i		
314-7									
315-7							e m uː		
