COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m o tʃ i + n								
2-1	n e x + tɬ i								
8-1	w eː								
16-1	e s + tɬ i								
24-1	i s t e + tɬ								
32-1	m i k								
51-1	o n + iː								
52-1	w aː k + k i								
53-1	n a k a s + tɬ i								
54-1	tɬ aː l + l i								
55-1	k w aː								
60-1	iː x + t e l o l o ʔ								
1-2		m u tʃ i							
2-2		k o + n e x + t i							
8-2		w e j							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		x i + k							
52-2		w a k + t u k							
53-2		n a k a s							
54-2		t a h l i							
55-2		b w aː							
60-2		iː x							
1-3			n o tʃ i						
2-3			k w a + n eː x						
8-3			w e j i						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + i + a						
52-3			w aː k + t o ʔ						
53-3			n a k a s						
54-3			t aː h l i						
55-3			k w a						
60-3			iː x						
1-4				n o tʃ i + n					
2-4				tɬ e k o + n e x + tɬ i					
8-4				w e j i					
16-4				j e s + tɬ i					
24-4				i s t + n					
32-4				m i k i					
51-4				o n + i					
52-4				w a h + k i					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x + t e l o l o					
1-5					n o tʃ i				
2-5					b a + n eː x				
8-5					w eː j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + i				
52-5					w aː k + t o k				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b aː				
60-5					iː x + t o l o l o				
1-6						m u tʃ i			
2-6						n e x + t i			
8-6						w eː j			
16-6						e s + t i			
24-6						i s t i + t			
32-6						m i k i			
51-6						u n + i			
52-6						w aː k + t u k			
53-6						n a k a s			
54-6						t aː l			
55-6						k w a			
60-6						iː x			
1-7							n o tʃ o		
2-7							n o x + t		
8-7							h u h i o m		
16-7							e s + t		
24-7							o x + t		
32-7							m o k		
51-7							t e m + i		
52-7							w a k		
53-7							n e k e s + t		
54-7							t a l		
55-7							k w a		
60-7							i x + t o t o l u + t		
1-8								m o tʃ ɨ + m	
2-8								n ɨ x + tɬ ɨ	
8-8								w e h e j	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ	
32-8								m ɨ k i	
51-8								i h i	
52-8								w aː k	
53-8								n a k a s + tɬ ɨ	
54-8								tɬ aː l + l ɨ	
55-8								k w a + h aː	
60-8								iː x	
1-9									n o tʃ iː
2-9									tɬ a k o + n e x + tɬ iː
8-9									b i e j iː
16-9									j e s + tɬ iː
24-9									i s t e
32-9									m iː k iː
51-9									o n + i
52-9									w a h + k iː
53-9									n a k a s
54-9									tɬ ø l iː
55-9									k w a
60-9									i x + t e l o l o
