ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
354	42_i	I 	ClassicalNahuatl	Classical Nahuatl	neʔwaː-tl	neʔwaː-tl	n e ʔ w aː + tɬ	clas1250	19.72	-96.97	Uto-Aztecan	138
355	42_i	I 	TetelcingoNahuatl	Tetelcingo Nahuatl	naha	naha	n a h a	tete1251	18.8854	-98.893	Uto-Aztecan	138
356	42_i	I 	NorthPueblaNahuatl	North Puebla Nahuatl	nehwa-tl	nehwa-tl	n e h w a + tɬ	nort2957	20.1356	-97.9814	Uto-Aztecan	138
357	42_i	I 	MecayapanNahuat	Mecayapan Nahuat	neh	neh	n e h	isth1242	18.2	-94.7547	Uto-Aztecan	138
358	42_i	I 	PajapanNahuat	Pajapán Nahuat	neha	neha	n e h a	isth1241	18.2513	-94.6647	Uto-Aztecan	138
359	42_i	I 	JalupaNahuat	Jalupa Nahuat	nehe	nehe	n e h e	taba1265	17.9371	-93.5688	Uto-Aztecan	138
360	42_i	I 	Pipil	Pipil	na ~ nah ~ naha	na	n a	pipi1250	13.8931	-89.443	Uto-Aztecan	138
361	42_i	I 	Pochutec	Pochutec	nen	nen	n e n	poch1244	15.735073	-96.468076	Uto-Aztecan	138
362	42_i	I 	ProtoAztecan	Proto-Aztecan	*naha	*naha	n a h a	azte1234			Uto-Aztecan	138
1	1_alltodos	all (todos) 	ClassicalNahuatl	Classical Nahuatl	mochi-n	mochi-n	m o tʃ i + n	clas1250	19.72	-96.97	Uto-Aztecan	1
2	1_alltodos	all (todos) 	TetelcingoNahuatl	Tetelcingo Nahuatl	nochiː	nochiː	n o tʃ iː	tete1251	18.8854	-98.893	Uto-Aztecan	1
3	1_alltodos	all (todos) 	NorthPueblaNahuatl	North Puebla Nahuatl	nochi-n	nochi-n	n o tʃ i + n	nort2957	20.1356	-97.9814	Uto-Aztecan	1
4	1_alltodos	all (todos) 	MecayapanNahuat	Mecayapan Nahuat	(i)nochi	nochi	n o tʃ i	isth1242	18.2	-94.7547	Uto-Aztecan	1
5	1_alltodos	all (todos) 	PajapanNahuat	Pajapán Nahuat	nochi	nochi	n o tʃ i	isth1241	18.2513	-94.6647	Uto-Aztecan	1
6	1_alltodos	all (todos) 	JalupaNahuat	Jalupa Nahuat	muchi	muchi	m u tʃ i	taba1265	17.9371	-93.5688	Uto-Aztecan	1
7	1_alltodos	all (todos) 	Pipil	Pipil	muchi	muchi	m u tʃ i	pipi1250	13.8931	-89.443	Uto-Aztecan	1
8	1_alltodos	all (todos) 	Pochutec	Pochutec	nochó	nochó	n o tʃ ó/o	poch1244	15.735073	-96.468076	Uto-Aztecan	1
9	1_alltodos	all (todos) 	ProtoAztecan	Proto-Aztecan	*mochɨ-m	*mochɨ-m	m o tʃ ɨ + m	azte1234			Uto-Aztecan	1
10	2_ashes	ashes 	ClassicalNahuatl	Classical Nahuatl	nex-tli	nex-tli	n e x + tɬ i	clas1250	19.72	-96.97	Uto-Aztecan	2
11	2_ashes	ashes 	TetelcingoNahuatl	Tetelcingo Nahuatl	tlako-nex-tliː	tlako-nex-tliː	tɬ a k o + n e x + tɬ iː	tete1251	18.8854	-98.893	Uto-Aztecan	2
12	2_ashes	ashes 	NorthPueblaNahuatl	North Puebla Nahuatl	tleko-nex-tli	tleko-nex-tli	tɬ e k o + n e x + tɬ i	nort2957	20.1356	-97.9814	Uto-Aztecan	2
13	2_ashes	ashes 	MecayapanNahuat	Mecayapan Nahuat	kwa-neːx	kwa-neːx	k w a + n eː x	isth1242	18.2	-94.7547	Uto-Aztecan	2
14	2_ashes	ashes 	PajapanNahuat	Pajapán Nahuat	ba-neːx	ba-neːx	b a + n eː x	isth1241	18.2513	-94.6647	Uto-Aztecan	2
15	2_ashes	ashes 	JalupaNahuat	Jalupa Nahuat	kó-nex-ti	kó-nex-ti	k ó/o + n e x + t i	taba1265	17.9371	-93.5688	Uto-Aztecan	2
16	2_ashes	ashes 	Pipil	Pipil	nex-ti	nex-ti	n e x + t i	pipi1250	13.8931	-89.443	Uto-Aztecan	2
17	2_ashes	ashes 	Pochutec	Pochutec	nox-t	nox-t	n o x + t	poch1244	15.735073	-96.468076	Uto-Aztecan	2
18	2_ashes	ashes 	ProtoAztecan	Proto-Aztecan	*nɨx-tlɨ	*nɨx-tlɨ	n ɨ x + tɬ ɨ	azte1234			Uto-Aztecan	2
19	3_bark	bark 	ClassicalNahuatl	Classical Nahuatl	eːwa-tl	eːwa-tl	eː w a + tɬ	clas1250	19.72	-96.97	Uto-Aztecan	3
20	3_bark	bark 	TetelcingoNahuatl	Tetelcingo Nahuatl	yewa-yu-tl	yewa-yu-tl	j e w a + j u + tɬ	tete1251	18.8854	-98.893	Uto-Aztecan	3
21	3_bark	bark 	NorthPueblaNahuatl	North Puebla Nahuatl	-yewa-yo	-yewa-yo	j e w a + j o	nort2957	20.1356	-97.9814	Uto-Aztecan	3
22	3_bark	bark 	MecayapanNahuat	Mecayapan Nahuat	kwa-kahloː-ʔ	kwa-kahloː-ʔ	k w a + k a h l oː + ʔ	isth1242	18.2	-94.7547	Uto-Aztecan	4
23	3_bark	bark 	PajapanNahuat	Pajapán Nahuat	-ba-gahlo	-ba-gahlo	b a + g a h l o	isth1241	18.2513	-94.6647	Uto-Aztecan	4
24	3_bark	bark 	JalupaNahuat	Jalupa Nahuat	-sul-koi	-sul-koi	s u l + k o i	taba1265	17.9371	-93.5688	Uto-Aztecan	5
25	3_bark	bark 	Pipil	Pipil	-eːwa-yu	-eːwa-yu	eː w a + j u	pipi1250	13.8931	-89.443	Uto-Aztecan	3
26	3_bark	bark 	ProtoAztecan	Proto-Aztecan	*ɨwaː-yoː-tl	*ɨwaː-yoː-tl	ɨ w aː + j oː + tɬ	azte1234			Uto-Aztecan	3
27	4_belly	belly 	ClassicalNahuatl	Classical Nahuatl	-iʔte	-iʔte	i ʔ t e	clas1250	19.72	-96.97	Uto-Aztecan	6
28	4_belly	belly 	TetelcingoNahuatl	Tetelcingo Nahuatl	-ihte	-ihte	i h t e	tete1251	18.8854	-98.893	Uto-Aztecan	6
29	4_belly	belly 	NorthPueblaNahuatl	North Puebla Nahuatl	-ihte, -pox	-ihte	i h t e	nort2957	20.1356	-97.9814	Uto-Aztecan	6
30	4_belly	belly 	MecayapanNahuat	Mecayapan Nahuat	-talax (exterior)	-talax_	t a l a x	isth1242	18.2	-94.7547	Uto-Aztecan	7
31	4_belly	belly 	PajapanNahuat	Pajapán Nahuat	-ihti	-ihti	i h t i	isth1241	18.2513	-94.6647	Uto-Aztecan	6
32	4_belly	belly 	JalupaNahuat	Jalupa Nahuat	-ihti	-ihti	i h t i	taba1265	17.9371	-93.5688	Uto-Aztecan	6
33	4_belly	belly 	Pipil	Pipil	-ihti	-ihti	i h t i	pipi1250	13.8931	-89.443	Uto-Aztecan	6
34	4_belly	belly 	ProtoAztecan	Proto-Aztecan	*-ɨhtɨ	*-ɨhtɨ	ɨ h t ɨ	azte1234			Uto-Aztecan	6
35	5_big	big 	ClassicalNahuatl	Classical Nahuatl	weː(i)	weː	w eː	clas1250	19.72	-96.97	Uto-Aztecan	8
36	5_big	big 	TetelcingoNahuatl	Tetelcingo Nahuatl	bieyiː	bieyiː	b i e j iː	tete1251	18.8854	-98.893	Uto-Aztecan	8
37	5_big	big 	NorthPueblaNahuatl	North Puebla Nahuatl	weyi	weyi	w e j i	nort2957	20.1356	-97.9814	Uto-Aztecan	8
38	5_big	big 	MecayapanNahuat	Mecayapan Nahuat	weyi	weyi	w e j i	isth1242	18.2	-94.7547	Uto-Aztecan	8
39	5_big	big 	PajapanNahuat	Pajapán Nahuat	weːy	weːy	w eː j	isth1241	18.2513	-94.6647	Uto-Aztecan	8
40	5_big	big 	JalupaNahuat	Jalupa Nahuat	wey	wey	w e j	taba1265	17.9371	-93.5688	Uto-Aztecan	8
41	5_big	big 	Pipil	Pipil	weːy	weːy	w eː j	pipi1250	13.8931	-89.443	Uto-Aztecan	8
42	5_big	big 	Pochutec	Pochutec	huhióm	huhióm	h u h i ó/o m	poch1244	15.735073	-96.468076	Uto-Aztecan	8
43	5_big	big 	ProtoAztecan	Proto-Aztecan	*wehey(ɨ)	*wehey	w e h e j	azte1234			Uto-Aztecan	8
44	6_bird	bird 	ClassicalNahuatl	Classical Nahuatl	toːtoː-tl	toːtoː-tl	t oː t oː + tɬ	clas1250	19.72	-96.97	Uto-Aztecan	9
45	6_bird	bird 	TetelcingoNahuatl	Tetelcingo Nahuatl	tutu-tl	tutu-tl	t u t u + tɬ	tete1251	18.8854	-98.893	Uto-Aztecan	9
46	6_bird	bird 	NorthPueblaNahuatl	North Puebla Nahuatl	toto-tl	toto-tl	t o t o + tɬ	nort2957	20.1356	-97.9814	Uto-Aztecan	9
47	6_bird	bird 	MecayapanNahuat	Mecayapan Nahuat	toːtoː-ʔ	toːtoː-ʔ	t oː t oː + ʔ	isth1242	18.2	-94.7547	Uto-Aztecan	9
48	6_bird	bird 	PajapanNahuat	Pajapán Nahuat	toːto-t	toːto-t	t oː t o + t	isth1241	18.2513	-94.6647	Uto-Aztecan	9
49	6_bird	bird 	JalupaNahuat	Jalupa Nahuat	tuːru-t	tuːru-t	t uː r u + t	taba1265	17.9371	-93.5688	Uto-Aztecan	9
50	6_bird	bird 	Pipil	Pipil	tuːtu-t (Santo Domingo de Guzmán), wiːlu-t (Cuisnahuat)	tuːtu-t_	t uː t u + t	pipi1250	13.8931	-89.443	Uto-Aztecan	9
51	6_bird	bird 	ProtoAztecan	Proto-Aztecan	*toːtoː-tl	*toːtoː-tl	t oː t oː + tɬ	azte1234			Uto-Aztecan	9
52	7_bite	bite 	ClassicalNahuatl	Classical Nahuatl	-keʔtzom(a)	-keʔtzom	k e ʔ ts o m	clas1250	19.72	-96.97	Uto-Aztecan	10
53	7_bite	bite 	TetelcingoNahuatl	Tetelcingo Nahuatl	-ketzoma	-ketzoma	k e ts o m a	tete1251	18.8854	-98.893	Uto-Aztecan	10
54	7_bite	bite 	NorthPueblaNahuatl	North Puebla Nahuatl	-tlan-kechiya	-tlan-kechiya	tɬ a n + k e tʃ i j a	nort2957	20.1356	-97.9814	Uto-Aztecan	11
55	7_bite	bite 	MecayapanNahuat	Mecayapan Nahuat	-tan-kwa	-tan-kwa	t a n + k w a	isth1242	18.2	-94.7547	Uto-Aztecan	12
56	7_bite	bite 	PajapanNahuat	Pajapán Nahuat	-tam-ba	-tam-ba	t a m + b a	isth1241	18.2513	-94.6647	Uto-Aztecan	12
57	7_bite	bite 	Pipil	Pipil	-tan-kwa	-tan-kwa	t a n + k w a	pipi1250	13.8931	-89.443	Uto-Aztecan	12
58	7_bite	bite 	ProtoAztecan	Proto-Aztecan	*-kɨh-tzoma	*-kɨh-tzoma	k ɨ h + ts o m a	azte1234			Uto-Aztecan	12
59	8_black	black 	ClassicalNahuatl	Classical Nahuatl	tliːl-tik	tliːl-tik	tɬ iː l + t i k	clas1250	19.72	-96.97	Uto-Aztecan	13
60	8_black	black 	TetelcingoNahuatl	Tetelcingo Nahuatl	tlil-tiːk, kapotz-tiːk	tlil-tiːk	tɬ i l + t iː k	tete1251	18.8854	-98.893	Uto-Aztecan	13
61	8_black	black 	NorthPueblaNahuatl	North Puebla Nahuatl	tlil-tik	tlil-tik	tɬ i l + t i k	nort2957	20.1356	-97.9814	Uto-Aztecan	13
62	8_black	black 	MecayapanNahuat	Mecayapan Nahuat	piːs-tiʔ, chaːpo-tiʔ	piːs-tiʔ	p iː s + t i ʔ	isth1242	18.2	-94.7547	Uto-Aztecan	14
63	8_black	black 	PajapanNahuat	Pajapán Nahuat	pis-tik	pis-tik	p i s + t i k	isth1241	18.2513	-94.6647	Uto-Aztecan	14
