COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
1	d ə mː ə r ə	tʃʼ e mː ə r a	d ə p ə r ə m	d a pː ə r ə	d ə bː ə r ə m	d ə mː ə r ə	d ə pː ə r ə m	d ə p ə r ə m	d a pː ə r ə	d ə b ə l a	d a pː ə r ə	d ə bː ə l ə m	d ə bː ə r ə m	d ə bː ə r ə m	d ə b ə l ə		d ə mː i r u	d ə b ə l ə	d ə b ə l ə
2	h u lː u m	d i jː u m				k w ə lː				k u lː u		k u lː ɨ m			h u lː ɨ m k ə	k ɨ lː a n	k u lː u	h u l ɨ m	h u lː u
3	k ɨ n d	k ɨ rː a			h ɨ nː ə		x ɨ n ə	h ɨ n ə			h ɨ n ɨ ʔ ə	k ɨ rː ə	h ɨ nː ə		k i r e			k i r e	
4	dʒ ə r b a	dʒ eː d	g j i ʃ ə	g j i ʃ ə	g ɨ n ʒ ə			dʒ j i ʃ ə	g i ʃ ə		g i ʃ ɨ ʔ ə	g ɨ n ʒ ə	g ɨ n ʒ ə	g ɨ n ʒ ə					
5	g ə b s					g ə b s				g uː s		g ə b s							g ə b ɨ s
6	m ə l k a m		m ə r k a m a	m ə l k a m a	m ə r k a mː a		m ə r k a mː a	m ə r k a m a	m ə r k a m a		m ə r k a m a	m ə l k a m a	m ə l k a m a	m ə l k a m a					m ə l k ə mː a
7	ʔ a l g a	ʔ a l g a	ʔ a l g a		ʔ a l g a		ʔ a l g a	ʔ a r g a	ʔ a r g a		ʔ a r g a	ʔ a l g a	ʔ a l g a	ʔ a l g a				ʔ a l g a	ʔ a l g ə
8	kʼ ə b ə tː o			kʼ ə b ə t o ʔ ə	kʼ ə b ə tː o		kʼ ə b ə tː o	kʼ ə b ə tː o	kʼ ə b ə t o ʔ ə			kʼ ə b ə tː o	kʼ ə b ə tː o	kʼ ə b ə tː o	kʼ ə b ə tː o			kʼ ə b ə tː o	
10	tʼ ɨ kʼ u r	tʼ ɨ kʼ u r	tʼ ɨ kʼ u r				tʼ ɨ k w ɨ r	tʼ ɨ kʼ u r	l ɨ kʼ u r			tʼ ɨ kʼ u r	tʼ ɨ kʼ u r	tʼ ɨ kʼ u r					
13		m ə kː a tʃː a	m ə t a g ə tʃ a																
15			ʔ ɨ nː ɨ m	h ɨ n ʔ e d i	ʔ ɨ nː ɨ m		ʔ ɨ nː ɨ m	ʔ ɨ nː ɨ m	ʔ ɨ nː ɨ ʔ		ʔ ɨ nː ə		ʔ ɨ nː ɨ m	ʔ ɨ nː ɨ m					
16			ʔ a g a t	ʔ a g a d					ʔ a g a l										
17			ʔ ə x ɨ r	ʔ ə h ɨ r	ʔ ə x ɨ r		ʔ ə h ɨ r	ʔ ə h ɨ r	ʔ ə x ɨ r		ʔ ə x ɨ r		ʔ ɨ h ɨ r	ʔ ə x i	ʔ ɨ x ɨ l	ʃ ɨ ʕ i r		ʔ ɨ x ɨ l	
18			n ɨ kʼ i j ə	n u ʔ	ʔ ɨ m i j ə		n ɨ kʼ j ə	n ɨ kʼ j ə	n ɨ k i j ə		n u ʔ i j ə		n ɨ kʼ	l ɨ ʔ ɨ j ə					
20				g ə m b ə n ə	g ə m b ə nː a						g ə m b ə n a								g ə m b ə l o
24						ʕ a r a t										ʕ a r a t	ʕ a r a t		
26						ʕ ə bː i										ʕ a b a j i			
27						s a lː i m										s ə l i m	s ə lː i m		
29										ħ a r ə kʼ						r ɨ s ɨ kʼ			ʔ a r ə kʼ
30										ħ a tʃʼ i					tʃʼ ɨ n			tʃ ɨ n	
35										tʼ əi̯					tʼ e m			t ɨ m	
42															b ə r eː d ə			b ə r e d ə	
49																m ə kʼ tʼ ə n			m ɨ s k ə t
58																		dʒ ə b ə	dʒ ə b a
60	n ə fː ə s ə	n ə fː ə h a	n ə f ə s ə m	n ə f ə s ə	n a fː ə s ə m	n ə f ħ ə	n ə f ə s ə m	n ə f ə s ə m	n ə f ə s ə		n ə f ə s ə	n ə fː ə s o	n ə fː ə s ə	n ə fː ə s ə m	n ə f ə s ə		n ə f ə s ə	n ə f ə s ə	n ə f ə s ə
61	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m	d ə m
62	f ə lː a									f ə l a ħ a		f ə lː a m			f ə l a			f ə l a	f ə l ə
63	ʔ a tʼ ɨ n t	x a tʼ ɨ m	ʔ a tʼ ɨ m	ʔ a tʼ ɨ m	ʔ a tʼ ɨ m	ʔ a s m	ʔ a tʼ ɨ m	ʔ a tʼ ɨ m	ʔ a t ɨ m	ʔ aː tʼ	ʔ a tʼ ɨ m	ʔ a tʼ ɨ m	ʔ a tʼ ɨ m	ʔ a tʼ ɨ m	h a tʼ ɨ m	ʔ a tʼ ɨ m	ʕ a s m i	ʔ a tʼ ɨ m	ʔ a tʼ ɨ m
64	d a bː o	d a m o	d a bː o	d a b o ʔ ə	d a bː o		d a bː o	d a bː o	d a p a	d aː b o	d a bː o ʔ ə	d a bː o		d a bː o				d a bː o	d a bː o
65	tʼ u t	tʼ u t	tʼ u	tʼ u w	tʼ u w		tʼ u	tʼ u	tʼ u	tʼ oː t	tʼ u	tʼ ɨ b u jː ə	tʼ u b	tʼ ɨ w ə jː ə	tʼ u b	tʼ ɨ b	tʼ u b	tʼ u b	tʼ u b
67	b ə r e		w ɨ r	w ɨ r	w ɨ r		w ɨ r	w ɨ r	w ɨ r		w ɨ r	w ɨ r	w ɨ r		w ɨ r	w ɨ h ɨ r		w ɨ r	w ɨ r
68	g o mː ə nː	g o m ə n																	
69	tʼ ɨ dʒː a	tʼ ɨ dʒː a								tʼ ɨ dʒ a		tʼ ə g		d ə g					
70		n ə fː ə r a				n ə f ə r ə										ħ a f ə n a			
71		ʔ ə h				ʔ ɨ ħ ɨ w				ʔ ɨ ħ									ʔ ɨː n
73			tʃ ə k ə r ə m	tʃ a k a rː a	tʃ ə kː w ə r ə		tʃ ə kː ə r ə m	tʃ ə k ə r ə m	tʃ ə k ə r ə		tʃ ə k w ə r ə		tʃ ə kː w ə r ə	tʃ ə kː w ə r ə m					
74			g w ə p ə		g w ə bː e		g w ə pː ai̯	g w ə p ə	g w ə p ai̯				g w ə bː e	g w ə bː e					
75			ʔ a m b ɨ r	ʔ a m b ɨ r	ʔ a m b ɨ r	ħ a m ɨ l	ʔ a m b ɨ r	ʔ a m b ɨ r	ʔ a m b ɨ r		ʔ a m b ɨ r	ʔ a m b ɨ l	ʔ a m b ɨ r	ʔ a m b i	h a m ɨ l	ħ a m l e	ħ a m l i	ʔ a m l	ʔ a m ɨ l
76			m w ə s a	m o s a	m w ə sː a		m w ə s a	m w ə s a	m w ə s a		m w ə s a		m w a s a					ʔ ɨ m b o sː ə	
77				ʔ ə ʃː ə ʔ ə m							ʔ ə s ə m								
81						ʔ ɨ g w ə l t										ʔ ɨ g a l			
84										b a ʔ a r a				b o r a					
87													f u r n o		f u r n o				
98															ʔ ɨ z ə kʼ				ʔ ɨ z ə kʼ
100																b a n i	b a n i		
101																ħ u	ħ a w		
106	m ə tʼː a	m ə tʼː a		m ə ʔ a		m ə s ʔ a					m ə ʔ a	m ə tʼː a			m ə tʼ a	m ə s a	m ɨ s a ʔ	m ə tʼ a	m aː t aː
107	g ɨ m ə l	g a m e l a	g a m e r a	g ɨ m ə l	g a m e r a	g ə m ə l	g a m e r a	g a m e r a	g a m e r a	g aː m ə l a	g a m e r a	g i m ə l	g a m e l a	g a m e l a	g aː m eː l a	g e m ə l	g ɨ m ə l	g aː m eː l a	g aː l a
