COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	Ø ə m																		
63-1	ʔ ə Ø ɨ m																		
107-1	g m e l ə																		
112-1	Ø a b ə n ə																		
331-1	n ɨ g s																		
377-1	b ɨ kʼ a r o																		
381-1	ʔ ə ɨ ɨ Ø Ø																		
417-1	r u																		
451-1	s ə b a Ø																		
454-1	ʔ ə ʔ ɨ r ɨ ɨ																		
484-1	s ɨ t ɨ s t																		
535-1	ə Ø ɨ r																		
543-1	s o s t																		
593-1	ʔ ə m u s																		
640-1	m a n ɨ																		
1-1	Ø ə Ø ə r ə																		
65-1	Ø u ɨ ɨ e																		
212-1	e n																		
244-1	ə r b o e t																		
248-1	m u r ə																		
293-1	f ə r ə																		
373-1	kʼ ɨ ɨ m l																		
408-1	b o r																		
414-1	Ø aː b ə kʼ u n ə																		
601-1	ʔ o r o b																		
642-1	ɨ ɨ n ɨ f ə s																		
60-1	n ə f ə s aː a																		
115-1	e e r ə ɨ m																		
209-1	s ə Ø ʔ ɨ t ɨ																		
242-1	ə Ø ɨ s t																		
415-1	ɨ n ə b																		
450-1	ə r ɨ																		
490-1	Ø i b ə																		
638-1	s ɨ a Ø																		
645-1	kʼ ə l																		
160-1	Ø ə r ə kʼ ɨ																		
208-1	ʔ ɨ n kʼ ɨ ʔ n ɨ																		
214-1	ʔ ə b																		
378-1	ʔ ə n g ɨ ə t ɨ																		
379-1	ə Ø ɨ ɨ ə ɨ ɨ																		
409-1	g i ɨ Ø aː r o																		
598-1	e n Ø																		
646-1	ʔ ə Ø i																		
210-1	Ø ə Ø aː n e																		
215-1	ʔ ə Ø o b ə Ø																		
285-1	m ɨ Ø ə Ø																		
332-1	ʔ ə g ɨ r																		
380-1	ʔ o Ø Ø n																		
412-1	s a Ø o n ɨ																		
64-1	Ø ə Ø o																		
67-1	Ø ɨ r																		
251-1	f i kʼ Ø ɨ																		
294-1	m ɨ kʼ																		
597-1	ʔ i ɨ m ə ɲ o																		
7-1	ʔ ə l g																		
158-1	kʼ aː m i s																		
372-1	ʔ ə n f ə r																		
374-1	b i kʼ o l o																		
375-1	s aː b e e																		
411-1	Ø ə r e ə s																		
541-1	kʼ i Ø ɨ Ø																		
6-1	m ə r ʔ Ø ə																		
113-1	b u n e																		
330-1	kʼ ə l Ø e a																		
448-1	kʼ o Ø ə n s o n b o Ø																		
449-1	ə ə																		
491-1	Ø ɨ Ø g ə t																		
596-1	n ə g ə																		
4-1	g i ʃ e e ə																		
8-1	kʼ ə b ə t a a o																		
106-1	m i ɨ a																		
