COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	kʼ ə r ə																		
63-1	ʔ a r																		
107-1	m ɨ n																		
112-1	ʔ a r																		
331-1	m ɨ n																		
377-1	ʔ a r a																		
381-1	ʔ a r																		
417-1	ʔ a r																		
451-1	kʼ ə r ə																		
454-1	ʔ a r a																		
484-1	m ɨ n																		
535-1	ʔ a r																		
543-1	ʔ a r																		
593-1	ʔ a r																		
640-1	m ɨ n																		
1-1	kʼ ə r ə																		
65-1	ʔ a r																		
212-1	ʔ a r a																		
244-1	ʔ a r																		
248-1	m ɨ n																		
293-1	ʔ a r																		
373-1	m ɨ n																		
408-1	ʔ a r a																		
414-1	m ɨ n																		
601-1	ʔ a r																		
642-1	m ɨ n																		
60-1	ʔ a r a																		
115-1	ʔ a r																		
209-1	m ɨ n																		
242-1	ʔ a r																		
415-1	ʔ a r																		
450-1	ʔ a r																		
490-1	kʼ ə r ə																		
638-1	ʔ a r																		
645-1	ʔ a r																		
160-1	kʼ ə r ə																		
208-1	ʔ a r a																		
214-1	ʔ a r																		
378-1	ʔ a r																		
379-1	kʼ ə r ə																		
409-1	ʔ a r a																		
598-1	ʔ a r																		
646-1	ʔ a r																		
210-1	ʔ a r																		
215-1	ʔ a r a																		
285-1	m ɨ n																		
332-1	ʔ a r																		
380-1	ʔ a r a																		
412-1	m ɨ n																		
64-1	ʔ a r a																		
67-1	ʔ a r a																		
251-1	ʔ a r a																		
294-1	ʔ a m ə																		
597-1	ʔ a r a																		
7-1	ʔ a r a																		
158-1	ʔ a r																		
61-2		s ə w																	
63-2		k ɨ rː a																	
107-2		x a j																	
112-2		n ə g																	
331-2		k ɨ m a																	
377-2		n ə g																	
381-2		ʔ a z																	
417-2		k ɨ rː a																	
451-2		s ə w																	
454-2		k ɨ rː a																	
484-2		k ɨ s ɨ m																	
535-2		x a j																	
543-2		k ɨ rː a																	
593-2		s ə w																	
640-2		x a j																	
1-2		n ə g																	
65-2		d ɨ n g																	
163-2		s ə w																	
212-2		k ɨ rː a																	
244-2		ʔ a z																	
248-2		x a j																	
293-2		s ə w																	
373-2		k ɨ rː a																	
408-2		x a j																	
414-2		k ɨ rː a																	
642-2		x a j																	
60-2		n ə g																	
115-2		x a j																	
209-2		m ɨ n																	
242-2		k ɨ rː a																	
415-2		k ɨ rː a																	
450-2		m ə tʼː a																	
490-2		n ə g																	
645-2		k ɨ rː a																	
160-2		n ə g																	
208-2		k ɨ rː a																	
378-2		x a j																	
379-2		n ə g																	
409-2		n ə g																	
598-2		tʃ ə w																	
646-2		x a j																	
210-2		x a j																	
215-2		k ɨ rː a																	
285-2		m ɨ sː a																	
380-2		ʔ a m																	
412-2		s ə w																	
496-2		n ə g ə																	
64-2		ʔ a z o																	
251-2		k ɨ rː a																	
294-2		kʼ ə w																	
597-2		x a j																	
7-2		k ɨ rː a																	
158-2		s ə w																	
61-3			t ɨ r																
63-3			ʔ ɨ x a																
107-3			g a n																
112-3			m ə t																
331-3			n ɨ kʼ ə																
377-3			s ə b																
381-3			ʔ a t a																
417-3			h u t																
451-3			m ə t																
454-3			ʔ ɨ x a																
484-3			m ɨ t ɨ t																
535-3			ʔ a ʒ ə																
543-3			t ɨ r																
593-3			ʔ a n g a																
640-3			m a n g a																
1-3			kʼ ə w ə																
65-3			g u t																
163-3			s ə b																
212-3			kʼ ə																
244-3			ʔ a ʒ ə t																
248-3			t ɨ r																
293-3			t ɨ r																
373-3			ʔ ɨ t a																
408-3			b w ə r a																
414-3			t ə																
601-3			ʔ ə x ɨ r																
642-3			s ə b																
60-3			n ə s ə m																
115-3			ʔ ə m a																
209-3			x ɨ n o																
242-3			s ə b																
415-3			z ɨ r a																
450-3			ʔ ɨ m ɨ r																
490-3			s ə b																
638-3			g ɨ n																
645-3			kʼ a r																
75-3			ʔ a ʒ ɨ r																
160-3			m ə t																
208-3			ʔ ɨ r a																
214-3			ʔ a ʒ a																
218-3			ʔ ɨ x a																
378-3			ʔ a ʒ ə																
379-3			t ɨ r																
409-3			g u n ə r																
497-3			t ɨ r a																
598-3			tʃʼ e t																
646-3			ʔ a ʒ ə																
164-3			b ə k ə m																
210-3			kʼ ə																
215-3			ʔ a t ə																
256-3			h u t																
285-3			m ɨ r a																
332-3			ʔ ə x ɨ r																
380-3			ʔ ə m a																
412-3			kʼ ə																
496-3			w ɨ tʼ ə t																
64-3			d a t a																
67-3			g ɨ r																
169-3			n ə g ə																
251-3			m ə t																
461-3			h u t																
547-3			ʔ a t a																
597-3			ʔ a ʒ ə																
655-3			t ɨ r																
7-3			ʔ a g a																
158-3			kʼ ə w ə																
168-3			ʔ ɨ m a																
61-4				kʼ ə ʔ ə															
63-4				ʔ a n g ə															
107-4				d a n g ə															
112-4				kʼ ə ʔ ə															
331-4				ʔ a ə															
377-4				b ə tː ə															
381-4				ʔ a n g ə															
417-4				ʔ a ə															
451-4				kʼ ə ʔ ə															
454-4				ʔ a n g ə															
484-4				ʔ a ə															
535-4				ʔ a n g ə															
543-4				ʔ a ə															
593-4				ʔ a n g a															
640-4				m a r a															
1-4				b ə ʔ ə															
65-4				ʔ a n g ə															
163-4				s ə w															
408-4				b a r a															
414-4				ʔ a n g ə															
601-4				kʼ ə ʔ ə															
642-4				ʔ a n g ə															
60-4				kʼ ə ʔ ə															
115-4				ʔ a n g ə															
450-4				kʼ ə															
490-4				kʼ ə n g ə															
638-4				kʼ ə ʔ ə															
645-4				kʼ ə ʔ ə															
75-4				ʔ a n g ə															
160-4				b ə ʔ ə															
378-4				ʔ a n g ə															
379-4				n ə g ə															
409-4				ʔ a ə															
497-4				ʔ ə ʔ ə															
598-4				ʔ a n g ə															
646-4				ʔ a n g ə															
164-4				kʼ ə s ə															
332-4				ʔ ə h ɨ r															
380-4				ʔ a n g ə															
412-4				kʼ ə ʔ ə															
64-4				d a n g ə															
67-4				ʔ ə w															
169-4				kʼ ə n g ə															
461-4				ʔ ə w															
547-4				ʔ a n g ə															
597-4				ʔ ə n g ə															
655-4				t ɨ r ə															
158-4				kʼ ə ʔ ə															
168-4				ʔ a n g ə															
61-5					s ə m														
63-5					ʔ a zː o														
107-5					ʔ a zː o														
112-5					s ə m														
331-5					g ɨ nː ə														
377-5					b ɨ ʃː ə														
381-5					ʔ a zː o														
417-5					ʔ a r														
451-5					b ə tː o														
454-5					ʔ a zː o														
484-5					ʔ a r														
535-5					ʔ a r														
543-5					b ə tː ɨ r														
593-5					ʔ a zː o														
640-5					m a n g a														
1-5					kʼ ə w ə r ə														
65-5					g u nː ə														
163-5					s ə m														
212-5					ʔ a zː o														
244-5					ʔ a r														
248-5					ʔ a r														
293-5					ʔ a r														
373-5					x ɨ n o														
408-5					b ə kː w a														
414-5					ʔ ɨ m a														
601-5					ʔ a r														
642-5					ʔ ɨ m a														
60-5					n ə g ə														
115-5					ʔ ə kː a														
209-5					g u nː ə r														
242-5					ʔ a zː o														
415-5					ʔ a r														
450-5					s ə m														
490-5					s ə m														
638-5					ʔ a r														
645-5					kʼ a														
75-5					ʔ a r														
160-5					d a dː a														
208-5					ʔ ɨ m ɨ r														
214-5					ʔ a n g a														
218-5					ʔ ɨ m ɨ r														
378-5					ʔ a n g a														
379-5					kʼ ə w ə r ə														
409-5					g u nː ə r														
497-5					ʔ a r														
598-5					tʃʼ e t														
164-5					kʼ ə w ə m														
210-5					kʼ ə w ə														
215-5					ʔ a zː o														
256-5					h u t														
285-5					ʔ a ʒː ə														
332-5					ʔ ə x ɨ r														
380-5					ʔ a zː o														
496-5					b ə tː ə t														
64-5					ʔ a zː o														
67-5					b ə x ɨ r														
169-5					b ə m ə														
251-5					t e														
294-5					ʔ a r														
461-5					t ɨ r														
547-5					ʔ a nː a														
597-5					ʔ e m ə														
655-5					ʔ a r														
7-5					ʔ a n g a														
168-5					ʔ ɨ m a														
61-6						m ɨ n t													
63-6						j ɨ ʔ ɨ t u													
107-6						m ɨ n t													
112-6						kʼ ə s a													
331-6						m ɨ n t													
377-6						m ɨ n t													
381-6						j ɨ ʔ ɨ t u													
417-6						ʔ ɨ t u													
451-6						m ɨ n t													
454-6						ʔ ɨ t u													
484-6						m ɨ n t													
535-6						m ɨ ʔ ɨ t													
543-6						m ɨ n t													
593-6						ʔ ɨ t u													
640-6						m ɨ n t													
1-6						kʼ ə b ə													
163-6						m ɨ n t													
212-6						m ɨ n t													
244-6						m ɨ ʔ ɨ t													
248-6						m ɨ ʔ ɨ t													
293-6						m ɨ n t													
373-6						m ɨ n t													
408-6						m ɨ n t													
601-6						w ɨ ʔ ɨ n													
642-6						m ɨ ʔ ɨ t													
60-6						n ə s ə													
115-6						m ɨ n t													
242-6						m ɨ n t													
415-6						m ɨ n t													
450-6						m ɨ n t													
490-6						m ɨ n t													
638-6						m ɨ n t													
645-6						m ɨ n t													
75-6						m ɨ n t													
208-6						m ɨ n t													
214-6						ʔ ɨ t u													
218-6						j ɨ ʔ ɨ t u													
409-6						m ɨ ʔ ɨ t													
497-6						m ɨ n t													
598-6						m ɨ ʔ ɨ t													
646-6						ħ ə r b													
215-6						kʼ ə n b ə t													
256-6						j ɨ ʔ ɨ t u													
294-6						m ɨ n t													
655-6						j ɨ ʔ ɨ t u													
158-6						m ɨ ʔ ɨ t													
61-7							n ə t												
63-7							ʔ ɨ x a												
107-7							g a tː a												
112-7							d a n g a												
331-7							ʔ a t												
377-7							b ə m												
381-7							ʔ a t												
417-7							ʔ a												
451-7							n ə t												
454-7							ʔ a t												
484-7							ʔ a t												
535-7							ʔ a t												
543-7							x u t												
593-7							ʔ a t												
640-7							b ə t												
1-7							b ə t												
65-7							ʔ a												
163-7							n ə tʼ ə m												
212-7							ʔ a t												
244-7							ʔ a t												
248-7							ʔ a												
293-7							n ə t												
373-7							ʔ a t												
408-7							n ə t												
414-7							kʼ ə t												
601-7							ʔ a t												
642-7							ʔ a t												
60-7							n ə tʼ ə m												
115-7							ʔ a t												
209-7							ʔ a t												
242-7							ʔ a t												
415-7							ʔ a t												
450-7							b ə t												
490-7							ʔ a												
638-7							m ɨ r												
645-7							ʔ a												
75-7							ʔ a m ɨ r												
160-7							b ə t												
208-7							ʔ a t												
214-7							ʔ a t												
218-7							ʔ ɨ m ɨ r												
378-7							ʔ a t												
379-7							b ə t												
409-7							ʔ a t												
497-7							x ɨ n ə												
598-7							m ə t												
646-7							ʔ a												
164-7							b ə kː ə r ə												
210-7							b ə t												
215-7							ʔ a t												
256-7							x u t												
285-7							m ɨ m a												
332-7							ʔ ɨ m ɨ r												
380-7							ʔ a												
412-7							ʔ a												
496-7							n ə t												
64-7							d a n g a												
67-7							b ə t												
169-7							n ə b ə m												
251-7							ʔ a t												
294-7							ʔ a t												
461-7							b ə t												
547-7							ʔ a n g a												
597-7							m ə n ə												
655-7							m ɨ t												
7-7							ʔ a n g a												
158-7							b ə t												
168-7							ʔ ɨ x a												
61-8								b ə kʼ ɨ r											
63-8								ʔ ɨ m ɨ r											
107-8								g a r											
112-8								kʼ ə r ə											
331-8								n ɨ kʼ j											
377-8								ʔ a t											
381-8								ʔ a t											
417-8								ʔ a t											
451-8								n ə b ə											
454-8								ʔ ɨ m ɨ r											
484-8								m ɨ s											
535-8								ʔ a t											
543-8								h u t											
