COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1																			
107-1																			
112-1																			
331-1																			
377-1																			
381-1	ʔ a tː																		
417-1	r u z																		
451-1	aː r ə s																		
454-1																			
484-1	dz s ɨ																		
535-1																			
543-1																			
593-1																			
640-1	ɨ m																		
1-1																			
65-1	u tʼ																		
212-1	ʔ a n																		
244-1																			
248-1																			
293-1																			
373-1																			
408-1																			
414-1																			
601-1																			
642-1																			
60-1																			
115-1	l a m																		
209-1	t s ə b																		
242-1																			
415-1																			
450-1	z ə r																		
490-1																			
61-2		d ə m																	
63-2																			
107-2																			
112-2																			
331-2																			
377-2																			
381-2		ʔ a t																	
417-2		z r u																	
451-2		t aː s																	
454-2																			
484-2		dz s ə																	
535-2																			
543-2																			
593-2																			
640-2		a l m																	
1-2																			
65-2		u tʼ																	
163-2																			
212-2		ʔ e n																	
244-2																			
248-2																			
293-2																			
373-2																			
408-2																			
414-2																			
642-2																			
60-2																			
115-2		l a m																	
209-2		d s uː																	
242-2																			
415-2																			
450-2		z ə r																	
490-2																			
61-3			d ə m																
63-3																			
107-3																			
112-3																			
331-3																			
377-3																			
381-3			ʔ a t																
417-3			r u z																
451-3			aː s t																
454-3																			
484-3			dz s ɨ																
535-3																			
543-3																			
593-3																			
640-3			m a n																
1-3																			
65-3			u tʼ																
163-3																			
212-3			ʔ e n																
244-3																			
248-3																			
293-3																			
373-3																			
408-3																			
414-3																			
601-3																			
642-3																			
60-3																			
115-3			r a m																
209-3			s t uː																
242-3																			
415-3																			
450-3			z ə r																
490-3																			
61-4				d ə m															
63-4																			
107-4																			
112-4																			
331-4																			
377-4																			
381-4				ʔ a t															
417-4				u r z															
451-4				aː s t															
454-4																			
484-4				dz s ɨ															
535-4																			
543-4																			
593-4																			
640-4				a w															
1-4																			
65-4				u tʼ															
163-4																			
408-4																			
414-4																			
601-4																			
642-4																			
60-4																			
115-4				a m l															
450-4				z ə r															
490-4																			
61-5					d ə m														
63-5																			
107-5																			
112-5																			
331-5																			
377-5																			
381-5					ʔ a tː														
417-5					r u z														
451-5					aː s t														
454-5																			
484-5					dz s w														
535-5																			
543-5																			
593-5																			
640-5					m a m														
1-5																			
65-5					u tʼ														
163-5																			
212-5					ʔ e n														
244-5																			
248-5																			
293-5																			
373-5																			
408-5																			
414-5																			
601-5																			
642-5																			
60-5																			
115-5					l a m														
209-5					s t uː														
242-5																			
415-5																			
450-5					z ə r														
490-5																			
61-6						d ə m													
63-6																			
107-6																			
112-6																			
331-6																			
377-6																			
381-6						ʔ a t													
417-6						r u z													
451-6						aː s t													
454-6																			
484-6																			
535-6																			
543-6																			
593-6																			
640-6						ə m													
1-6																			
163-6																			
212-6						ʔ ɨ n													
244-6																			
248-6																			
293-6																			
373-6																			
408-6																			
601-6																			
642-6																			
60-6																			
115-6						l a m													
242-6																			
415-6																			
450-6						r z ə													
490-6																			
61-7							d ə m												
63-7																			
107-7																			
112-7																			
331-7																			
377-7																			
381-7							ʔ a tː												
417-7							r u z												
451-7							aː b s												
454-7																			
484-7							dz e t												
535-7																			
543-7																			
593-7																			
640-7							m a n												
1-7																			
65-7							tʼ ɨ b												
163-7																			
212-7							ʔ e n												
244-7																			
248-7																			
293-7																			
373-7																			
408-7																			
414-7																			
601-7																			
642-7																			
60-7																			
115-7							r a m												
209-7							t s uː												
242-7																			
415-7																			
450-7							z ə r												
490-7																			
61-8								d ə m											
63-8																			
107-8																			
112-8																			
331-8																			
377-8																			
381-8								ʔ a t											
417-8								u r z											
451-8								t aː s											
454-8																			
484-8								dz i ɨ											
535-8																			
543-8																			
593-8																			
640-8								m a n											
1-8																			
65-8								u tʼ											
163-8																			
212-8								ʔ e n											
244-8																			
248-8																			
293-8																			
373-8																			
408-8																			
414-8																			
601-8																			
642-8																			
60-8																			
115-8								r a m											
209-8								t ɨ s											
242-8																			
415-8																			
450-8								z ə r											
490-8																			
61-9									d ə m										
63-9																			
107-9																			
112-9																			
331-9																			
377-9																			
381-9									ʔ a t										
417-9									r u z										
451-9									aː s t										
454-9																			
484-9									dz s ə										
535-9																			
543-9																			
593-9																			
640-9									m a n										
1-9																			
65-9									w tʼ										
163-9																			
212-9									ʔ e n										
244-9																			
248-9																			
293-9																			
373-9																			
408-9																			
414-9																			
601-9																			
642-9																			
60-9																			
209-9									s t uː										
242-9																			
415-9																			
490-9																			
61-10										d ə m									
63-10																			
107-10																			
112-10																			
331-10																			
377-10																			
381-10										ʔ a t									
417-10										z r u									
451-10										aː b s									
454-10																			
484-10										s a l dz									
535-10																			
543-10																			
593-10																			
640-10										m a n									
1-10																			
65-10										u d									
163-10																			
212-10										ʔ eː n									
244-10																			
248-10																			
293-10																			
373-10																			
408-10																			
414-10																			
601-10																			
115-10										l a m									
209-10																			
242-10																			
415-10																			
490-10																			
61-11											d ə m								
63-11																			
107-11																			
112-11																			
331-11																			
377-11																			
381-11											ʔ a t								
417-11											z u r								
451-11																			
454-11																			
484-11											dz s ɨ r								
535-11																			
543-11																			
593-11																			
640-11											d a m								
1-11																			
65-11											u ʔ								
163-11																			
212-11											ʔ e n								
244-11																			
248-11																			
293-11																			
373-11																			
408-11																			
414-11																			
601-11																			
642-11																			
60-11																			
115-11											r a m								
209-11											t a s								
242-11																			
450-11											z ə r								
490-11																			
61-12												d ə m							
63-12																			
107-12																			
112-12																			
331-12																			
377-12																			
381-12												j a t							
417-12												r u z							
451-12												t aː s							
454-12																			
484-12												dz s ɨ							
535-12																			
543-12																			
593-12																			
640-12												m a n							
1-12																			
65-12												u tʼ							
163-12																			
212-12												ʔ a n							
244-12																			
248-12																			
293-12																			
373-12																			
408-12																			
414-12																			
601-12																			
642-12																			
60-12																			
115-12												l a m							
209-12												s t ə b							
242-12																			
415-12																			
450-12												z ə r							
490-12																			
61-13													d ə m						
63-13																			
107-13																			
112-13																			
331-13																			
377-13																			
381-13													ʔ a tː						
417-13													r u z						
451-13													aː s t						
454-13																			
484-13													dz i s						
535-13																			
543-13																			
593-13																			
640-13													a j						
1-13																			
65-13													u tʼ						
163-13																			
212-13													ʔ e n						
244-13																			
248-13																			
293-13																			
373-13																			
408-13																			
414-13																			
601-13																			
642-13																			
60-13																			
115-13													l a m						
209-13													s t uː						
242-13																			
415-13																			
450-13													z ə r						
490-13																			
61-14														d ə m					
63-14																			
107-14																			
112-14																			
331-14																			
377-14																			
381-14														ʔ a tː					
417-14														r u z					
451-14														aː s t					
454-14																			
484-14														dz s ɨ					
535-14																			
543-14																			
593-14																			
640-14														a m					
1-14																			
65-14														u d					
163-14																			
212-14														ʔ e n					
244-14																			
248-14																			
293-14																			
373-14																			
408-14																			
414-14																			
601-14																			
642-14																			
60-14																			
115-14														l a m					
209-14														t s uː					
242-14																			
415-14																			
450-14														z ə r					
490-14																			
61-15															d ə m				
63-15																			
107-15																			
112-15																			
331-15																			
377-15																			
381-15															ʔ a tː				
417-15															r u z				
451-15															aː s t				
454-15																			
484-15															dz s ɨ				
535-15																			
543-15																			
593-15																			
640-15															a m				
1-15																			
65-15															u d				
163-15																			
212-15															n ɨ n				
244-15																			
248-15																			
293-15																			
373-15																			
414-15																			
601-15																			
642-15																			
60-15																			
115-15															l a m				
209-15															a n s u o				
242-15																			
415-15																			
450-15															z ə r				
490-15																			
61-16																d ə m			
63-16																			
107-16																			
112-16																			
331-16																			
377-16																			
381-16																ħ a t			
417-16																r u z			
451-16																aː s t			
454-16																			
484-16																a dz s			
535-16																			
543-16																			
593-16																			
640-16																m a n			
65-16																u tʼ			
163-16																			
212-16																ʔ e n			
244-16																			
248-16																			
293-16																			
373-16																			
408-16																			
414-16																			
601-16																			
642-16																			
209-16																t uː s			
242-16																			
415-16																			
450-16																z ə r			
61-17																	d ə m		
63-17																			
107-17																			
112-17																			
331-17																			
377-17																			
381-17																	ħ a t		
417-17																	r u z		
451-17																	aː s t		
454-17																			
484-17																	dz s i		
535-17																			
543-17																			
593-17																			
640-17																	a m		
1-17																			
65-17																	u tʼ		
163-17																			
212-17																	ʔ ɨ n		
244-17																			
248-17																			
293-17																			
373-17																			
408-17																			
414-17																			
601-17																			
642-17																			
60-17																			
115-17																	a m l		
209-17																	i s t ə		
415-17																			
450-17																	ə r z		
61-18																		d ə m	
63-18																			
107-18																			
112-18																			
331-18																			
377-18																			
381-18																		ʔ a tː	
417-18																		r u z	
451-18																		aː s t	
454-18																			
484-18																		a dz s	
535-18																			
543-18																			
593-18																			
640-18																		m a n	
1-18																			
65-18																		mː d	
163-18																			
212-18																		ʔ e n	
244-18																			
248-18																			
293-18																			
373-18																			
408-18																			
414-18																			
601-18																			
642-18																			
60-18																			
115-18																		a l m	
209-18																		n s u	
242-18																			
415-18																			
450-18																		z ə r	
490-18																			
61-19																			d ə m
63-19																			
107-19																			
112-19																			
331-19																			
377-19																			
381-19																			ʔ a t
417-19																			r u z
451-19																			t aː s
454-19																			
484-19																			dz s ɨ
535-19																			
543-19																			
593-19																			
640-19																			m a n
1-19																			
65-19																			u tʼ
163-19																			
212-19																			ʔ i n
244-19																			
248-19																			
293-19																			
373-19																			
408-19																			
414-19																			
601-19																			
642-19																			
60-19																			
115-19																			l a m
209-19																			ə t s
242-19																			
415-19																			
450-19																			z ə r
490-19																			
