COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ n t																		
107-1	g ɨ m ə l																		
112-1	d a mː ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ l o																		
381-1	ʔ a n d																		
417-1	r u z																		
451-1	s ə b a tː																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ dː ɨ s t																		
535-1	ʔ a sː ɨ r																		
543-1	s o s t																		
593-1	h a m u s																		
640-1	m a n																		
1-1	d ə mː ə r ə																		
65-1	tʼ u t																		
212-1	ʔ ai̯ n																		
244-1	ʔ a r a tː																		
248-1	m u l u																		
293-1	f ə r ə s																		
373-1	kʼ ɨ m a l																		
408-1	b ə r e																		
414-1	d u bː a																		
601-1	ʔ ɨ r o b																		
642-1	n ɨ f a s																		
60-1	n ə fː ə s ə																		
115-1	l a m																		
209-1	s ɨ mː ɨ n t																		
242-1	ʔ a m ɨ s t																		
415-1	z ɨ n a b																		
450-1	z ə r																		
490-1	tʼ ə bː a																		
61-2		d ə m																	
63-2		x a tʼ ɨ m																	
107-2		g a m e l a																	
112-2		d ə m ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ l o																	
381-2		h a n d																	
417-2		r u z																	
451-2		s a ʔ i n t																	
454-2		h a tʃ ɨ r n i																	
484-2		s ɨ d ɨ s t																	
535-2		ʔ a sː ɨ r																	
543-2		s o s t																	
593-2		k a m i s																	
640-2		m a n i																	
1-2		tʃʼ e mː ə r a																	
65-2		tʼ u t																	
163-2		s ə tʃ a																	
212-2		ʔ eː n																	
244-2		ʔ a r b i t																	
248-2		m u l u																	
293-2		f ə r ə s																	
373-2		kʼ ɨ m a l																	
408-2		b ə ʔ r a																	
414-2		d u bː a																	
642-2		n ɨ f a s																	
60-2		n ə fː ə h a																	
115-2		l a m																	
209-2		s ə mː ɨ t																	
242-2		ʔ a m ɨ s t																	
415-2		z ɨ n a b																	
450-2		z ə r i																	
490-2		tʼ ə bː a																	
61-3			d ə m																
63-3			ʔ a tʼ ɨ m																
107-3			g a m e r a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b ɨ kʼ w ə r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ d ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s o s t																
593-3			ʔ a m u s																
640-3			m w a n																
1-3			d ə p ə r ə m																
65-3			tʼ u																
163-3			s ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a r b ə t																
248-3			m u r a																
293-3			f ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b o r a																
414-3			d ɨ b a kʼ ɨ l a																
601-3			ʔ ə r o																
642-3			ʔ ɨ n f a s																
60-3			n ə f ə s ə m																
115-3			ʔ ə r a m																
209-3			s u n t																
242-3			ʔ a m ɨ s t																
415-3			z ɨ r a b																
450-3			z ə r																
490-3			t ə p w ə m																
61-4				d ə m															
63-4				ʔ a tʼ ɨ m															
107-4				g ɨ m ə l															
112-4				d a w ə n ə															
331-4				n u g s															
377-4				b a kʼ u r ə															
381-4				ʔ a tː															
417-4				r u z															
451-4				s ə w ʔ a t															
454-4				ʔ i ʔ i r															
484-4				s ɨ dː ɨ s t															
535-4				ʔ a sː ɨ r															
543-4				s o s t															
593-4				ʔ a m u s															
640-4				m a n															
1-4				d a pː ə r ə															
65-4				tʼ u w															
163-4				s e tʃʼ ə															
408-4				b a w r ə															
414-4				d ə b a kʼ u l ə															
601-4				ʔ a r b e															
642-4				ʔ ɨ n f a s															
60-4				n ə f ə s ə															
115-4				ʔ a n a w															
