ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
2074	104_saturday	Saturday	Amharic	Amharic	ќɨdame1	ќɨdame	ќ/kʼ ɨ d a m e	amha1245	11.708182	39.543456	Afro-Asiatic	448
2084	104_saturday	Saturday	Argobba	Argobba	sǝmbǝd2	sǝmbǝd	s ə m b ə d	argo1244	10.6596	39.756	Afro-Asiatic	456
2094	104_saturday	Saturday	Chaha	Chaha	ќǝťansǝnbǝt1	ќǝťansǝnbǝt	ќ/kʼ ə ť/tʼ a n s ə n b ə t	chah1248			Afro-Asiatic	448
2104	104_saturday	Saturday	Endegagn	Endegagn	ennǝgǝyǝ3	ennǝgǝyǝ	e nː ə g ə y/j ə	eneg1238			Afro-Asiatic	464
2114	104_saturday	Saturday	Ezha	Ezha	ќǝťansǝnbǝt1	ќǝťansǝnbǝt	ќ/kʼ ə ť/tʼ a n s ə n b ə t	ezha1238			Afro-Asiatic	448
2124	104_saturday	Saturday	Geez	Ge'ez	ќǝdamitsǝnbǝt1	ќǝdamitsǝnbǝt	ќ/kʼ ə d a m i ts ə n b ə t	geez1241	10.1342	40.6821	Afro-Asiatic	448
2134	104_saturday	Saturday	Gogot	Gogot	ќɨdansǝnbǝt1	ќɨdansǝnbǝt	ќ/kʼ ɨ d a n s ə n b ə t					448
2144	104_saturday	Saturday	Gumer	Gumer	ќǝtasǝnbǝt1	ќǝtasǝnbǝt	ќ/kʼ ə t a s ə n b ə t	gume1239			Afro-Asiatic	448
2154	104_saturday	Saturday	Gura	Gura	ќǝťansǝnbǝt1	ќǝťansǝnbǝt	ќ/kʼ ə ť/tʼ a n s ə n b ə t	gura1260			Afro-Asiatic	448
2164	104_saturday	Saturday	Gyeto	Gyeto	ќǝťatsǝmbǝt1	ќǝťatsǝmbǝt	ќ/kʼ ə ť/tʼ a ts ə m b ə t	gyet1241			Afro-Asiatic	448
2174	104_saturday	Saturday	Harari	Harari	sǝbti2	sǝbti	s ə b t i	hara1271	9.30485	42.1332	Afro-Asiatic	456
2184	104_saturday	Saturday	Inor	Inor	ќǝťansǝnbǝt1	ќǝťansǝnbǝt	ќ/kʼ ə ť/tʼ a n s ə n b ə t	inor1240			Afro-Asiatic	448
2194	104_saturday	Saturday	Kistane	Kistane	kɨdansǝnbǝt1	kɨdansǝnbǝt	k ɨ d a n s ə n b ə t	kist1241	8.33561	38.4763	Afro-Asiatic	448
2204	104_saturday	Saturday	Mesqan	Mesqan	kɨdansǝnbǝt1	kɨdansǝnbǝt	k ɨ d a n s ə n b ə t	mesq1240	8.10617	38.3386	Afro-Asiatic	448
2214	104_saturday	Saturday	Muher	Muher	kǝdansǝnbǝt1	kǝdansǝnbǝt	k ə d a n s ə n b ə t	muhe1234			Afro-Asiatic	448
2224	104_saturday	Saturday	Oromo	Oromo	sanbata2	sanbata	s a n b a t a					456
2234	104_saturday	Saturday	Silte	Silt'e	ansǝnbǝt2	ansǝnbǝt	a n s ə n b ə t	silt1240	7.77004	38.1449	Afro-Asiatic	456
2244	104_saturday	Saturday	Tigre	Tigre	sǝnbǝt nɨʔɨš2	sǝnbǝt nɨʔɨš	s ə n b ə t + n ɨ ʔ ɨ ʃ	tigr1270	17.3494	38.2233	Afro-Asiatic	456
2254	104_saturday	Saturday	Tigrigna	Tigrigna	qǝdam1	qǝdam	q ə d a m	tigr1271	15.3359	38.9266	Afro-Asiatic	448
2264	104_saturday	Saturday	Wolane	Wolane	ʔansǝnbǝt2	ʔansǝnbǝt	ʔ a n s ə n b ə t	wola1253	8.23	38.14	Afro-Asiatic	456
2274	104_saturday	Saturday	Zway	Zway	ʔanǝsǝnbǝt2	ʔanǝsǝnbǝt	ʔ a n ə s ə n b ə t	zayy1238	8.01148	38.8258	Afro-Asiatic	456
1	1_added	added	Amharic	Amharic	dǝmmǝrǝ1	dǝmmǝrǝ	d ə mː ə r ə	amha1245	11.708182	39.543456	Afro-Asiatic	1
11	1_added	added	Argobba	Argobba	ćemmǝra1	ćemmǝra	ć/tʃʼ e mː ə r a	argo1244	10.6596	39.756	Afro-Asiatic	1
21	1_added	added	Chaha	Chaha	dǝpǝrǝm1	dǝpǝrǝm	d ə p ə r ə m	chah1248			Afro-Asiatic	1
31	1_added	added	Endegagn	Endegagn	dappǝrǝ1	dappǝrǝ	d a pː ə r ə	eneg1238			Afro-Asiatic	1
41	1_added	added	Ezha	Ezha	dǝbbǝrǝm1	dǝbbǝrǝm	d ə bː ə r ə m	ezha1238			Afro-Asiatic	1
51	1_added	added	Geez	Ge'ez	dǝmmǝrǝ1	dǝmmǝrǝ	d ə mː ə r ə	geez1241	10.1342	40.6821	Afro-Asiatic	1
61	1_added	added	Gogot	Gogot	dǝbbeʔǝm1	dǝbbeʔǝm	d ə bː e ʔ ə m					1
71	1_added	added	Gumer	Gumer	dǝppǝrǝm1	dǝppǝrǝm	d ə pː ə r ə m	gume1239			Afro-Asiatic	1
81	1_added	added	Gura	Gura	dǝpǝrǝm1	dǝpǝrǝm	d ə p ə r ə m	gura1260			Afro-Asiatic	1
