COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d Ø a a															
1089-1	Ø Ø Ø a															
1319-1	Ø Ø Ø Ø															
1398-1	Ø u Ø u Ø Ø Ø															
1557-1	g Ø Ø Ø															
1626-1	w aː g a															
1840-1	t Ø Ø															
2247-1	g e a															
4677-1	Ø u Ø Ø j Ø															
5162-1	Ø Ø Ø Ø ɛ															
5406-1	t Ø Ø d Ø															
359-1	g ɛ l Ø Ø															
1577-1	g Ø Ø															
2196-1	Ø a Ø a															
2230-1	Ø Ø g Ø															
2533-1	Ø a Ø Ø a															
3605-1	Ø a Ø d a															
3866-1	Ø Ø Ø Ø															
4553-1	t a Ø g Ø															
4822-1	Ø u Ø Ø															
5254-1	d u l ɔ															
503-1	Ø Ø Ø Ø															
1356-1	Ø Ø Ø Ø															
1881-1	Ø Ø Ø Ø															
3218-1	Ø u Ø ɛĩ dʒ u															
3372-1	Ø a Ø a															
3718-1	Ø a Ø ɛ															
4135-1	Ø a Ø u Ø															
4694-1	g u dʒ Ø Ø u															
807-1	Ø e Ø Ø Ø															
2320-1	Ø a Ø ɛ															
2476-1	Ø Ø Ø Ø															
3719-1	Ø Ø															
4081-1	d a Ø Ø Ø															
4313-1	Ø Ø Ø Ø Ø															
4460-1	Ø Ø Ø															
5810-1	Ø Ø l Ø															
93-1	d ɔ															
260-1	Ø ɛ Ø Ø Ø															
385-1	Ø ɛ Ø ɛ Ø															
890-1	Ø ɛ Ø Ø Ø i															
1336-1	t g															
1703-1	Ø ɛː Ø															
1769-1	t ɛ Ø ɛ															
2162-1	Ø Ø Ø ɛ															
2635-1	Ø Ø															
3031-1	d ɛ g ɛ															
4591-1	t Ø Ø i															
5301-1	Ø Ø l u															
5605-1	t Ø m Ø Ø															
463-1	d u Ø u															
1432-1	t a l u															
1474-1	t ɔ Ø Ø Ø															
1788-1	Ø Ø Ø															
2044-1	d Ø Ø															
2713-1	t Ø Ø a a d ɛ l ɛ															
3219-1	Ø Ø dʒ u															
3425-1	j															
4184-1	Ø Ø a a															
4629-1	Ø u Ø Ø Ø															
4759-1	Ø i Ø Ø Ø															
4904-1	Ø Ø u Ø Ø Ø															
4960-1	g Ø Ø Ø Ø e															
4980-1	t Ø															
5059-1	g u Ø															
5339-1	Ø a g a															
5549-1	t ɛ w Ø a															
5905-1	t Ø															
5922-1	Ø Ø Ø Ø															
5938-1	Ø Ø d u Ø ɛĩ ɛĩ aː															
1-1	Ø Ø															
483-1	g Ø Ø u															
629-1	d ɔ Ø Ø															
667-1	ɛ Ø ɛ															
1254-1	dʒ a m d u Ø u															
1415-1	Ø a Ø															
1542-1	Ø Ø ɛ Ø															
1683-1	Ø Ø Ø ɛĩ															
1898-1	Ø u r̃ Ø Ø															
2901-1	t u Ø Ø ɛ															
2957-1	Ø aː Ø d Ø															
3048-1	Ø ɛ j Ø															
3251-1	Ø a l a															
3885-1	d ɛ l Ø															
4402-1	j Ø															
5622-1	Ø Ø Ø Ø l Ø j															
6006-1	Ø Ø Ø Ø															
135-1	t u Ø Ø u															
158-1	Ø Ø Ø u															
194-1	Ø ɛ Ø															
221-1	ɛ Ø Ø															
650-1	Ø Ø Ø ɛ															
1152-1	t Ø w ɛ															
1374-1	Ø ɔ l g ɔ															
1452-1	g Ø Ø a															
1862-1	Ø dʒ Ø															
2083-1	Ø a Ø Ø Ø															
2108-1	Ø a j															
2636-1	Ø Ø															
2924-1	Ø Ø l Ø															
2941-1	Ø Ø Ø Ø															
3405-1	ɛĩ ɛ Ø ɛ ɛĩ															
3751-1	Ø Ø Ø															
4066-1	g ɔ Ø ɔ															
4535-1	Ø u g ɔ															
4888-1	dʒ ɛ Ø Ø Ø ɛ															
5583-1	t a Ø g ɛ															
5751-1	t Ø Ø															
5981-1	ɛ Ø ɛ Ø															
114-1	d ɔ															
851-1	g Ø ɛĩ ɛĩ															
1941-1	Ø Ø Ø Ø															
2179-1	Ø d Ø															
2351-1	Ø Ø Ø Ø															
2496-1	Ø u Ø															
3482-1	Ø Ø Ø Ø d Ø Ø Ø ɛ															
3497-1	Ø Ø Ø Ø Ø															
3588-1	Ø ɔ Ø ɔ															
4202-1	g Ø l l l Ø															
4293-1	dʒ ɔ Ø ɔ															
4921-1	dʒ aː Ø Ø Ø Ø															
408-1	j Ø Ø u															
545-1	Ø Ø u															
978-1	t o Ø Ø															
1052-1	Ø Ø Ø Ø															
1070-1	l u g Ø															
1942-1	j															
2456-1	Ø ɔ l Ø															
2514-1	d u Ø Ø															
2666-1	Ø i g Ø															
2817-1	ɛ Ø g Ø															
3132-1	d u Ø Ø															
3300-1	ɛ w ɛ															
3976-1	Ø Ø Ø Ø															
4152-1	Ø Ø Ø ɛː															
4361-1	t Ø g Ø															
4570-1	Ø Ø g ɔ b Ø															
4648-1	j															
715-2		d u														
1089-2		Ø Ø ɛĩ a														
1319-2		Ø Ø Ø Ø														
1398-2		Ø u g u Ø u														
1557-2		g Ø r														
1626-2		w aː g Ø														
1840-2		t Ø Ø Ø														
2247-2		g Ø														
4677-2		k u Ø e j														
5162-2		m Ø Ø r̃ ɛ														
5406-2		t Ø Ø d u														
359-2		g Ø l														
1577-2		g Ø r														
2196-2		Ø Ø Ø Ø														
2230-2		Ø u g Ø														
2533-2		Ø a r Ø Ø														
3605-2		k Ø Ø d a														
3866-2		Ø d u														
4553-2		t Ø g Ø Ø														
4822-2		k u m ɔ														
5254-2		d u Ø o														
503-2		k Ø Ø Ø														
1356-2		m Ø o r														
1881-2		Ø u m ɔ														
2084-2		j Ø Ø Ø														
2420-2		k u Ø Ø														
3218-2		Ø u d u														
3372-2		Ø Ø m a														
3718-2		Ø Ø r Ø														
