COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	n i															
1089-1	n i															
1319-1	n i															
1398-1	d u s u															
1557-1																
1626-1	g aː															
1840-1	k a															
2247-1	g o															
4677-1																
5162-1																
5406-1	n a r̃ a															
359-1	k a															
1577-1																
2196-1	d ɔ															
2230-1	s i															
2533-1	d u a															
3605-1																
3866-1	ɛ s u															
4553-1	t aː															
4822-1																
5254-1																
503-1	b i s i															
1356-1	j a															
1881-1	n a															
3218-1	j e															
3372-1																
3718-1	a r̃ a															
4135-1	n a r̃ a															
4694-1																
807-1	d u															
2320-1	j a															
2476-1	k uː															
3719-1	m															
4081-1	j a m															
4313-1	n i															
4460-1	j i															
5810-1	j i															
93-1	j e															
260-1																
385-1																
890-1																
1336-1																
1703-1	j e															
1769-1																
2162-1	a r̃ ɔ															
2635-1	s u															
3031-1																
4591-1																
5301-1	j															
5605-1																
463-1	d o															
1432-1	d i j e															
1474-1	d ɔ r ɔ															
1788-1	j i															
2044-1																
2713-1																
3219-1																
3425-1	j e															
4184-1	j i															
4629-1																
4759-1	n i															
4904-1	b e s a															
4960-1																
4980-1	j i															
5059-1	g i															
5339-1	d i															
5549-1																
5905-1	g i															
5922-1																
5938-1																
1-1	p ɛ															
483-1																
629-1	d oː															
667-1	b ɛ j̃															
1254-1																
1415-1	j i															
1542-1	n u															
1683-1	b i s i															
1898-1																
2901-1																
2957-1																
3048-1	j e															
3251-1	b a															
3885-1	d i j̃ a															
715-2		k u														
1089-2		n i														
1319-2		n i														
1398-2		s u														
1557-2																
1626-2																
1840-2		n i														
2247-2		s u														
4677-2																
5162-2																
5406-2		s a														
359-2		b i n dʒ iː														
1577-2																
2196-2		dʒ i j														
2230-2																
2533-2		dʒ i j														
3605-2																
3866-2		s u														
4553-2		m														
4822-2																
5254-2																
503-2		j a														
1356-2		s a														
1881-2		n u														
2084-2																
2420-2		j u														
3218-2		b i n dʒ a														
3372-2																
3718-2		s a														
4135-2		s a														
4694-2																
807-2		k u														
2320-2		k u n														
2476-2		k u														
2842-2																
4081-2		g u r i														
