COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i															
1089-1	n aː															
1319-1	n iː															
1398-1	s u g u r u															
1557-1	g i r e															
1626-1	w a r a															
1840-1	t i r̃ u															
2247-1	g o															
4677-1	k o r e															
5162-1	m i r̃ ɛ															
5406-1	t a n d															
359-1	g a r u															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s u															
2533-1	b a r a															
3605-1	k a n d a															
3866-1	o s u															
4553-1	t aː															
4822-1	k u m b o															
5254-1	d u r a															
503-1	k ŋ i r̃ ɛ															
1356-1	m a															
1881-1	n u m															
3218-1	m̩ b u s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a n d															
4694-1	g u s u															
807-1	k o m b i															
2320-1	k a ŋ															
2476-1	k uː															
3719-1	m															
4081-1	d a m b i															
4313-1	n d ɛ															
4460-1	s u j̃ ɔ															
5810-1	b i r u															
93-1	d ɔ															
260-1	b e n d e															
385-1	d ɛ m b ɛ j															
890-1	a m b e r u															
1336-1	t e															
1703-1	b a															
1769-1	t e m b e															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	d ɛ g ɛ															
4591-1	k ɛ r u															
5301-1	b ɛ r u															
5605-1	t u m a															
463-1	d u m															
1432-1	t a r iː															
1474-1	t u															
1788-1	s u r u															
2044-1	g i m b e															
2713-1	t ɛː m i n d ɛ r ɛ															
3219-1	b a s a															
3425-1	j e															
4184-1	ɲ ɛ j̃															
4629-1	n u m ɔ															
4759-1	n iː															
4904-1	n u m ɔ															
4960-1	g i n̩ d a dʒ e															
4980-1	t ɔ															
5059-1	g o r o															
5339-1	p a r a															
5549-1	t a w a															
5905-1	t i r̃ u															
5922-1	b i r a															
5938-1	a d u n a															
1-1	p ɛ															
483-1	g o s u															
629-1	d aː															
667-1	ɛ b ɛ j															
1254-1	s u r u															
1415-1	ɲ ɛ															
1542-1	n̩ d ɔ															
1683-1	s i j̃ ɛ															
1898-1	m̩ b u r u															
2901-1	k u n d o m̩															
2957-1	m a n d u															
3048-1	b i j e															
3251-1	b a r															
3885-1	d ɔ r ɔ															
4402-1	j i															
5622-1	p e r u j e j															
6006-1	b i r̃ e															
135-1	t u n d u															
158-1	m ɔ s u															
194-1	b ɛ j															
221-1	ɛ s u															
650-1	b ɛ s u															
1152-1	t i b ɛ j															
1374-1	k ɔ r ɔ															
1452-1	g a r a															
1862-1	i s e															
2083-1	k a ŋ															
2108-1	a j															
2636-1	m															
2924-1	p o r u															
2941-1	b i r i															
3405-1	ɛ m ɛ															
3751-1	b a j															
4066-1	g ɔ r ɔ r̃ ɔ r ɔ															
4535-1	s u w a															
4888-1	s a m n a															
5583-1	t ãː n g m̩															
5751-1	t i j ɛ															
5981-1	a r̃ a															
114-1	d ɔ r ɛ															
851-1	g a m ɔ															
1941-1	k u s u															
2179-1	n i															
2351-1	b a b a															
2496-1	n̩ d ɔ															
3482-1	m i s i j i d o															
3497-1	n a															
3588-1	k ɔ r ɔ															
4202-1	g o r o															
4293-1	z ɔ w ɔ															
4921-1	s a m b a															
408-1	j e m b i															
545-1	i r u															
978-1	t a m															
1052-1	n aː m b i															
1070-1	l u w o															
1942-1	j e															
2456-1	k ɔ r u															
2514-1	t u s u															
2666-1	s i j iː															
2817-1	a ŋ g i															
3132-1	d u ŋ g u															
3300-1	ɛ w ɛ															
3976-1	ɔ z uː															
4152-1	k ŋ i r̃ ɛ															
4361-1	t e															
4570-1	g ɔ r ɔ u															
4648-1	j̃															
715-2		d u														
1089-2		n aː														
1319-2		n aː														
1398-2		s u n														
1557-2		g i r e														
1626-2		w a w														
1840-2		t i r̃ u														
2247-2		g o														
4677-2		k u r o j														
5162-2		m i r̃ u														
5406-2		t aː n u														
359-2		g a r i														
1577-2		g i r e														
2196-2		n a r̃ a														
2230-2		s i j e														
2533-2		b a r i														
3605-2		k a n a														
3866-2		o s u														
4553-2		t aː														
4822-2		k u m b o														
5254-2		d u r ɔ														
503-2		k i r̃ u														
1356-2		m aː														
1881-2		n u m														
2084-2		j aː p ɛ														
2420-2		k u r ɔ														
3218-2		p u s														
3372-2		n i w̃ a														
3718-2		a r i														
4135-2		d i n i r̃ iː														
4694-2		g u s u														
807-2		k o m														
2320-2		k a w ɛ														
2476-2		k u														
2842-2		d u g u														
4081-2		d a m b a														
4313-2		n ɛ														
4460-2		s i j̃ ɔ														
5514-2		l ɛ l ɛ														
5810-2		p i r i														
93-2		s ɔ														
260-2		b ɛ r a														
385-2		dʒ ɛ m b ɛ														
890-2		a m i r u														
1336-2		t e g e														
1703-2		b a														
1769-2		t e r e														
2162-2		b ɛ r ɛ														
2635-2		s o														
2735-2		d n a w														
3031-2		dʒ e g e														
4591-2		t o r o r u														
5301-2		p ɛ r u														
5605-2		t u w̃ ɔ														
296-2		dʒ a m b a														
463-2		d u m b u														
