COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n aː															
1319-1	n ɔ															
1398-1	s u n															
1557-1	g i r e															
1626-1	w̃ a w̃															
1840-1	t i n															
2247-1	g o															
4677-1	k u r o j															
5162-1	m i r̃ e															
5406-1	t aː n i															
359-1	g a r u															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i j e															
2533-1	b a r i															
3605-1	k a n d a															
3866-1	o s u															
4553-1	t aː															
4822-1	k u m b o															
5254-1	d u r a															
503-1	k i r̃ e j															
1356-1	m ãu w̃															
1881-1	n u mː u j̃															
3218-1	p u s u															
3372-1	n a m aː															
3718-1	a r i															
4135-1	b a r̃ a j̃															
4694-1	g u s u															
807-1	k o m b iː															
2320-1	k a ɲː e															
2476-1	k uː															
3719-1	m i															
4081-1	d a m b i															
4313-1	n ɛ															
4460-1	s i j̃ ɔ															
5810-1	p i n d ɛ															
93-1	d ɔ															
260-1	p i r e															
385-1	z ɛ m b ɛ															
890-1	a m b iː r i															
1336-1	t e k e															
1703-1	b ɔː															
1769-1	t ɛ m b i															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	d ɛː															
4591-1	k ɛ r i															
5301-1	p ɛː r u															
5605-1	t i m e j̃															
463-1	d u m b u															
1432-1	t a r iː															
1474-1	t o															
1788-1	s i r iː															
2044-1	d i m b e															
2713-1	t ɛː m b ɛ n d ɛ r ɛ															
3219-1	p a s a															
3425-1	j uː															
4184-1	ɲ ɛ j̃															
4629-1	n u m a															
4759-1	n i j̃ ɛ															
4904-1	n u m a															
4960-1	dʒ i nː aː r u															
4980-1	t ɔ t i															
5059-1	g u r o															
5339-1	p aː															
5549-1	t a w a															
5905-1	t i n															
5922-1	b i r aː															
5938-1	a d u n a															
1-1	p ɛ															
483-1	g u s u															
629-1	d ɔ															
667-1	ɛ w ɛ															
1254-1	d u r u															
1415-1	ɲ ɛ															
1542-1	n u															
1683-1	s ĩː															
1898-1	p u r̃ o															
2901-1	t u ŋ g iː															
2957-1	m a n i															
3048-1	b i j e															
3251-1	b a r a															
3885-1	d e															
715-2		d u														
1089-2		n aː m														
1319-2		n ɔ														
1398-2		s uː r̃ u														
1557-2		dʒ i r e														
1626-2		w aː w														
1840-2		t i r̃ u														
2247-2		g o														
4677-2		k u r o j														
5162-2		m i r̃ ɛ														
5406-2		t aː n u														
359-2		g a r i														
1577-2		dʒ i r e														
2196-2		n a r̃ a														
2230-2		s i														
2533-2		b a r i														
3605-2		k a l a														
3866-2		o s u														
4553-2		t aː														
4822-2		k u m b o														
5254-2		d u r ɔ														
503-2		tʃ i r̃ ɛ j̃														
1356-2		m a j̃ a														
1881-2		n u m u j̃														
2084-2		j aː p ɛ														
2420-2		k u														
3218-2		p uː s u														
3372-2		n a w̃ aː														
3718-2		a r a														
4135-2		b a r̃ a w̃														
4694-2		g u s u														
807-2		k o m b iː														
2320-2		k a ŋː ɛ														
2476-2		k uː														
2842-2		d i j ai														
4081-2		d a m b i														
4313-2		n ɛ														
4460-2		s u j̃ ɔ														
