COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
5200					ɛ l	ɛ l i				ɛ l ɛː		ɛ l u	ɛ l ɛ		ɛ l	ɛː l
5318	d ɔ r ɔ			d ɔ r ɔ		d ɔ l ɔː				d ɔ ãː			d ɔ l ɔ		d ɔ r ɔ	d ɔ l ɔ
5532			ʔ i n i		i nː i	i n ɔː		i n i		i n u	i n i		i n u			
5673	d u m b a	dʒ e r e		d ɛ m ɛ		d u m b u			d ɛ m b ɛ				d ɛ mː ɛ			d ɛ m ɛ
5752				t ɛ̃ː			t ɛː		t ɛː	t ɛ		t ɛː		t i		t ɛː
5866					k a r a	k a r aː	k a s a			k a r a			k a r u		g a d a	g a m i r u
5887	j a m	j a m					j a			j a			j aː n a	j̃ a r̃ u		j aː r̃ a
66						k a			k a	k a		k a	k a		k a	
432					k a n i	k a n				k a n	k a n				k a n	k a r̃ a
446	g o ŋ g o r o	g o ŋ g o r o			g eː ŋ g e	g e n g e	g o n d u g o				dʒ eː ŋ g e					
521	k ɔː dʒ ɛ			k ɔː dʒ ɔ	g oː dʒ i			k oː dʒ o l	k oː dʒ o					k a t u		
685				b ɔ r̃ ɔ					s ɔ r̃ ɔ	b o n			b o o	s o r̃ u		b oː n ɔ
744				l ɔ w ɔ					l a w a	l a b a		l ɔ w ɔ	n a b a			l a b a
1108	j ɔ	j ɔ					k o j o		k o j o					j i	j ɛ	
1124	e r e	i r e			e l e			e l e l e		eː l eː	e l e					
1237		i n dʒ ɛ	ʔ i n dʒ ɛ		i n dʒ ɛ					i n dʒ ɛː	iː n dʒ ɛ				i n dʒ ɛ	
1579			m b u l u		u m b u l u	m̩ b u l aː		m p u l			u m b u l u		m̩ b u l o			
1646				ɔ g u			ɔ g i			ɔ gː ɔ		ɔ g u	ɔ g u			ɔ g u
1745	z a j a	dʒ a j a		dʒ ɛ j ɛ					dʒ a j a			dʒ a j				dʒ a j ɛː
1748					j̃ e	j	j e				j o		j ɛ		j̃ ɛ	
1823	g o o	g oː				g o l o	g o o			g oː					g o l o	
2066				n a ŋ a					n a ŋ g a			n a ŋ a	n a a	n a		n a ŋ a
2143	b a	b a	b o				b aː			b a					b aː	
2216				j aː					j aː	j a j			j a a	j a j		j aː
2265	u r a	u r ɔ		u r ɔ					u l ɔ				u l o			u l o
2392	n̩ d o s u	l o s u					l o s i		l o s u					l o s u	n o z u	
2579	d oː	d oː		d ɔ j̃			d oː								d a j	d o m
2774	k a ŋ		k a n i		k a n i			k a n a			k a n			k a r̃ u		
2902		j u				j ɛ	j i		j ɔ		j o		j ɛ			
