ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY
1	2_age	AGE	Bangime	Bangime	ɡwìì	ɡwìì	gʷ ìì/iː	bang1363	14.8	-3.76	Bangime
2	2_age	AGE	Bankan_Tey	Bankan_Tey	pɛ́	pɛ́	p ɛ́/ɛ	bank1259	15.07	-2.91	Dogon	1 7	AX	PE	1	1.P.C 1.E.V	2.0 1.5	pɛ́/ɛ	0	1
3	2_age	AGE	Ben_Tey	Ben_Tey	pɛ́	pɛ́	p ɛ́/ɛ	bent1238	14.85	-2.95	Dogon	1 7	AX	PE	2	2.P.C 2.E.V	2.0 1.5	pɛ́/ɛ	0	1
4	2_age	AGE	Bunoge	Bunoge	kɛ̀mnɔ̀ kánì	kɛ̀mnɔ̀_kánì	k ɛ̀/ɛ m n ɔ̀/ɔ + k á/a n ì/i	buno1241	14.65	-3.79	Dogon	1 7 4 4 7 9 1 7 4 7	AXMBZ_AXBZ	KEMNU_KANI	3	3.K.C 3.E.V 3.M.c 3.N.C 3.U.V 3._._ 3.K.C 3.A.V 3.N.C 3.I.V	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5 1.75 0.8	kɛ̀/ɛmnɔ̀/ɔ+ká/anì/i	0	2 3
5	2_age	AGE	Fulfulde	Fulfulde	naywu-de	naywu-de	n ai w u + d e	maas1239	14.8	-3.84	Atlantic
6	2_age	AGE	Jamsay	Jamsay	pɛ́:ⁿ	pɛ́:ⁿ	p ɛ́:ⁿ/ɛ̃ː	jams1239	14.64	-3.1	Dogon	1 7	AX	PE	4	4.P.C 4.E.V	2.0 1.5	pɛ́:ⁿ/ɛ̃ː	0	1
7	2_age	AGE	Mombo	Mombo	ká:nú kánì	ká:nú_kánì	k á:/aː n ú/u + k á/a n ì/i	momb1254	14.51	-3.91	Dogon	1 7 4 7 9 1 7 4 7	AXBZ_AXBZ	KANY_KANI	5	5.K.C 5.A.V 5.N.C 5.Y.V 5._._ 5.K.C 5.A.V 5.N.C 5.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	ká:/aːnú/u+ká/anì/i	0	2 3
8	2_age	AGE	Najamba	Najamba	kúnjɛ́	kúnjɛ́	k ú/u n dʒ ɛ́/ɛ	bond1248	14.9	-3.42	Dogon	1 7 4 1 7	AXMBZ	KYNTE	6	6.K.C 6.Y.V 6.N.c 6.T.C 6.E.V	2.0 1.5 1.1 1.75 0.8	kú/undʒɛ́/ɛ	0	4
9	2_age	AGE	Nanga	Nanga	pɛ́:	pɛ́:	p ɛ́:/ɛː	nang1261	14.72	-3.02	Dogon	1 7	AX	PE	7	7.P.C 7.E.V	2.0 1.5	pɛ́:/ɛː	0	1
10	2_age	AGE	Penange	Penange	ká:mnɔ́ kán	ká:mnɔ́_kán	k á:/aː m n ɔ́/ɔ + k á/a n	pena1270	14.39	-4.03	Dogon	1 7 4 4 7 9 1 7 4	AXMBZ_AXN	KAMNU_KAN	8	8.K.C 8.A.V 8.M.c 8.N.C 8.U.V 8._._ 8.K.C 8.A.V 8.N.c	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5 0.8	ká:/aːmnɔ́/ɔ+ká/an	0	2 3
11	2_age	AGE	Perge_Tegu	Perge_Tegu	pɛ́:	pɛ́:	p ɛ́:/ɛː	perg1234	14.85	-3.02	Dogon	1 7	AX	PE	9	9.P.C 9.E.V	2.0 1.5	pɛ́:/ɛː	0	1
12	2_age	AGE	Songhai_Kiini	Songhai_Kiini	zé:n	zé:n	z é:/eː n	koyr1240	15.21	-2.75	Songhay
13	2_age	AGE	Songhai_Senni	Songhai_Senni	zé:n	zé:n	z é:/eː n	humb1243	15.28	-1.7	Songhay
14	2_age	AGE	Tebul_Ure	Tebul_Ure	pɛ́	pɛ́	p ɛ́/ɛ	tebu1239	14.69	-3.11	Dogon	1 7	AX	PE	10	10.P.C 10.E.V	2.0 1.5	pɛ́/ɛ	0	1
15	2_age	AGE	Tiranige_Diga	Tiranige_Diga	kúnjó	kúnjó	k ú/u n dʒ ó/o	tira1258	14.8	-3.72	Dogon	1 7 4 1 7	AXMBZ	KYNTU	11	11.K.C 11.Y.V 11.N.c 11.T.C 11.U.V	2.0 1.5 1.1 1.75 0.8	kú/undʒó/o	0	4
16	2_age	AGE	Togo_Kan	Togo_Kan	pɛ́:ⁿ	pɛ́:ⁿ	p ɛ́:ⁿ/ɛ̃ː	togo1254	14.16	-3.38	Dogon	1 7	AX	PE	12	12.P.C 12.E.V	2.0 1.5	pɛ́:ⁿ/ɛ̃ː	0	1
17	2_age	AGE	Tommo_So	Tommo_So	pɛ́ɛ́ⁿ	pɛ́ɛ́ⁿ	p ɛ́ɛ́ⁿ/ɛ̃ː	tomm1242	14.67	-3.51	Dogon	1 7	AX	PE	13	13.P.C 13.E.V	2.0 1.5	pɛ́ɛ́ⁿ/ɛ̃ː	0	1
18	2_age	AGE	Toro_Tegu	Toro_Tegu	yɔ̌w	yɔ̌w	j ɔ̌/ɔ w	toro1253	15.01	-2.4	Dogon	6 7 6	AXN	JUW	14	14.J.C 14.U.V 14.W.c	2.0 1.5 0.8	jɔ̌/ɔw	0	5
19	2_age	AGE	Yanda_Dom	Yanda_Dom	pɛ́:	pɛ́:	p ɛ́:/ɛː	yand1257	14.63	-3.15	Dogon	1 7	AX	PE	15	15.P.C 15.E.V	2.0 1.5	pɛ́:/ɛː	0	1
20	2_age	AGE	Yorno_So	Yorno_So	pɛ́:	pɛ́:	p ɛ́:/ɛː	yorn1234	14.56	-3.24	Dogon	1 7	AX	PE	16	16.P.C 16.E.V	2.0 1.5	pɛ́:/ɛː	0	1
21	3_animal	ANIMAL	Bambara	Bambara	dántán	dántán	d á/a n t á/a n	bamb1269	14.53	-4.1	Mande
22	3_animal	ANIMAL	Bangime	Bangime	yíríbɛ̀	yíríbɛ̀	j í/i r í/i b ɛ̀/ɛ	bang1363	14.8	-3.76	Bangime
23	3_animal	ANIMAL	Bankan_Tey	Bankan_Tey	dá:bà-m	dá:bà-m	d á:/aː b à/a + m	bank1259	15.07	-2.91	Dogon	1 7 1 7 9 4	AXBZ_A	TAPA_M	1	1.T.C 1.A.V 1.P.C 1.A.V 1._._ 1.M.C	2.0 1.5 1.75 0.8 0.0 2.0	dá:/aːbà/a+m	0	21 22
24	3_animal	ANIMAL	Ben_Tey	Ben_Tey	àrsɛ̌:	àrsɛ̌:	à/a r s ɛ̌:/ɛː	bent1238	14.85	-2.95	Dogon	7 5 3 7	XMBZ	ARSE	2	2.A.V 2.R.c 2.S.C 2.E.V	1.5 1.1 1.75 0.8	à/arsɛ̌:/ɛː	0	23
25	3_animal	ANIMAL	Bunoge	Bunoge	kɔ́mbɔ̀	kɔ́mbɔ̀	k ɔ́/ɔ m b ɔ̀/ɔ	buno1241	14.65	-3.79	Dogon	1 7 4 1 7	AXMBZ	KUMPU	3	3.K.C 3.U.V 3.M.c 3.P.C 3.U.V	2.0 1.5 1.1 1.75 0.8	kɔ́/ɔmbɔ̀/ɔ	0	24
26	3_animal	ANIMAL	Fulfulde	Fulfulde	daaba	daaba	d aː b a	maas1239	14.8	-3.84	Atlantic
27	3_animal	ANIMAL	Jamsay	Jamsay	àsɛ̀gɛ́	àsɛ̀gɛ́	à/a s ɛ̀/ɛ g ɛ́/ɛ	jams1239	14.64	-3.1	Dogon	7 3 7 1 7	XBYBZ	ASEKE	4	4.A.V 4.S.C 4.E.V 4.K.C 4.E.V	1.5 1.75 1.3 1.75 0.8	à/asɛ̀/ɛgɛ́/ɛ	0	25
28	3_animal	ANIMAL	Jenaama	Jenaama	dáábā	dáábā	d áá/aː b ā/a	jena1242	14.79	-3.78	Mande
29	3_animal	ANIMAL	Mombo	Mombo	dèbù bɛ́lí	dèbù_bɛ́lí	d è/e b ù/u + b ɛ́/ɛ l í/i	momb1254	14.51	-3.91	Dogon	1 7 1 7 9 1 7 5 7	AXBZ_AXBZ	TEPY_PELI	5	5.T.C 5.E.V 5.P.C 5.Y.V 5._._ 5.P.C 5.E.V 5.L.C 5.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	dè/ebù/u+bɛ́/ɛlí/i	0	21 26
30	3_animal	ANIMAL	Najamba	Najamba	dúmɛ́-ŋgó	dúmɛ́-ŋgó	d ú/u m ɛ́/ɛ + ŋ g ó/o	bond1248	14.9	-3.42	Dogon	1 7 4 7 9 4 1 7	AXBZ_ACZ	TYME_NKU	6	6.T.C 6.Y.V 6.M.C 6.E.V 6._._ 6.N.C 6.K.C 6.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	dú/umɛ́/ɛ+ŋgó/o	0	27 28
31	3_animal	ANIMAL	Nanga	Nanga	gàsɛ̀gɛ́	gàsɛ̀gɛ́	g à/a s ɛ̀/ɛ g ɛ́/ɛ	nang1261	14.72	-3.02	Dogon	1 7 3 7 1 7	AXBYBZ	KASEKE	7	7.K.C 7.A.V 7.S.C 7.E.V 7.K.C 7.E.V	2.0 1.5 1.75 1.3 1.75 0.8	gà/asɛ̀/ɛgɛ́/ɛ	0	25
32	3_animal	ANIMAL	Penange	Penange	dá:bá	dá:bá	d á:/aː b á/a	pena1270	14.39	-4.03	Dogon	1 7 1 7	AXBZ	TAPA	8	8.T.C 8.A.V 8.P.C 8.A.V	2.0 1.5 1.75 0.8	dá:/aːbá/a	0	21
33	3_animal	ANIMAL	Perge_Tegu	Perge_Tegu	àsɛ̀gɛ́	àsɛ̀gɛ́	à/a s ɛ̀/ɛ g ɛ́/ɛ	perg1234	14.85	-3.02	Dogon	7 3 7 1 7	XBYBZ	ASEKE	9	9.A.V 9.S.C 9.E.V 9.K.C 9.E.V	1.5 1.75 1.3 1.75 0.8	à/asɛ̀/ɛgɛ́/ɛ	0	25
34	3_animal	ANIMAL	Songhai_Kiini	Songhai_Kiini	dá:bbà	dá:bbà	d á:/aː bː à/a	koyr1240	15.21	-2.75	Songhay
35	3_animal	ANIMAL	Songhai_Senni	Songhai_Senni	dá:bbà:	dá:bbà:	d á:/aː bː à:/aː	humb1243	15.28	-1.7	Songhay
