COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
1	w a ɴ	w a r e				b a n			w a ɴ	
2				a s i	w a t e					w a t a s i
3			o iː				o r a	o r e		
10	ʔʲ a					vː a			ʔʲ aː	
5					a ɴ t a					a n a t a
11	w a x j a	w a r e ɴ i s a				b a n t iː			w a tː aː	
12				a s i r aː	w a t e r a					w a t a s i t a tɕ i
13			o i d o ɴ				o r a r a	o r a tɕ i		
14	x u r ɨ	k o r e	k o iː	k o r e	k o r e	k u r i	k o r e	k o r e	k u r i	k o r e
15	ʔ a r ɨ		a iː	a r e	a r e		a r e	a r e	ʔ a r i	a r e
18	θ a r u	d a r e	d a iː	d a r e	d a r e	t a r u	d a r e	d a r e	t aː	d a r e
21	n uː					n a u			n uː	
20			n a iː	n a n i	n a n i		n a n i	n a n i		n a n i
23	ʔ a r a ɴ					a r a ŋ				
22		n a kː j a	n a k a	n a i	n a i		n eː	n a i	n eː ɴ	n a i
24		m i ɴ n a		m i ɴ n a	m i ɴ n a	mː n a	ɴː n a	m i ɴ n a	ɴ n a	m i ɴ n a
34	ɕ o g o ɕ a ɴ					u k aː ʃ a				
32				j o k e	j oː k e					
35	t ɨː ts ɨ	t eː ts u	h i t o i	h i t o t u	h i t o ts u	p ɨ t iː s ɨ	ɸ u t o ts u	h i t o ts u	t iː ɕ i	h i t o ts u
36	t aː ts ɨ	h u t a ts u	h u t a i	h u t aː t u	h u t a ts u	f u t aː ts ɨ	ɸ u t aː ts u	h u t a ts u	t aː ɕ i	h u t a tsː u
38					oː k iː	u k u		oː k iː		oː k iː
39			h u t e	h u t o i			ɸ u t eː			
43			tɕ i ɴ k e		tɕ iː s a i			tɕ iː s a i		tɕ i tɕː a i
45							k o m eː		g u m a s a ɴ	
48	n a g a s a r i	n a g a kʲ a	n a g e	n a g a i	n a ŋ a i	n a g a	n a ŋ eː	n a g a i	n a g a s a ɴ	n a ŋ a i
49	o n a g u	o ɴ n a g o	o n a g o	o n a g o	o n a ŋ o			o ɴ n a	w i n a g u	o ɴ n a
54						b ɨ k i d u m			w i k i g a	
53			o t o k o	o t o k o	o t o k o		o t o k o	o t o k o		o t o k o
56	tɕ u	h i t o	h iː t o	h i t o	h i t o	p ɨ t u	ɸ u t o		tsː u	h i t o
59	ʔʲ u		iː o	u o		i z o	e o	u o	ʔ i j u	
58		s a k a n a			s a k a n a					s a k a n a
60	θ u r i	t o r i m e	t o iː	t o r i	t o r i	t ui	t o r i	t o r i	t ui	t o r i
62	ʔ i ɴ		i ɴ	i n u	i n u	i n	e n o	i n u	ʔ i ɴ	i n u
63	s i r a ɴ	ɕ a ɴ m e	s i t a m e	s i r a m i	s i r a m i	sː a m	s i r a m e	s i r a m i	s i r a ɴ	s i r a m i
64	x ɨ	k i	k i	k i	k iː	k iː	k i	k i	k iː	k i
65		k u a	k a w a	k a w a	k a w a	k aː	k a w a	k a w a	k aː	k a w a
67	h w a	h a	h a i	h a	h aː	p aː	ɸ a	h a	h w aː	h a pː a
68	n ɨ g u r i	n e	n e	n e	n eː	n iː	n e	n e	n iː	n e kː o
