COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k o r Ø									
18-1	d a r Ø									
35-1	h i t o Ø u									
36-1	h u t Ø Ø u									
48-1	n a ŋ a a a									
60-1	t o r i									
63-1	s i r a m									
64-1	k i									
67-1	h a									
68-1	n Ø									
71-1	ts i									
76-1	h o n e									
83-1	Ø u n o									
87-1	h a n e									
95-1	m i m i									
98-1	h a n a									
99-1	k u ts i									
-102-1	s i t a									
103-1	Ø u m e									
110-1	t Ø									
116-1	m u n e									
120-1	n o m u a									
132-1	k i k u a									
139-1	a k o r o s u a									
140-1	o j o u									
156-1	t a Ø e Ø									
168-1	Ø u k i									
169-1	h o s i									
170-1	m i Ø u									
173-1	i s i									
180-1	k u m o									
185-1	h a i									
186-1	m o r u a									
187-1	m i ts i									
190-1	a k a a a									
193-1	k ui r									
194-1	s i r Ø a									
195-1	k u r Ø a									
216-1	m a r a Ø Ø									
221-1	n a									
239-1	i Ø u									
252-1	m i Ø u									
253-1	j o Ø u									
254-1	i Ø u Ø u									
266-1	k a z e									
267-1	n a ŋ a r i r u a									
268-1	u m i									
272-1	a m Ø									
276-1	a r a u a									
281-1	m u s i									
304-1	Ø u b a									
305-1	ts i									
308-1	h a n a									
309-1	k u s a									
310-1	t o									
311-1	n i									
342-1	j u k i									
346-1	k u r a a a									
347-1	k i r u a									
348-1	h i r u i a									
351-1	t o Ø a									
361-1	a u m a									
379-1	k u s a r a									
394-1	h i d a r i									
395-1	m i Ø i									
400-1	h i Ø a r a a									
412-1	s a k i r u a									
413-1	Ø k u s a s u a									
414-1	h o r u a									
422-1	h u k u r Ø r u									
423-1	k a ɴ ŋ a Ø r u									
430-1	h a k u a									
435-1	h u k u a									
446-1	s i t a a									
447-1	u a Ø									
458-1	t o s i									
56-1	h i t u									
62-1	i n u									
70-1	t a n e									
96-1	m Ø									
101-1	h a									
14-2		k a r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t aː ts u								
48-2		n a ŋ a i								
60-2		t a r i								
63-2		s i r a m o								
64-2		k i								
67-2		h aː								
68-2		n e								
71-2		tɕ ui								
76-2		h a n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u ts i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n a m								
132-2		k i k u								
139-2		k a r o s u								
140-2		o j a u								
156-2		t a k o r								
168-2		ts u k i								
169-2		h a s i								
170-2		m i u								
173-2		i s i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i ts i								
190-2		a k a i								
193-2		k i r o i								
194-2		s i r o i								
195-2		k u r o i								
216-2		m a r o								
221-2		n aː								
239-2		i ts u								
252-2		m i u								
253-2		j o u								
254-2		i ts u ts u								
266-2		k a r e								
267-2		n a ŋ a r e r u								
268-2		u m i								
272-2		a m a								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b iː								
305-2		tɕ i i								
308-2		h a n a								
309-2		k u s a								
310-2		t a								
311-2		n i								
342-2		j u k i								
346-2		k u r a i								
347-2		k i r u								
348-2		h i r u i								
351-2		t oː								
361-2		a m u a i								
379-2		k u s a r a								
394-2		h i d a r i								
395-2		m i i								
400-2		h i ts a r u								
412-2		s a k e r								
413-2		ts u k i s a s u								
414-2		h a r								
422-2		h u k u r e r								
423-2		k a n ŋ a r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a a								
447-2		u e								
458-2		t a s i								
56-2		h o t u								
65-2		k a w								
70-2		t a n e								
75-2		k a w								
14-3			k o r e							
18-3			d a r e							
35-3			h i t o ts uː							
36-3			h u t a ts uː							
48-3			n a ŋ a a							
60-3			t o r i							
63-3			s i m i							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			tɕ i							
76-3			h o n e							
83-3			ts uː n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s i t a							
103-3			ts uː m e							
110-3			t e							
116-3			m u n e							
120-3			n o m u							
132-3			k i k u							
139-3			k o r u s u							
140-3			o j o uː							
156-3			t a t uː r							
168-3			ts uː k i							
169-3			h o s i							
170-3			m i z uː							
173-3			i s i							
180-3			k u m o							
185-3			h a i							
186-3			m o e r uː							
187-3			m i tɕ i							
190-3			a k a i							
193-3			k i r o i							
194-3			s i r u							
195-3			k u r u							
