COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k i r i									
18-1	w a ɴ									
35-1	k i r i									
36-1	w a ɴ									
48-1	w a ɴ									
60-1	k i r i									
63-1	k i r i									
64-1	k i r i									
67-1	ʔ a									
68-1	k i r i									
71-1	k i r i									
76-1	w a ɴ									
83-1	ʔ u r i									
87-1	ʔ a ɴ									
95-1	k i r i									
98-1	w a ɴ									
99-1	k i r i									
-102-1	k i r i									
103-1	k i r i									
110-1	k i r i									
116-1	k i r i									
120-1	n u r i									
132-1	k i r i									
139-1	k i r i									
140-1	k u r i									
156-1	n a r i									
168-1	k i r i									
169-1	k i r i									
170-1	k i r i									
173-1	k i r i									
180-1	k i r i									
185-1	ʔ a ɴ									
186-1	θ u r i									
187-1	k i r i									
190-1	ʔ a ɴ									
193-1	k i r i									
194-1	k i r i									
195-1	k i r i									
216-1	n a r i									
221-1	ʔ a ɴ									
239-1	k i r i									
252-1	k i r i									
253-1	n u r i									
254-1	k i r i									
266-1	k i r i									
267-1	n a r u r i									
268-1	k i r i									
272-1	ʔ a r i									
276-1	w a ɴ									
281-1	k i r i									
304-1	ʔ a r i									
305-1	k i r i									
308-1	w a ɴ									
309-1	k i r i									
310-1	k u r i									
311-1	k i r i									
342-1	k i r i									
346-1	k i r i									
347-1	k i r i									
348-1	k i r i									
351-1	k i r i									
361-1	k i r i									
379-1	ʔ u r i									
394-1	ʔ a ɴ									
395-1	k i r i									
400-1	k i r i									
412-1	n a r i									
413-1	n u r i									
414-1	k i r i									
422-1	n u r i									
423-1	ʔ a ɴ									
430-1	w a ɴ									
435-1	ʔ u r i									
446-1	k i r i									
447-1	k i r i									
458-1	k i r i									
56-1	k i r i									
62-1	k u r i									
70-1	w a ɴ									
96-1	k i r i									
101-1	ʔ a r i									
114-1	k i r i									
119-1	k i r i									
134-1	n u r i									
138-1	k u r i									
146-1	ʔ a ɴ									
161-1	k i r i									
182-1	k i r i									
188-1	w a ɴ									
196-1	θ u r i									
262-1	k i r i									
300-1	k i r i									
313-1	k i r i									
350-1	k i r i									
352-1	k i r i									
396-1	ʔ a ɴ									
401-1	x u r i									
420-1	ʔ u r i									
424-1	w a ɴ									
442-1	k i r i									
455-1	k i r i									
15-1	ʔ a r i									
49-1	ʔ a ɴ tɕ u									
130-1	k i r i									
14-2		k o k o								
18-2		h a								
35-2		m o k o								
36-2		h e r u								
48-2		h a								
60-2		k o k o								
63-2		k i r e								
64-2		k i								
67-2		h a								
68-2		k u r u								
71-2		m i								
76-2		h o								
83-2		m o k o								
87-2		h a								
95-2		m i								
98-2		h a								
99-2		m i								
-102-2		k i r e								
103-2		m i								
110-2		k i								
116-2		k u								
120-2		k o k o								
132-2		k i r e								
139-2		k o k o								
140-2		k o k o								
156-2		k u a								
168-2		m i								
169-2		h o k o								
170-2		m i								
173-2		m i								
180-2		k o k o								
185-2		h i								
186-2		m o s i								
187-2		m i								
190-2		a s i								
193-2		k o r i								
194-2		k i								
195-2		k u r u								
216-2		h a								
221-2		h a								
239-2		k i								
252-2		m i								
253-2		m o k o								
254-2		k u r u								
266-2		k e								
267-2		h a r u								
268-2		m i								
272-2		h a								
276-2		h a								
281-2		m i								
304-2		k i								
305-2		m i								
308-2		h a								
309-2		k u r u								
310-2		o k o								
311-2		m i								
342-2		m i								
346-2		k u r u								
347-2		k i r e								
348-2		h i								
351-2		k i r e								
361-2		d o k o								
379-2		k u t a								
394-2		k u a								
395-2		m i								
400-2		k i r e								
412-2		k u r u								
413-2		k u a								
414-2		h o								
422-2		k u r u								
423-2		k a r u								
430-2		h a r e								
435-2		k u r u								
446-2		k i								
447-2		w a r e								
458-2		k o								
56-2		h o								
65-2		k a k a								
70-2		h a								
75-2		k a k a								
114-2		k u r u								
119-2		k i								
161-2		m i								
171-2		k a k a								
188-2		h a								
196-2		k o r u								
262-2		k i r e								
300-2		h o								
313-2		o								
350-2		m i								
352-2		w a r e								
396-2		h u								
401-2		k o								
420-2		k o k o								
424-2		k u a								
442-2		k i r i								
455-2		k i r e								
22-2		h i								
24-2		m i								
49-2		h o								
78-2		h a r u								
89-2		k o								
14-3			k o							
18-3			k a							
35-3			n e i							
36-3			n e i							
48-3			h a							
60-3			n e i							
63-3			k e i							
