COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u b u r i									
18-1	j a s θ									
35-1										
36-1										
48-1										
60-1	ui θ									
63-1	a m sː									
64-1	k i									
67-1	w a h									
68-1	n e									
71-1	iː θ ɨ									
76-1										
83-1										
87-1										
95-1	b i ɴ									
98-1										
99-1	k o									
-102-1										
103-1										
110-1	θ e									
116-1	n ɨ ɴ									
120-1	g u ɴ									
132-1	k i									
139-1										
140-1	u j u r u r i									
156-1										
168-1										
169-1										
170-1	b i									
173-1	i s i									
180-1										
185-1	h a s a r i									
186-1	m r u r i ui									
187-1	m i g i r i									
190-1	a h a									
193-1	k i									
194-1	o sː									
195-1	k j a									
216-1										
221-1	n a									
239-1	ɴ tɕ u									
252-1	b u r i									
253-1	j u b u r i									
254-1	a θ ɨ r u r i									
266-1										
267-1										
268-1	u b i									
272-1	a m ɨ									
276-1										
281-1	b u s i									
304-1										
305-1	i tɕ									
308-1										
309-1										
310-1	θ o									
311-1	x									
14-2		k o i								
18-2		u a b e t								
35-2										
36-2										
48-2										
60-2		ui t								
63-2		a m sː								
64-2		e k								
67-2		k h								
68-2		iː n								
71-2		i t								
76-2										
83-2										
87-2										
95-2		m i ɴ								
98-2										
99-2		k u								
-102-2										
103-2										
110-2		iː t								
116-2		n e ɴ n u								
120-2		n o r u ɴ n u a								
132-2		i k								
139-2										
140-2		o j o								
156-2										
168-2										
169-2										
170-2		b i								
173-2		i s i								
180-2										
185-2		h a kʲ a								
186-2		m r ui								
187-2		m i g i r i								
190-2		a k a								
193-2		i k								
194-2		r u sː								
195-2		h o								
216-2										
221-2		aː n								
239-2		tɕː								
252-2		m a								
253-2		j o i								
254-2		a ts u								
266-2										
267-2										
268-2		u m i								
272-2		a m e								
276-2										
281-2		b u s i								
304-2										
305-2		i r i i g								
308-2										
309-2										
310-2		t o								
311-2		n								
14-3										
18-3			ɴ t							
35-3										
36-3										
48-3										
60-3			ui t							
63-3			a m sː							
64-3			e k							
67-3			h a							
68-3			n e							
71-3			i tɕ							
76-3										
83-3										
87-3										
95-3			i m i i ɴ							
98-3										
99-3										
-102-3										
103-3										
110-3			t e							
116-3			ɴ i n e							
120-3			m o m							
132-3										
139-3										
140-3										
156-3										
168-3										
169-3										
170-3										
173-3			i s i							
180-3										
185-3			h e							
186-3			m j ui							
187-3			k i m							
190-3			a a k							
193-3										
194-3			u sː							
195-3			u h							
216-3										
221-3			aː m							
239-3			i ts u							
252-3										
253-3										
254-3										
266-3										
267-3										
268-3			u m i							
272-3			a m e							
276-3										
281-3										
304-3										
305-3			iː tɕ							
308-3										
309-3										
310-3			t o							
311-3			m							
14-4				k o h i						
18-4				a w a t						
35-4										
36-4										
48-4										
60-4				ui t						
63-4				a i m sː						
64-4				i n						
67-4				a h						
68-4				e n						
71-4				i t						
76-4										
83-4										
87-4										
95-4				m i n o						
98-4										
99-4				k u						
-102-4										
103-4										
110-4				e t						
116-4				ɴ n i						
120-4				n a u k u						
132-4				k h i						
139-4										
140-4				o i j o						
156-4										
168-4										
169-4										
170-4				b i						
173-4				i s i						
180-4										
185-4				e h						
186-4				m r i ui						
187-4				b i						
190-4				a k a i						
193-4				k h i						
194-4				r u sː						
195-4				h o						
216-4										
221-4				a n						
239-4				i t u						
252-4				b i						
253-4				j o						
254-4				i t a e r u						
266-4										
267-4										
268-4				u m i						
272-4				a m e						
276-4										
281-4				b u k i s i						
304-4										
305-4				u t						
308-4										
309-4										
310-4				t o						
311-4				u n						
14-5					k o i					
18-5					aː tɕ					
35-5										
36-5										
48-5										
60-5					ui tɕ					
63-5					a i m sː					
64-5					eː k					
67-5					aː h					
68-5					eː n					
71-5					eː tɕ					
76-5										
83-5										
87-5										
95-5					m i n					
98-5										
99-5					k u					
-102-5										
103-5										
110-5					e t					
116-5					ɴ n e					
120-5					n o m					
132-5					k i					
139-5										
140-5					o j a u					
156-5										
168-5										
169-5										
170-5					b i					
173-5					i s i					
180-5										
185-5					h a i					
186-5					m r i ui					
187-5					b i					
190-5					a k a i					
193-5					k i					
194-5					g o sː					
195-5					h o					
216-5										
221-5					aː m					
239-5					i ts u					
252-5					b i					
253-5					j o					
254-5					i i ts u k u					
266-5										
267-5										
268-5					u m i					
272-5					a m e					
276-5										
281-5					b u dʑ i					
304-5										
305-5					eː tɕ					
308-5										
309-5										
310-5					t o					
311-5					ɴ					
14-6						f u s u ts ɨ				
18-6						iː t				
35-6										
36-6										
48-6										
