COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	θ a r u									
35-1	t ɨː ts ɨ									
36-1	t aː ts ɨ									
48-1	n a g a s a r i									
60-1	θ u r i									
63-1	s i r a ɴ									
64-1	x ɨ									
67-1	h w a									
68-1	n ɨ g u r i									
71-1	tɕ i									
76-1	h u n ɨ									
83-1	ts ɨ n o									
87-1	h a ɴ g e									
95-1	m i ɴ									
98-1	h a n a									
99-1	k u tɕ i									
-102-1	s ɨ b a									
103-1	ts ɨ m ɨ									
110-1	θ ɨ									
116-1	m u n ɨ									
120-1	n u m u r i									
132-1	k i kʲ u r i									
139-1	x u sː u r i									
140-1	ʔ w ɨː g u r i									
156-1	θ a tɕː u r i									
168-1	ts ɨ k i									
169-1	h u s i									
170-1	m ɨ z ɨ									
173-1	ʔ i s i									
180-1	k u m o									
185-1	h w e									
186-1	m eː r u r i									
187-1	m i tɕ i									
190-1	h aː s a r i									
193-1	k iː s a r i									
194-1	s i r u s a r i									
195-1	k u r u s a r i									
216-1	m a r u s a r i									
221-1	n aː									
239-1	ʔ i ts ɨ									
252-1	m iː ts ɨ									
253-1	j uː ts ɨ									
254-1	ʔ i ts ɨ ts ɨ									
266-1	x a z e									
267-1	n a g a r e r u r i									
268-1	ʔ u m i									
272-1	ʔ a m ɨ									
276-1	ʔ a r a u r i									
281-1	m u s i									
304-1	ts ɨ z ɨ									
305-1	tɕ i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n a ɴ									
342-1	j u k i									
346-1	k u r a s a r i									
347-1	k i r u r i									
348-1	h i r u s a r i									
351-1	θ uː s a r i									
361-1	ʔ u b u s a r i									
379-1	k u s a r e θ a									
394-1	h i dʑ a r i									
395-1	n i g i r i									
400-1	h i pː a r u r i									
412-1	s e h e r u r i									
413-1	ts ɨ k i s a s u r i									
414-1	h u r u r i									
422-1	h u k u r ɨ r u r i									
423-1	x a ɴ g e r u r i									
430-1	h a x u r i									
435-1	h u k u r i									
446-1	ɕ aː tɕ i									
447-1	ʔ w ɨː tɕ i									
458-1	θ u s i									
56-1	tɕ u									
62-1	ʔ i ɴ									
70-1	θ a n ɨ									
96-1	m ɨː									
101-1	h w a									
14-2		k o r e								
18-2		d a r e								
35-2		t eː ts u								
36-2		h u t a ts u								
48-2		n a g a kʲ a								
60-2		t o r i m e								
63-2		ɕ a ɴ m e								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o j o g u								
156-2		t a tː e								
168-2		ts u k i								
169-2		h o s i								
170-2		m i z u								
173-2		i s i								
180-2		k u m o								
185-2		h i a								
186-2		m i e r u								
187-2		m i tɕ i								
190-2		a k a kʲ a								
193-2		k iː r o kʲ a								
194-2		s i r o kʲ a								
195-2		k u r o kʲ a								
216-2		m a r u kʲ a								
221-2		n a m i a								
239-2		i ts u								
252-2		m i tsː u								
253-2		j o tsː u								
254-2		i ts u ts u								
266-2		k a z e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e								
276-2		a r a u								
281-2		m u s i m e								
304-2		ts u d a k i								
305-2		tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
342-2		j u k i								
