ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
1	1_i	I	Miyako	Miyako	ban	b.a.n	b a n	miya1259	24.7564	125.363	Japonic	1
2	1_i	I	Tokyo	Tōkyō	watasi	w.a.t.a.s.i	w a t a s i	toky1238			Japonic	2
3	1_i	I	Amami	Amami	waɴ	w.a.ɴ	w a ɴ	naze1238			Japonic	1
4	1_i	I	Kyoto	Kyōto	wate	w.a.t.e	w a t e	kyot1238			Japonic	2
5	1_i	I	Hachijo	Hachijō	ware	w.a.r.e	w a r e	hach1238			Japonic	1
6	1_i	I	Shuri	Shuri	waɴ	w.a.ɴ	w a ɴ	shur1243			Japonic	1
7	1_i	I	Kochi	Kōchi	asi	a.s.i	a s i	shik1243			Japonic	2
8	1_i	I	Sado	Sado	ore	o.r.e	o r e	sado1237			Japonic	3
9	1_i	I	Oki	Oki	ora	o.r.a	o r a	okin1246	27.3738	128.619	Japonic	3
10	1_i	I	Kagoshima	Kagoshima	oiː	oiː	o iː	kyus1238			Japonic	3
1957	198_alivelive	alive (live)	Miyako	Miyako	nːuʦɨduaɭ	nː.u.ʦ.ɨ.d.ua.ɭ	nː u ts ɨ d u a ɭ	miya1259	24.7564	125.363	Japonic	454
1958	198_alivelive	alive (live)	Tokyo	Tōkyō	ikiteru	i.k.i.t.e.r.u	i k i t e r u	toky1238			Japonic	455
1959	198_alivelive	alive (live)	Amami	Amami	ʔikiʨuri	ʔ.i.k.i.ʨ.u.r.i	ʔ i k i tɕ u r i	naze1238			Japonic	455
1960	198_alivelive	alive (live)	Kyoto	Kyōto	ikiteru	i.k.i.t.e.r.u	i k i t e r u	kyot1238			Japonic	455
1961	198_alivelive	alive (live)	Hachijo	Hachijō	ikite	i.k.i.t.e	i k i t e	hach1238			Japonic	455
1962	198_alivelive	alive (live)	Shuri	Shuri	ʔiʨiʦoːɴ	ʔ.i.ʨ.i.ʦ.oː.ɴ	ʔ i tɕ i ts oː ɴ	shur1243			Japonic	455
1963	198_alivelive	alive (live)	Kochi	Kōchi	ikitʲuː	i.k.i.tʲ.uː	i k i tʲ uː	shik1243			Japonic	455
1964	198_alivelive	alive (live)	Sado	Sado	ikitoru	i.k.i.t.o.r.u	i k i t o r u	sado1237			Japonic	455
1965	198_alivelive	alive (live)	Oki	Oki	ekeʨoru	e.k.e.ʨ.o.r.u	e k e tɕ o r u	okin1246	27.3738	128.619	Japonic	455
1966	198_alivelive	alive (live)	Kagoshima	Kagoshima	ikiːʨːo	i.k.iː.ʨː.o	i k iː tɕː o	kyus1238			Japonic	455
81	9_all	all	Miyako	Miyako	mːna	mː.n.a	mː n a	miya1259	24.7564	125.363	Japonic	24
82	9_all	all	Tokyo	Tōkyō	miɴna	m.i.ɴ.n.a	m i ɴ n a	toky1238			Japonic	24
83	9_all	all	Amami	Amami	ʔaɴxaːri	ʔ.a.ɴ.x.aː.r.i	ʔ a ɴ x aː r i	naze1238			Japonic	26
84	9_all	all	Kyoto	Kyōto	miɴna	m.i.ɴ.n.a	m i ɴ n a	kyot1238			Japonic	24
85	9_all	all	Hachijo	Hachijō	miɴna	m.i.ɴ.n.a	m i ɴ n a	hach1238			Japonic	24
86	9_all	all	Shuri	Shuri	ɴna	ɴ.n.a	ɴ n a	shur1243			Japonic	24
87	9_all	all	Kochi	Kōchi	miɴna	m.i.ɴ.n.a	m i ɴ n a	shik1243			Japonic	24
88	9_all	all	Sado	Sado	miɴna	m.i.ɴ.n.a	m i ɴ n a	sado1237			Japonic	24
89	9_all	all	Oki	Oki	ɴːna	ɴː.n.a	ɴː n a	okin1246	27.3738	128.619	Japonic	24
90	9_all	all	Kagoshima	Kagoshima	sukːai	s.u.kː.ai	s u kː a i	kyus1238			Japonic	25
1268	128_arm	arm	Miyako	Miyako	udi	u.d.i	u d i	miya1259	24.7564	125.363	Japonic	289
1269	128_arm	arm	Tokyo	Tōkyō	ude	u.d.e	u d e	toky1238			Japonic	289
1270	128_arm	arm	Amami	Amami	xeːnʲa	x.eː.nʲ.a	x eː nʲ a	naze1238			Japonic	291
1271	128_arm	arm	Kyoto	Kyōto	teː	t.eː	t eː	kyot1238			Japonic	290
1272	128_arm	arm	Hachijo	Hachijō	ude	u.d.e	u d e	hach1238			Japonic	289
1273	128_arm	arm	Shuri	Shuri	tiː	t.iː	t iː	shur1243			Japonic	290
1274	128_arm	arm	Kochi	Kōchi	ude	u.d.e	u d e	shik1243			Japonic	289
1275	128_arm	arm	Sado	Sado	ude	u.d.e	u d e	sado1237			Japonic	289
1276	128_arm	arm	Oki	Oki	ode	o.d.e	o d e	okin1246	27.3738	128.619	Japonic	289
1277	128_arm	arm	Kagoshima	Kagoshima	te	t.e	t e	kyus1238			Japonic	290
820	83_ash	ash	Miyako	Miyako	pazɨ	p.a.z.ɨ	p a z ɨ	miya1259	24.7564	125.363	Japonic	185
821	83_ash	ash	Tokyo	Tōkyō	hai	h.ai	h a i	toky1238			Japonic	185
822	83_ash	ash	Amami	Amami	hwe	h.w.e	h w e	naze1238			Japonic	185
823	83_ash	ash	Kyoto	Kyōto	hai	h.ai	h a i	kyot1238			Japonic	185
824	83_ash	ash	Hachijo	Hachijō	hia	h.ia	h i a	hach1238			Japonic	185
825	83_ash	ash	Shuri	Shuri	hweː	h.w.eː	h w eː	shur1243			Japonic	185
826	83_ash	ash	Kochi	Kōchi	hai	h.ai	h a i	shik1243			Japonic	185
827	83_ash	ash	Sado	Sado	hai	h.ai	h a i	sado1237			Japonic	185
828	83_ash	ash	Oki	Oki	ɸeː	ɸ.eː	ɸ eː	okin1246	27.3738	128.619	Japonic	185
829	83_ash	ash	Kagoshima	Kagoshima	hei	h.ei	h e i	kyus1238			Japonic	185
1397	141_at	at	Miyako	Miyako	n	n	n	miya1259	24.7564	125.363	Japonic	312
1398	141_at	at	Tokyo	Tōkyō	de	d.e	d e	toky1238			Japonic	313
1399	141_at	at	Amami	Amami	naɴθɨ	n.a.ɴ.θ.ɨ	n a ɴ θ ɨ	naze1238			Japonic	313
1400	141_at	at	Kyoto	Kyōto	de	d.e	d e	kyot1238			Japonic	313
1401	141_at	at	Hachijo	Hachijō	de	d.e	d e	hach1238			Japonic	313
1402	141_at	at	Shuri	Shuri	uti	u.t.i	u t i	shur1243			Japonic	313
1403	141_at	at	Kochi	Kōchi	de	d.e	d e	shik1243			Japonic	313
1404	141_at	at	Sado	Sado	de	d.e	d e	sado1237			Japonic	313
1405	141_at	at	Oki	Oki	de	d.e	d e	okin1246	27.3738	128.619	Japonic	313
1406	141_at	at	Kagoshima	Kagoshima	de	d.e	d e	kyus1238			Japonic	313
1249	126_back	back	Tokyo	Tōkyō	senaka	s.e.n.a.k.a	s e n a k a	toky1238			Japonic	283
1250	126_back	back	Amami	Amami	xusi	x.u.s.i	x u s i	naze1238			Japonic	284
1251	126_back	back	Kyoto	Kyōto	senaka	s.e.n.a.k.a	s e n a k a	kyot1238			Japonic	283
1252	126_back	back	Hachijo	Hachijō	hedaka	h.e.d.a.k.a	h e d a k a	hach1238			Japonic	282
1253	126_back	back	Shuri	Shuri	nagani	n.a.g.a.n.i	n a g a n i	shur1243			Japonic	285
1254	126_back	back	Kochi	Kōchi	senaka	s.e.n.a.k.a	s e n a k a	shik1243			Japonic	283
1255	126_back	back	Sado	Sado	senaka	s.e.n.a.k.a	s e n a k a	sado1237			Japonic	283
1256	126_back	back	Oki	Oki	sena	s.e.n.a	s e n a	okin1246	27.3738	128.619	Japonic	283
1257	126_back	back	Kagoshima	Kagoshima	senaka	s.e.n.a.k.a	s e n a k a	kyus1238			Japonic	283
1641	166_bad	bad	Miyako	Miyako	fusaritam	f.u.s.a.r.i.t.a.m	f u s a r i t a m	miya1259	24.7564	125.363	Japonic	379
1642	166_bad	bad	Tokyo	Tōkyō	kusatːa	k.u.s.a.tː.a	k u s a tː a	toky1238			Japonic	379
1643	166_bad	bad	Amami	Amami	kusareθa	k.u.s.a.r.e.θ.a	k u s a r e θ a	naze1238			Japonic	379
1644	166_bad	bad	Kyoto	Kyōto	kusatːa	k.u.s.a.tː.a	k u s a tː a	kyot1238			Japonic	379
1645	166_bad	bad	Hachijo	Hachijō	kusarua	k.u.s.a.r.ua	k u s a r u a	hach1238			Japonic	379
1646	166_bad	bad	Shuri	Shuri	kuʦːoːru	k.u.ʦː.oː.r.u	k u tsː oː r u	shur1243			Japonic	379
1647	166_bad	bad	Kochi	Kōchi	kusatːa	k.u.s.a.tː.a	k u s a tː a	shik1243			Japonic	379
1648	166_bad	bad	Sado	Sado	kusatːa	k.u.s.a.tː.a	k u s a tː a	sado1237			Japonic	379
1649	166_bad	bad	Oki	Oki	kusatːa	k.u.s.a.tː.a	k u s a tː a	okin1246	27.3738	128.619	Japonic	379
1650	166_bad	bad	Kagoshima	Kagoshima	kesːareta	k.e.sː.a.r.e.t.a	k e sː a r e t a	kyus1238			Japonic	379
231	24_barkoftree	bark (of tree)	Miyako	Miyako	kaː	k.aː	k aː	miya1259	24.7564	125.363	Japonic	65
232	24_barkoftree	bark (of tree)	Tokyo	Tōkyō	kawa	k.a.w.a	k a w a	toky1238			Japonic	65
233	24_barkoftree	bark (of tree)	Amami	Amami	xɨɴxo	x.ɨ.ɴ.x.o	x ɨ ɴ x o	naze1238			Japonic	66
234	24_barkoftree	bark (of tree)	Kyoto	Kyōto	kawa	k.a.w.a	k a w a	kyot1238			Japonic	65
235	24_barkoftree	bark (of tree)	Hachijo	Hachijō	kua	k.ua	k u a	hach1238			Japonic	65
236	24_barkoftree	bark (of tree)	Shuri	Shuri	kaː	k.aː	k aː	shur1243			Japonic	65
237	24_barkoftree	bark (of tree)	Kochi	Kōchi	kawa	k.a.w.a	k a w a	shik1243			Japonic	65
238	24_barkoftree	bark (of tree)	Sado	Sado	kawa	k.a.w.a	k a w a	sado1237			Japonic	65
239	24_barkoftree	bark (of tree)	Oki	Oki	kawa	k.a.w.a	k a w a	okin1246	27.3738	128.619	Japonic	65
240	24_barkoftree	bark (of tree)	Kagoshima	Kagoshima	kawa	k.a.w.a	k a w a	kyus1238			Japonic	65
482	49_belly	belly	Miyako	Miyako	bata	b.a.t.a	b a t a	miya1259	24.7564	125.363	Japonic	113
483	49_belly	belly	Tokyo	Tōkyō	onaka	o.n.a.k.a	o n a k a	toky1238			Japonic	112
484	49_belly	belly	Amami	Amami	waθa	w.a.θ.a	w a θ a	naze1238			Japonic	113
485	49_belly	belly	Kyoto	Kyōto	hara	h.a.r.a	h a r a	kyot1238			Japonic	111
486	49_belly	belly	Hachijo	Hachijō	hara	h.a.r.a	h a r a	hach1238			Japonic	111
487	49_belly	belly	Shuri	Shuri	wata	w.a.t.a	w a t a	shur1243			Japonic	113
488	49_belly	belly	Kochi	Kōchi	hara	h.a.r.a	h a r a	shik1243			Japonic	111
489	49_belly	belly	Sado	Sado	hara	h.a.r.a	h a r a	sado1237			Japonic	111
490	49_belly	belly	Oki	Oki	ɸara	ɸ.a.r.a	ɸ a r a	okin1246	27.3738	128.619	Japonic	111
491	49_belly	belly	Kagoshima	Kagoshima	hara	h.a.r.a	h a r a	kyus1238			Japonic	111
121	13_big	big	Miyako	Miyako	uku	u.k.u	u k u	miya1259	24.7564	125.363	Japonic	38
122	13_big	big	Tokyo	Tōkyō	oːkiː	oː.k.iː	oː k iː	toky1238			Japonic	38
123	13_big	big	Amami	Amami	hwɨsːari	h.w.ɨ.sː.a.r.i	h w ɨ sː a r i	naze1238			Japonic	40
124	13_big	big	Kyoto	Kyōto	oːkiː	oː.k.iː	oː k iː	kyot1238			Japonic	38
125	13_big	big	Hachijo	Hachijō	boːkʲa	b.oː.kʲ.a	b oː kʲ a	hach1238			Japonic	37
126	13_big	big	Shuri	Shuri	magisaɴ	m.a.g.i.s.a.ɴ	m a g i s a ɴ	shur1243			Japonic	41
127	13_big	big	Kochi	Kōchi	hutoi	h.u.t.oi	h u t o i	shik1243			Japonic	39
128	13_big	big	Sado	Sado	oːkiː	oː.k.iː	oː k iː	sado1237			Japonic	38
129	13_big	big	Oki	Oki	ɸuteː	ɸ.u.t.eː	ɸ u t eː	okin1246	27.3738	128.619	Japonic	39
130	13_big	big	Kagoshima	Kagoshima	hute	h.u.t.e	h u t e	kyus1238			Japonic	39
191	20_bird	bird	Miyako	Miyako	tui	t.ui	t ui	miya1259	24.7564	125.363	Japonic	60
192	20_bird	bird	Tokyo	Tōkyō	tori	t.o.r.i	t o r i	toky1238			Japonic	60
193	20_bird	bird	Amami	Amami	θuri	θ.u.r.i	θ u r i	naze1238			Japonic	60
194	20_bird	bird	Kyoto	Kyōto	tori	t.o.r.i	t o r i	kyot1238			Japonic	60
195	20_bird	bird	Hachijo	Hachijō	torime	t.o.r.i.m.e	t o r i m e	hach1238			Japonic	60
196	20_bird	bird	Shuri	Shuri	tui	t.ui	t ui	shur1243			Japonic	60
197	20_bird	bird	Kochi	Kōchi	tori	t.o.r.i	t o r i	shik1243			Japonic	60
198	20_bird	bird	Sado	Sado	tori	t.o.r.i	t o r i	sado1237			Japonic	60
199	20_bird	bird	Oki	Oki	tori	t.o.r.i	t o r i	okin1246	27.3738	128.619	Japonic	60
200	20_bird	bird	Kagoshima	Kagoshima	toiː	t.oiː	t o iː	kyus1238			Japonic	60
550	56_bite	bite	Miyako	Miyako	fuː	f.uː	f uː	miya1259	24.7564	125.363	Japonic	127
551	56_bite	bite	Tokyo	Tōkyō	kamiʦuku	k.a.m.i.ʦ.u.k.u	k a m i ts u k u	toky1238			Japonic	128
552	56_bite	bite	Amami	Amami	kuiʦɨkɨruri	k.ui.ʦ.ɨ.k.ɨ.r.u.r.i	k ui ts ɨ k ɨ r u r i	naze1238			Japonic	126
553	56_bite	bite	Kyoto	Kyōto	kamiʦuku	k.a.m.i.ʦ.u.k.u	k a m i ts u k u	kyot1238			Japonic	128
554	56_bite	bite	Hachijo	Hachijō	kuiʦuku	k.ui.ʦ.u.k.u	k ui ts u k u	hach1238			Japonic	126
555	56_bite	bite	Shuri	Shuri	kuːjuɴ	k.uː.j.u.ɴ	k uː j u ɴ	shur1243			Japonic	126
556	56_bite	bite	Kochi	Kōchi	kuituku	k.ui.t.u.k.u	k ui t u k u	shik1243			Japonic	126
557	56_bite	bite	Sado	Sado	kamiʦuku	k.a.m.i.ʦ.u.k.u	k a m i ts u k u	sado1237			Japonic	128
558	56_bite	bite	Oki	Oki	kamu	k.a.m.u	k a m u	okin1246	27.3738	128.619	Japonic	128
559	56_bite	bite	Kagoshima	Kagoshima	kaɴʦu	k.a.ɴ.ʦ.u	k a ɴ ts u	kyus1238			Japonic	128
900	91_black	black	Miyako	Miyako	fu	f.u	f u	miya1259	24.7564	125.363	Japonic	195
901	91_black	black	Tokyo	Tōkyō	kuroi	k.u.r.oi	k u r o i	toky1238			Japonic	195
902	91_black	black	Amami	Amami	kurusari	k.u.r.u.s.a.r.i	k u r u s a r i	naze1238			Japonic	195
903	91_black	black	Kyoto	Kyōto	kuroi	k.u.r.oi	k u r o i	kyot1238			Japonic	195
904	91_black	black	Hachijo	Hachijō	kurokʲa	k.u.r.o.kʲ.a	k u r o kʲ a	hach1238			Japonic	195
905	91_black	black	Shuri	Shuri	kurusaɴ	k.u.r.u.s.a.ɴ	k u r u s a ɴ	shur1243			Japonic	195
906	91_black	black	Kochi	Kōchi	kuroi	k.u.r.oi	k u r o i	shik1243			Japonic	195
