COGID	dutch	english	french	german
968	w eː r ə l t	w ɜː l d		v ɛ l t
1674	l ɑ n t	l æ n d		l a n t
1478	b oː d ə m			b oː d ə n
1472	m ɔ d ə r	m ʌ d		
1469	z ɑ n t	s æ n d	s ɑ b l	z a n t
1669	b ɛ r x			b ɛ r k
1671	h øː v ə l	h ɪ l		h yː ɡ ə l
829	k l ɪ f	k l ɪ f		k l ɪ p ə
1666	v l ɑ k t ə			f l ɛ x ə
1681	d ɑ l			t aː l
-1682	v ɑ l ɛɪ	v æ l ɪ		
1678	v ɑ s t ə + l ɑ n t			f ɛ s t + l a n t
1091	uː v ə r			uː f ə r
1025	w aː t ə r	w ɔː t ə r		v a s ə r
1027	z eː	s iː		z eː
1836	k ɑ l m	k ɑː m		
1832	r yː w	r ʌ f		r au
1828	s x œy m			ʃ au m
-1816	oː s eː j aː n	əʊ ʃ n̩		oː ts eː aː n
-1033	b aː j	b eɪ		
-335	l aː ɣ yː n ə	l ə ɡ uː n		l a ɡ uː n ə
-346		r iː f		r ɪ f
337	k aː p	k eɪ p		
1038			v a ɡ	v oː ɡ ə
1043	s t r oː m	s t r iː m		ʃ t r oː m
-1041	r iː v iː r	r ɪ v ə r		
1047	b r ɔ n			b r ʊ n ə n
1020		s w ɔ m p		z ʊ m pf
-1021	m uː r ɑ s			m oː r a s t
427	w ɑu t			v a l t
436	h ɑu t			h ɔ l ts
423	s t eː n	s t əʊ n		ʃ t ai n
-425	r ɔ ts	r ɔ k		
420	aː r d + b eː v ɪ ŋ			eː r t + b eː b ə n
2051	h eː m ə l			h ɪ m ə l
2047	z ɔ n	s ʌ n	s ɔ l ɛ j	z ɔ n ə
2049	m aː n	m uː n		m oː n t
2055	b l ɪ k s ə m			b l ɪ ts
2054	d ɔ n d ə r	θ ʌ n d ə r	t ɔ n ɛ ʀ	d ɔ n ə r
2062	s t ɔ r m	s t ɔː m		ʃ t ʊ r m
2065	r eː ɣ ə m + b oː x	r eɪ n + b əʊ		r eː ɡ ə n + b oː ɡ ə n
1375	l ɪ x t	l aɪ t	l y m j ɛ ʀ	l ɪ x t
1368	s x aː d yː w	ʃ æ d əʊ		ʃ a t ə n
1365	d ɑu w	d j uː		t au
758	l ʉ x t			l ʊ f t
760	w ɪ n t	w ɪ n d	v ɑ̃	v ɪ n t
762	w ɔ l k			v ɔ l k ə
754	r eː ɣ ə	r eɪ n		r eː ɡ ə n
756	s n eː w	s n əʊ	n ɛ ʒ	ʃ n eː
768	w eː r	w ɛ ð ə r		v ɛ t ə r
1211	v yː r	f aɪ ə r		f ɔy ə r
1212	r oː k			r au x
1222	aː n + s t eː k ə			a n + ʃ t ɛ k ə n
6009	v r ɑu w ə + l ə k			ts ʏ n t + h ɔ l ts
1208	b r ɑ n t + h ɑu t			b r ɛ n + h ɔ l ts
106	m ɑ n	m æ n		m a n
100	v r ɑu w			f r au
104	m ɑ n ə + l ə k			m ɛ n + l ɪ x
116	j ɔ ŋ ə			j ʊ ŋ ə
108	m ɛɪ s j ə			m ɛː t x ə n
111	k ɪ n t			k ɪ n t
-98	b eː b iː	b eɪ b ɪ		b eː b iː
727	m ɑ n			m a n
736	v r ɑu w			f r au
721			p ɛ ʀ	eː ə
892	s x ɛɪ d ɪ ŋ			eː ə + ʃ ai d ʊ ŋ
719	v aː d ə r	f ɑː ð ə r		f aː t ə r
726	m uː d ə r	m ʌ ð ə r	m ɛ ʀ	m ʊ t ə r
1341	z oː n	s ʌ n		z oː n
1343	k ɪ n t			k ɪ n t
1351	x r oː t + f aː d ə r	ɡ r æ n d + f ɑː ð ə r	ɡ ʀ ɑ̃ + p ɛ ʀ	ɡ r oː s + f aː t ə r
874	m ɑ n	əʊ l d + m æ n		
1353	x r oː t + m uː d ə r	ɡ r æ n + m ʌ ð ə r	ɡ ʀ ɑ̃ + m ɛ ʀ	ɡ r oː s + m ʊ t ə r
1355	k l ɛɪ n + z oː n	ɡ r æ n + s ʌ n		
1358	k l ɛɪ n + d ɔ x t ə r	ɡ r æ n + d ɔː t ə r		
-2030		ʌ ŋ k l̩		ɔ ŋ k ə l
-2027	t ɑ n t ə	ɑː n t		t a n t ə
-2026	n eː f	n ɛ v j uː		n ɛ f ə
2038	n ɪ x t			n ɪ x t ə
-2035		k ʌ z n̩		k uː z iː n ə
412	s x oː n + v aː d ə r	f ɑː ð ə r + ɪ n + l ɔː	b o + p ɛ ʀ	ʃ v iː ɡ ə r + f aː t ə r
406	s x oː n + m uː d ə r	m ʌ ð ə r + ɪ n + l ɔː	b ɛ l + m ɛ ʀ	ʃ v iː ɡ ə r + m ʊ t ə r
409	s x oː n + z oː n	s ʌ n + ɪ n + l ɔː		ʃ v iː ɡ ə r + z oː n
402	s x oː n + d ɔ x t ə r	d ɔː t ə r + ɪ n + l ɔː		ʃ v iː ɡ ə r + t ɔ x t ə r
1005	s t iː + f aː d ə r	s t ɛ p + f ɑː ð ə r	b o + p ɛ ʀ	ʃ t iː f + f aː t ə r
1012	s t iː f + m uː d ə r	s t ɛ p + m ʌ ð ə r	b ɛ l + m ɛ ʀ	ʃ t iː f + m ʊ t ə r
1014	s t iː v + d ɔ x t ə r	s t ɛ p + d ɔː t ə r		ʃ t iː f + t ɔ x t ə r
1016	w eː d yː w n + aː r	w ɪ d əʊ ə r	v œ f	v ɪ t v ə r
-445		f æ m ə l ɪ		f a m iː l iː ə
1069	ɪ k	aɪ	ʒ ə	ɪ x
1065			t y	d uː
1066	j ɛɪ	j uː		
1059	w ɛɪ	w iː		v iː r
6011	j ʉ l iː		e t a b l	
1052	z ɛɪ			z iː
122	d iː r			t iː r
127	v eː			v iː
120	s t ɑ l	s t ɔː l		ʃ t a l
1848	r ʉ n t			r ɪ n t + f iː
2183	s t iː r		t ɔ ʀ o	ʃ t iː r
2194	ɔ s	ɔ k s		ɔ k s ə
2192	k uː	k aʊ		
2199	k ɑ l f	k ɑː f		k a l p
2197	s x aː p	ʃ iː p		ʃ aː f
2202	r ɑ m	r æ m		
1523	z øː x	s əʊ		z au
1521	b ɔ k		b u k	b ɔ k
517	p aː r t			pf eː r t
514	h ɛ ŋ s t			h ɛ ŋ s t
512	m ɛ r iː	m ɑː r eɪ		m ɛː r ə
