COGID	dutch	english	french	german
1469-1	ts Ø l			
2047-1	ts Ø l			
2054-1	Ø n ʏ Ø Ø			
1375-1	l Ø n Ø			
760-1	f Ø n ʏ			
756-1	n Ø Ø			
726-1	m Ø m ə Ø			
1351-1	x Ø Ø n ʏ + Ø Ø m ə Ø			
1353-1	x Ø Ø n + m Ø m ə Ø			
412-1	n n n n Ø Ø m ə Ø ʏ n l ʏ			
406-1	n n n l m Ø m ə Ø ʏ n l ʏ			
1005-1	ts ʏ + Ø Ø m ə Ø			
1012-1	ɛ l + m Ø m ə Ø			
1016-1	f Ø f ʏ n ə r			
1069-1	Ø n			
509-1	Ø Ø l Ø n			
693-1	m x Ø l n n n n			
2179-1	n Ø ts			
1753-1	Ø Ø Ø Ø			
1131-1	ʏ ʏ l ʏ			
1198-1	b Ø ə Ø			
2032-1	n Ø Ø n			
2241-1	n Ø z n			
2244-1	l Ø f n			
610-1	Ø n Ø			
945-1	n Ø Ø n			
1534-1	l Ø x n			
384-1	ts Ø x n			
1650-1	n Ø ts			
1663-1	ts Ø l ts			
2279-1	l ɪ n ʏ n			
471-1	ts Ø n			
1385-1	ts iː Ø			
792-1	Ø Ø x			
1111-1	m Ø ts			
197-1	ts Ø t n n			
2020-1	l ɔ ŋ			
867-1	Ø Ø n ʏ n r ə ʏ			
1970-1	Ø ʏ l Ø			
1230-1	Ø Ø			
2017-1	n x Ø			
968-1	v Ø l t			
1674-1	l Ø n t			
1671-1	h ɪ Ø Ø l			
829-1	k l ɪ f Ø			
1025-1	v Ø ts ə r			
1027-1	ts iː			
1832-1	r Ø f			
-1816-1	Ø Ø Ø Ø Ø			
-335-1	l ə Ø yː n Ø			
1043-1	ts ts r iː m			
423-1	ts ts Ø n			
2049-1	m yː n Ø			
2062-1	ts ts Ø Ø m			
2065-1	r Ø Ø Ø n + b Ø Ø Ø Ø			
1368-1	Ø Ø t Ø Ø			
1365-1	t Ø yː			
754-1	r Ø Ø Ø n			
768-1	v a Ø ə r			
1211-1	f Ø ə r			
106-1	m Ø n			
-98-1	b Ø b ɪ			
719-1	f Ø Ø ə r			
1341-1	ts Ø n			
-2027-1	Ø Ø n ts Ø			
-2026-1	n a b Ø yː			
409-1	ts Ø Ø Ø Ø n + Ø ɪ n + Ø Ø			
402-1	Ø Ø Ø Ø Ø Ø Ø t Ø Ø ts ə r + ɪ n + Ø Ø			
1014-1	ts ts a pf + t Ø Ø ts ə r			
1059-1	v iː Ø			
120-1	ts ts Ø l			
2183-1	m ts oː Ø Ø			
2194-1	ɔ k ts Ø			
2199-1	k Ø Ø f			
2197-1	Ø iː pf			
1523-1	ts Ø			
1521-1	Ø ts			
512-1	m Ø r Ø			
2141-1	h a n			
2147-1	Ø yː Ø ts			
814-1	k r Ø Ø			
810-1	t Ø b Ø			
1755-1	Ø Ø Ø m m			
1758-1	m Ø z			
1760-1	Ø Ø ts			
1620-1	f ɪ n Ø			
1282-1	v Ø l			
1136-1	f ɔ k ts			
1309-1	l Ø ts			
1307-1	n ɪ ts Ø			
1305-1	f l iː			
711-1	v ɔ ts pf Ø			
1442-1	f l Ø Ø Ø			
62-1	m ɪ Ø Ø			
-73-1	m ə ts k iː ts Ø			
1810-1	h Ø t			
1805-1	f l a Ø			
1813-1	h a ə r			
1811-1	b l Ø t			
690-1	r ɪ b Ø			
2177-1	h a Ø t			
246-1	Ø Ø Ø Ø + b r Ø Ø			
