COGID	dutch	english	french	german
1469-1	j ʉ l			
2047-1	j ʉ l			
2054-1	d eː n ə r			
1375-1	l ɪ x t			
760-1	j ʉ l			
756-1	j ʉ l			
726-1	m ʉ m ə r			
1351-1	j ʉ l			
1353-1	j ʉ l			
412-1	h aː r + b aː d ə r			
406-1	j ʉ l			
1005-1	s t ɛ r			
1012-1	j ʉ l			
1016-1	j ʉ l			
1069-1	j ʉ l			
509-1	v ə			
693-1	j ʉ l			
2179-1	j ʉ l			
1753-1	j ʉ l			
1131-1	w ɑu w			
1198-1	b r ɑ t			
2032-1	j ʉ l			
2241-1	j ʉ l			
2244-1	j ʉ l			
610-1	j ʉ l			
945-1	h ɛ r s t			
1534-1	l ɛ k ə			
384-1	j ʉ l			
1650-1	j ʉ l l			
1663-1	j ʉ l			
2279-1	l ɛɪ n			
471-1	j ʉ l			
1385-1	j ʉ l			
792-1	j ʉ l			
1111-1	j ʉ l			
197-1	j ʉ l			
2020-1	w ɑ ŋ			
867-1	j ʉ l			
1970-1	v l ɑ			
1230-1	d r aː s			
2017-1	j ʉ l			
968-1	w ɛ l t			
1674-1	l ɑ k			
1671-1	h ɔ m ə l			
829-1	s l aː n			
1025-1	w ɑ ŋ ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	v ə r + b aː n			
-335-1	w ɑ k			
1043-1	s t ɔ r s			
423-1	s t eː n			
2049-1	m eː n			
2062-1	s t oː r			
2065-1	ɛ r m + b ɪ x			
1368-1	s t ɑ k ə			
1365-1	t ɑu w			
754-1	r aː ɣ ə			
768-1	w ɛ r t ə r			
1211-1	v ə r			
106-1	m ɑ n			
-98-1	b oː m			
719-1	v ə r			
1341-1	v ə			
-2027-1	d ɑ n			
-2026-1	m ɑ k			
409-1	h aː r + b ɛɪ n ə			
402-1	s x eː t ə r			
1014-1	s t eː n ə r			
1059-1	w eː r			
120-1	s t ɑ l			
2183-1	s t eː r			
2194-1	v ɪ ŋ k			
2199-1	k l ɑ k			
2197-1	s aː ɑu w			
1523-1	v ɛɪ			
1521-1	b oː m			
512-1	m eː ə			
2141-1	h ɔ m ə			
2147-1	x ɑ n			
814-1	k r ɔ k			
810-1	s t ɑu w			
1755-1	j ʉ l			
1758-1	m oː m			
1760-1	j ʉ l l			
1620-1	v ə			
1282-1	w aː l			
1136-1	v ɑ k			
1309-1	w ɑu w			
1307-1	m ɪ x			
1305-1	v l ɛɪ v			
711-1	w ɛ x			
1442-1	v l ɛɪ m			
62-1	m ʉ ŋ k			
-73-1	m ɔ s t			
1810-1	h ɔ f			
1805-1	v l ɪ k			
1813-1	h aː r			
1811-1	b l ɪ s t			
690-1	r ɛɪ m			
2177-1	h ɔ t			
246-1	h ɛ r m + b oː m			
249-1	d ɑ l t			
1506-1	n ɑ p ə			
2242-1	m ɪ x t			
2245-1	s x ʉ ŋ ə			
1196-1	m ɑ k ə			
2174-1	s x ʉ l t ə r			
575-1	j ʉ l			
603-1	b ə + b ɪ x			
601-1	h ɑ s t			
615-1	v ə r			
901-1	s l ɪ k			
608-1	v eː			
596-1	p ɔ t			
937-1	b r ɔ s t			
936-1	m aː l			
646-1	w ɔ ŋ ə			
947-1	ɑu ɑu w ə r			
1606-1	h ɔ f			
472-1	m eː n ə			
1535-1	w ɔ t			
1546-1	s p ɪ ŋ k ə			
1959-1	s l aː v ə			
694-1	s t r aː k ə			
1961-1	d r ɛɪ ɣ ə			
323-1	b l ɛɪ v ə			
1885-1	x r aː l			
2156-1	h ɑ ŋ s t ə			
1903-1	w ɛ k			
525-1	h ɛ ŋ ŋ ə			
276-1	l ɛɪ m			
274-1	d ɔ t			
278-1	b l ɪ n t			
258-1	h ɪ ŋ k ə			
256-1	m ɑ n			
383-1	t ɔ t			
207-1	r ɛɪ			
376-1	v r ɪ ŋ k ə			
2009-1	d eː l ə			
2003-1	k ɑ k			
2024-1	p ɑ n			
1321-1	j ʉ l			
1976-1	d ɑ ŋ ə			
1243-1	m ɑ n t			
1265-1	j ʉ l l			
1261-1	v ə			
655-1	b r eː t			
650-1	d eː l			
1532-1	k ɪ n d ə			
-36-1	v ə r + b ɑ n			
34-1	b oː m			
-1647-1	v eː			
-1615-1	w oː l			
125-1	v ə r + b ɑ l t			
1659-1	h ɔ n			
1661-1	m ɑ l ɪ k			
1676-1	b oː d ə r			
480-1	x ə r + b ɪ ŋ k			
1466-1	s l aː r + b ɑ n d ə			
2277-1	w ɑu w			
2271-1	v ɑ t			
2293-1	ɑu ɑu w ə r			
624-1	s p ɑ n ə			
628-1	s p ɑ n ə l + b ɪ n d ə l			
626-1	w eː m ə			
633-1	m aː r + b aː d ə l			
1185-1	s x ɪ x t ə r			
1179-1	h ɔ t			
2168-1	k ɑ m			
1952-1	d iː r			
899-1	l ɛɪ d ə r			
922-1	b oː x t			
-934-1	l ɑ k			
916-1	p ɔ t			
1726-1	v ɑ t			
2108-1	h ɔ l k			
1133-1	v r ɑ k			
2114-1	s p aː d ə			
1272-1	r ɔ m ə			
1979-1	x r aː v ə			
1989-1	h ɔ ŋ			
-2260-1	p l ɑ s			
70-1	b oː x			
-89-1	l ɛɪ n			
-12-1	p ɛɪ t			
713-1	v ɑ t			
747-1	p ɔ t			
308-1	d oː r			
289-1	b oː r + b oː n			
1930-1	b r aː k ə			
1928-1	s ɑ l ɪ ŋ ə			
858-1	s t ɛ r k ə			
1577-1	h ɛ ŋ ə			
908-1	w ɑ ŋ			
648-1	b eː r			
1855-1	h ɔ l ə			
657-1	h ɑ m ə r			
2058-1	m aː x			
949-1	s x ɪ ŋ			
1642-1	h ɔ t			
1640-1	z ɑ l t ə r			
1633-1	l ɛɪ n			
1630-1	s x œy ɣ ə			
993-1	b l aː r			
-2121-1	r ɛɪ m ə			
1692-1	v ɑ ŋ ə			
1694-1	d r aː ɣ ə			
1062-1	v ə + b ɪ ŋ k ə			
476-1	h ɑu w ə			
1051-1	v l ɛɪ ɣ ə			
1075-1	b l aː v ə			
135-1	b l ɛɪ d ə			
-134-1	v ɑ k ə			
1839-1	h ɛ x			
1097-1	s x iː r + b ɪ n			
1777-1	v l øː ɣ ə			
1434-1	b r ɪ ŋ ə			
1417-1	l ɛɪ s t ə			
1424-1	r ɛɪ m ə			
778-1	p aː x			
790-1	b r aː x			
1223-1	ɑ n eː d ə l			
1117-1	w eː m ə l			
1411-1	h aː v ə			
1407-1	h ɑ k ə			
1390-1	d eː ŋ			
2086-1	h oː m ə			
2082-1	s x iː r + b eː v ɪ ŋ			
576-1	r ɔ k			
579-1	v ə + b ɪ n d ə			
581-1	v ə r + b ɑ n ə			
-1791-1	r ɛɪ m			
-225-1	aː r t			
-2284-1	p ɔ p			
1479-1	d eː n ə			
847-1	h ɔ f			
659-1	b oː d ə			
860-1	m eː m ə			
213-1	r eː k t			
1286-1	v ə r + b eː l ə			
1293-1	w ɛ x t ə			
474-1	d ɔ k			
467-1	d oː r			
1177-1	d eː l			
588-1	v l ɑ s			
584-1	h aː k ə			
-1153-1	r ɔ n t			
700-1	h ɑu w			
875-1	d oː d ə			
1559-1	ɑ l			
1565-1	m aː r			
1968-1	h ɛ l t ə			
-350-1	p aː r			
1478-1	b oː d ə			
1469-2		m æ n ɪ n		
2047-2		s ɔ k		
2054-2		s ɔ k		
1375-2		r ɔ p		
760-2		m ɛ ɛ n t		
756-2		s ɔ k		
726-2		m æ n ə r		
1351-2		m æ n ə r		
1353-2		s ɔ k		
412-2		m æ n ə r		
406-2		s ɔ k		
1005-2		s ɔ k		
1012-2		s ɔ k		
1016-2		s ɔ k		
1069-2		r ɔ k		
509-2		ɡ r æ n		
693-2		ɡ r æ n		
2179-2		m ɛ n t		
1753-2		r ɔ k		
1131-2		w iː l		
1198-2		r ɔː k		
2032-2		m æ n ə r		
2241-2		m əʊ s t		
2244-2		k eɪ p		
610-2		r ɔ k		
945-2		r iː l		
1534-2		r ɔ k		
384-2		m əʊ m		
1650-2		m ɔ p		
1663-2		m æ p		
2279-2		r r aɪ		
471-2		ɡ əʊ		
1385-2		m æ p		
792-2		r ɔː k		
1111-2		m ɛ d s t		
197-2		m æ n ɪ n		
2020-2		l iː l		
867-2		m æ n ɪ n		
1970-2		r ɔː l		
1230-2		m æ n ə r		
2017-2		r ɔ k		
968-2		s ɔ k		
1674-2		m æ n		
1671-2		ɡ r æ n		
829-2		k ɔː l		
1025-2		s ɔ k		
1027-2		s ɔ k		
1832-2		r ɔ k		
-1816-2		m æ n		
-335-2		ɡ r æ n		
1043-2		s ɔ k		
423-2		s ɔ t		
2049-2		m æ n		
2062-2		s ɔ k		
2065-2		m æ n		
1368-2		m æ n ɪ n		
1365-2		d ɪ n ə r		
754-2		r ɔ k		
768-2		s ɔ k		
1211-2		r iː l		
106-2		m æ n ə r		
-98-2		s ɔ k		
719-2		m æ n		
1341-2		m æ n		
-2027-2		p ɔ p		
-2026-2		m æ n		
409-2		m ɛ n t		
402-2		w ɔ k		
1014-2		s ɔ k		
1059-2		w iː l		
120-2		s ɔ k		
2194-2		r ɔ k		
2199-2		k ɔː l		
2197-2		s ɔ p		
1523-2		m æ n		
512-2		m æ n		
2141-2		m ɛ n t		
2147-2		m æ n ɪ n		
814-2		k ɔː l		
810-2		r ɔ k		
1758-2		m əʊ s t		
1760-2		r ɔ k		
1620-2		m æ n		
1282-2		ɡ r æ n		
1136-2		r ɔ k		
1309-2		r ɔ k		
1307-2		m ɔ p		
1305-2		l iː l		
711-2		s ɛ n t		
1442-2		m æ n		
62-2		m æ n		
-73-2		m ɛ n t		
1810-2		r ɔ p		
1805-2		m æ n		
1813-2		r ɔː k		
1811-2		r ɔ p		
690-2		r ɔ p		
2177-2		r ɔ p		
246-2		m æ n ə r		
249-2		m æ n		
1506-2		m æ n ə r		
2242-2		m ɛ n t		
2245-2		p ɔ k		
2174-2		s ɛ n ɪ n		
