COGID	dutch	english	french	german
1469-1	v l ɑ k			
2047-1	s x ʉ n			
2054-1	d eː r			
1375-1	l ɪ k			
760-1	w ɪ n t			
756-1	s n aː n			
726-1	v eː			
1351-1	v l aː ts			
1353-1	v l aː ts			
412-1	v l iː			
406-1	v l iː			
1005-1	s t eː r			
1012-1	v l iː			
1016-1	v eː			
1069-1	h oː x			
509-1	v l ɑ k			
693-1	m eː l ə			
2179-1	n eː n			
1753-1	v ɪ ŋ			
1131-1	w ɔ t			
1198-1	v l iː			
2032-1	h oː m			
2241-1	n ɑu w			
2244-1	v l iː			
610-1	n eː n			
945-1	h ɛ b ə			
1534-1	l ɛ x ə			
384-1	z uː k ə			
1650-1	n ɔ t			
1663-1	v l iː			
2279-1	l ɛɪ n			
471-1	v l iː			
1385-1	s t œy			
792-1	j ɔ k			
1111-1	v l ɑ k			
197-1	z uː n			
2020-1	l ɑ k			
867-1	h ɑu w ə			
1970-1	v ɔ l			
1230-1	j ʉ l iː			
2017-1	n eː n			
968-1	w ɛ t			
1674-1	l ɛɪ n + b eː n			
1671-1	h iː l			
829-1	k l ɛɪ			
1025-1	w ɛ r			
1027-1	z ɛɪ			
1832-1	r ɔ			
-1816-1	oː p ə			
-335-1	l ɛɪ n			
1043-1	s t r ɔ m			
423-1	s t eː n			
2049-1	m eː n			
2062-1	s t uː r			
2065-1	r ɔ n t			
1368-1	s t eː d ə			
1365-1	t ɑu w			
754-1	r aː x			
768-1	w ɛ s t ə r			
1211-1	v eː r			
106-1	m ɑ n			
-98-1	b aː j			
719-1	v ɛ r			
1341-1	z oː n			
-2027-1	d ɑ n s			
-2026-1	n eː n ə			
409-1	s x eː d ə			
402-1	d ɔ l f ɛɪ n			
1014-1	s t eː r			
1059-1	v eː r			
120-1	s t uː l			
2183-1	s t r eː			
2194-1	d ɔ k ə			
2199-1	k ɑ l			
2197-1	d iː p			
1523-1	s p aː n			
1521-1	v l iː			
512-1	m eː r			
2141-1	h eː n			
2147-1	x eː v ə			
814-1	k r aː			
810-1	d oː r			
1755-1	v l eː			
1758-1	m eː d ə			
1760-1	v l ɑ k			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ r k			
1309-1	l ɛɪ s			
1307-1	n eː n			
1305-1	v l eː			
711-1	w ɛ s t ə			
1442-1	v l iː ɣ ə			
62-1	m ʉ ts			
-73-1	m eː d ə			
1810-1	h ɑu t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l aː z ə			
690-1	r eː k			
2177-1	h ɑu d ə			
246-1	p aː r			
249-1	x l ɛɪ d ə			
1506-1	s n ɔ t			
2242-1	m ɔ d ə			
2245-1	t ɔ ŋ ə			
1196-1	v ə r			
2174-1	s x ʉ l t			
575-1	v l iː			
603-1	x l aː ɣ ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ			
901-1	k l ɛɪ			
608-1	v ɔ r d ə			
596-1	t ɔ p			
937-1	b ɔ r s t			
936-1	n aː l			
646-1	l ɛ k ə l			
947-1	l aː r			
1606-1	h aː d ə			
472-1	n eː ɣ ə			
1535-1	z w ɛ s t ə			
1546-1	s t ɛ s t			
1959-1	x l ɛɪ			
694-1	s n eː v ə			
1961-1	d r ʉ x			
323-1	l aː x			
1885-1	x r aː			
2156-1	k ɑu ɛɪ n ə			
1903-1	w ɔ n d ə			
525-1	z w ɛ s t ə			
276-1	l ɛɪ m			
274-1	t ɑu w			
278-1	b l ɪ m			
258-1	d r ʉ p ə l ə			
256-1	n ɑ x t			
383-1	w ɛ s t ə			
207-1	r ɛɪ p			
376-1	d r ʉ p ə l ə			
2009-1	b ɑu w ə			
2003-1	k aː l			
2024-1	p ɑ n			
1321-1	k oː p ə			
1976-1	t ɑ ŋ			
1243-1	m aː t			
1265-1	p iː l			
1261-1	z uː k ə			
655-1	b ɔ r s t			
650-1	d eː k			
1532-1	n ɔ t			
-36-1	z ɛɪ n			
34-1	b oː m			
-1647-1	v ɪ l			
-1615-1	d iː l			
125-1	v ɛ t			
1659-1	h aː k			
1661-1	m eː l			
1676-1	b eː d ə r			
480-1	d r ʉ + d iː n ə			
1466-1	k l ɛɪ n			
2277-1	w aː l			
2271-1	v eː l			
2293-1	l ʉ x			
624-1	s p eː d ə			
628-1	s t ɛ d ə l			
