COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n			
2054-1	d oː n ə r			
1375-1	l ɛɪ t			
760-1	w ɪ n d ə			
756-1	s n ə			
726-1	m uː d ə r			
1351-1	x r oː s + p aː d ə r			
1353-1	ɣ r oː s + m uː d ə r			
412-1	z w iː ɣ ə r + v aː d ə r			
406-1	z w iː ɣ ə r + m uː d ə r			
1005-1	s t eː v + p aː d ə r			
1012-1	s t eː v + m uː d ə r			
1016-1	w ɪ t w ə r			
1069-1	oː x			
509-1	v ɔ l ə			
693-1	m j ɛɪ l			
2179-1	n ɛ s t ə			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h oː n			
2241-1	n aː z ə			
2244-1	l ɛɪ p			
610-1	n aː			
945-1	h ɛ t			
1534-1	l eː k ə			
384-1	s ɔ k			
1650-1	n oː t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	s ə			
1385-1	s ɛɪ d ə			
792-1	j ɔ x			
1111-1	m ɑ s t ə			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d r ɪ d ə			
2017-1	n j ɛɪ			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h uː ɣ ə l			
829-1	k l ɪ p ə			
1025-1	w ɑ s ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	oː t eː aː n			
-335-1	l ɑ x uː n ə			
1043-1	s t r ɔ m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɑ m			
2065-1	r ɛɪ ɣ ə + b oː ɣ ə			
1368-1	s ɑ d ə			
1365-1	t ɑu w			
754-1	r aː n			
768-1	w ɛ d ə r			
1211-1	v ɪ ə r			
106-1	m ɑ n			
-98-1	b eː v iː			
719-1	p aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t ə			
-2026-1	n eː v ə			
409-1	z w eː ɣ ə r + z ɔ n			
402-1	z w eː ɣ ə r + t ɔ x t ə r			
1014-1	s t ɛ p + d ɔ t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t eː r			
2194-1	ɔ k s ə			
2199-1	k ɑ l p			
2197-1	s ɑ p			
1523-1	s ə			
1521-1	b oː k			
512-1	m aː r ə			
2141-1	h ɛ n			
2147-1	x ɑ n t			
814-1	k r ə			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m œy t			
1760-1	r ɛ t			
1620-1	v ɪ n ə			
1282-1	w aː l			
1136-1	v ɪ k s			
1309-1	l œy t			
1307-1	n eː t ə			
1305-1	v l iː			
711-1	w ɑ s p			
1442-1	v l iː ɣ ə			
62-1	m ʉ k ə			
-73-1	m ə s k iː t ə			
1810-1	h ɛɪ d ə			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ʉ p ə			
2177-1	h ɛ d ə			
246-1	œy ɣ ə + v r ɑu w ə			
249-1	ɛɪ + l ɛɪ d ə			
1506-1	n ɔ s t ə r ə l			
2242-1	m ɔ n t			
2245-1	t ɪ ŋ ə			
1196-1	n ɑ k ə			
2174-1	s x ʉ l t ə r			
575-1	ɑ k s ə l t + h ɔ l ə			
603-1	ɛ l ə + b oː ɣ ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ ə r			
901-1	k l uː			
608-1	v ɔ t			
596-1	t ə			
937-1	b ɔ r s t			
936-1	n aː v ə l			
646-1	l ɪ ŋ ə			
947-1	l eː v ə r			
1606-1	h iː p			
472-1	n iː z ə			
1535-1	z w ɛ t			
1546-1	s p ɪ t			
1959-1	s l aː v ə			
694-1	s n ɔ r			
1961-1	d r œy m ə			
323-1	l eː v ə			
1885-1	x r ɛ r v ə			
2156-1	k ɑ l d ə			
1903-1	w ɔ n d ə			
525-1	z w ɛ l ɪ ŋ			
276-1	l ɑ m			
274-1	t ɑu w p			
278-1	b l ɪ n t			
258-1	b ə + t ə r ɪ ŋ k ə			
256-1	n aː k ɪ d ə			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː p ə			
2003-1	k eː t ə l			
2024-1	p ɑ n			
1321-1	k oː p ə			
1976-1	v ɑ ŋ ə			
1243-1	m aː l t ɛɪ t			
1265-1	p iː l			
1261-1	z eː v ə			
655-1	b r ɛɪ d ə			
650-1	d ə			
1532-1	k n eː t ə			
-36-1	z ɔ p ə			
34-1	b oː n ə			
-1647-1	v eː ɣ ə			
1469-2		s ɑː n t		
2047-2		s ɔ n		
2054-2		d ɔ n d ə r		
1375-2		l ɪ t		
760-2		f aɪ m		
756-2		s n ɛ		
726-2		m ʌ t ə r		
1351-2		ɡ r ʌ + f eɪ d ə r		
1353-2		ɡ r ɔ t + m æ d ə r		
412-2		s ɡ ʌ n + f eɪ d ə r		
406-2		s ɡ ʌ n + m æ d ə r		
1005-2		s t ɪ + f eɪ d ə r		
1012-2		s t ɪ v + m æ d ə r		
1016-2		w ɪ t w ə r		
1069-2		ɪ k		
509-2		f ɔː l		
693-2		m iː l d ə r		
2179-2		n ɛ s t		
1753-2		f aɪ s		
1131-2		w ɔ l f		
1198-2		b eɪ r t		
2032-2		h ʌ r n		
2241-2		n iː s		
2244-2		l ɪ p		
610-2		k n ɪ		
945-2		h æ r t		
1534-2		l eɪ k ə n		
384-2		s iː ɡ ə n		
1650-2		n ɔ t		
1663-2		s əʊ l d		
2279-2		l ɪ n		
471-2		s eɪ k		
1385-2		s eɪ t		
792-2		j ɪ k		
1111-2		m ɑː s t		
197-2		s aʊ d		
2020-2		l æ ŋ		
867-2		aɪ m eɪ		
1970-2		f ɔ l		
1230-2		d r ɪ d l̩		
2017-2		n eɪ		
968-2		w ɛ l d		
1674-2		l ɑː n t		
1671-2		h aʊ l		
829-2		k l ɪ v		
1025-2		w ɛ t ə r		
1027-2		s ə r		
1832-2		r iː		
-1816-2		ɔ t ɛ ɑː n		
-335-2		l æ ɡ iː n		
1043-2		s t r ɔ m		
423-2		s t ɪ n		
2049-2		m eɪ n		
2062-2		s t ɔ r m		
2065-2		r ɪ əʊ m + b aɪ		
1368-2		s æ d ə n		
1365-2		d iː		
754-2		r eɪ ə n		
768-2		w ɛ ð ə r		
1211-2		f eɪ ə r		
106-2		m æ n		
-98-2		b ɛ b iː		
719-2		f æ d ə r		
1341-2		s ʌ n		
-2027-2		d ɑː n t		
-2026-2		n ɛ p		
409-2		s ɡ ʌ n + s ʌ n		
402-2		s ɡ ʌ n + d ɔː ɡ t ə r		
1014-2		s t ɪ v + d ɔː ɡ t ə r		
1059-2		w aɪ		
120-2		s t ɔː l		
2194-2		ɔ s		
2199-2		k əʊ l p		
2197-2		s ɑː f		
1523-2		s iː		
512-2		m ɛ r ɪ		
2141-2		h æ n		
2147-2		ɡ ɑː n s		
814-2		k r eɪ		
810-2		θ aʊ v		
1758-2		m ɡ əʊ		
1760-2		r æ t		
1620-2		f ɪ n		
1282-2		w ʊ l		
1136-2		f ɔ s		
1309-2		l iː s		
1307-2		n ɛ t		
1305-2		f l aɪ		
711-2		w ɛ s p		
1442-2		f l aɪ		
62-2		m ɪ dʒ		
-73-2		m ɪ s k ɪ t		
1810-2		h iː d		
1805-2		f l aɪ s		
1813-2		h ɛ ə r		
1811-2		b l æ t		
690-2		r ɪ p		
2177-2		h ʌ f t		
246-2		ɡ əʊ + b r iː ə		
249-2		ɡ əʊ + l ɪ t		
1506-2		n iː tʃ + f l ɔː l		
2242-2		m aʊ n d		
2245-2		t ɔ ŋ		
2174-2		s ɡ əʊ l d ə r		
603-2		ɛ l + b aɪ		
601-2		h ɑː n t		
615-2		f ɪ ŋ ə r		
901-2		k l æ r əʊ		
608-2		f æ t		
596-2		t ɪ n		
937-2		b ɔː r s t		
936-2		n eɪ v l		
646-2		l ɔ ŋ		
947-2		l iː v ə r		
1606-2		h iː p		
472-2		n iː z		
1535-2		s w ɪ t		
1546-2		s p ʌ k ə n		
1959-2		s l eɪ p		
694-2		s n ɪ r k		
1961-2		d r ʌ m		
323-2		l iː v		
1885-2		ɡ r ɑː f		
2156-2		f ə r + k əʊ l d + h aɪ t		
1903-2		w ɔ n t		
525-2		s w ɪ l ɪ ŋ		
276-2		l æ m		
274-2		d iː p		
278-2		b l aɪ n d		
258-2		d r ɔ ŋ k		
256-2		n eɪ k t		
383-2		ɛ t l̩		
207-2		r aɪ p		
376-2		d r ɪ ŋ k		
2014-2		r uː t aɪ		
2009-2		ʌ v		
2003-2		k ɛ t l̩		
2024-2		p ɑː n		
1321-2		k ɔ p		
1976-2		t æ ŋ		
1243-2		m ɑː l t aɪ d		
1265-2		p ɛ l		
1261-2		s ɪ v		
655-2		b r ɔ t		
650-2		d aɪ k		
1532-2		k n ɛ d		
-36-2		s æ p		
34-2		b ʌ n		
-1647-2		f ɪ dʒ		
1469-3			ʃ t z	
2047-3			ʀ ɛ ʌ n	
2054-3			d ɔ t ə r	
1375-3			l i ʀ t	
760-3			v ɪ t	
756-3			ʀ ɛ n əʊ	
726-3			m ʌ ð ə ʀ	
1351-3			x oː r t + f aː d ə r	
1353-3			x oː r t + m uː d ə r	
412-3			f ɑː ð ə ʀ + ə n + l ɔː	
406-3			s oː x n + m uː d ə r	
1005-3			ʀ ɛ t ɛ p + f ɑː ð ə ʀ	
1012-3			ʀ ɛ t ɛ p + m ʌ ð ə ʀ	
1016-3			w ə d əʊ ə ʀ	
1069-3			i ʀ	
509-3			f əʊ l	
693-3			m j ɔ l	
2179-3			n ɛ ʀ ɛ t	
1753-3			f ə ʃ	
1131-3			w ʊ l f	
1198-3			b ə ə d	
2032-3			h ɔː n	
2241-3			t aː ə z	
2244-3			l ə p	
610-3			iː n	
945-3			h ɑː t	
1534-3			l ə k	
384-3			ʀ ɛ ʌ k	
1650-3			n ʌ t	
1663-3			ʀ ɛ ɔː l t	
2279-3			l ə n ə n	
471-3			əʊ ʀ ɛ	
1385-3			ʀ ɛ iː d	
792-3			e t k	
1111-3			ʃ s ɑ̃ t	
197-3			ʀ ɛ aʊ θ	
2020-3			l a ŋ	
867-3			h ʌ n d ʀ ə d	
1970-3			f ʊ l	
1230-3			θ ɜː d	
2017-3			ɔy t	
2183-3			s t b r	
1521-3			b ɔ k	
1755-3			h ʊ t	
1760-3			ʀ æ t	
1196-3			t ʃ k ə t	
575-3			ɔ k s ə l	
2014-3			ʀ ɔː ʀ ɛ t	
1321-3			k ʌ p	
1265-3			p iː l	
1469-4				z a n t
2047-4				z ʊ n ə n
2054-4				d ʊ n t ə r
1375-4				l ai t ə n
760-4				v ɪ n t
756-4				ʃ n ɡ ə n
726-4				m yː d ə r
1351-4				ɡ r oː t + f aː d ə r
1353-4				k r au s + m ʊ t ə r
412-4				ʃ oː n + f aː d ə r
406-4				ʃ oː n + m ʊ t ə r
1005-4				ʃ t iː + f aː d ə r
1012-4				ʃ t iː f + m ʊ t ə r
1016-4				v ɪ t ɔ ə r
1069-4				ɪ k
509-4				f ɔ l ə n
693-4				m ɔy l + ai z ə l
2179-4				n ɛ s t ə n
1753-4				f ɪ ʃ ə n
1131-4				v ɔ l f
1198-4				b eː r t
2032-4				h oː r ə n
2241-4				n ʊ s
2244-4				l ɔ pf ə n
610-4				n aː
945-4				h aː t ə n
1534-4				l ʊ k ə n
384-4				z uː x ə n
1650-4				n oː t
1663-4				z a l t
2279-4				l ɪ n ə n
471-4				z eː ə n
1385-4				z ai t ə n
792-4				j ʊ k ə n
1111-4				m a s t
197-4				z ɔy d ə n
