COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n d ə r			
1375-1	l ɪ x t			
760-1	w ɪ n t			
756-1	s n eː w			
726-1	m uː d ə r			
1351-1	x r oː t + f aː d ə r			
1353-1	x r oː t + m uː d ə r			
412-1	s x oː n + v aː d ə r			
406-1	s x oː n + m uː d ə r			
1005-1	s t iː + f aː d ə r			
1012-1	s t iː f + m uː d ə r			
1016-1	w eː d yː w n + aː r			
1069-1	ɪ k			
509-1	v øː l ə			
693-1	m œy l + eː z ə l			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h oː r n			
2241-1	n øː s			
2244-1	l ɪ p			
610-1	k n iː			
945-1	h ɑ r t			
1534-1	l ɪ k ə			
384-1	z œy ɣ ə			
1650-1	n oː t			
1663-1	z ɑu t			
2279-1	l ɪ n ə			
471-1	z aː j ə			
1385-1	z aː t			
792-1	j ʉ k			
1111-1	m ɑ s t			
197-1	z œy d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d ɛ r d ə			
2017-1	n iː w			
968-1	w eː r ə l t			
1674-1	l ɑ n t			
1671-1	h øː v ə l			
829-1	k l ɪ f			
1025-1	w aː t ə r			
1027-1	z eː			
1832-1	r yː w			
-1816-1	oː s eː j aː n			
-335-1	l aː ɣ yː n ə			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m aː n			
2062-1	s t ɔ r m			
2065-1	r eː ɣ ə m + b oː x			
1368-1	s x aː d yː w			
1365-1	d ɑu w			
754-1	r eː ɣ ə			
768-1	w eː r			
1211-1	v yː r			
106-1	m ɑ n			
-98-1	b eː b iː			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	t ɑ n t ə			
-2026-1	n eː f			
409-1	s x oː n + z oː n			
402-1	s x oː n + d ɔ x t ə r			
1014-1	s t iː v + d ɔ x t ə r			
1059-1	w ɛɪ			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ s			
2199-1	k ɑ l f			
2197-1	s x aː p			
1523-1	z øː x			
1521-1	b ɔ k			
512-1	m ɛ r iː			
2141-1	h ɛ n			
2147-1	x ɑ n s			
814-1	k r aː j			
810-1	d œy f			
1755-1	h ɔ n t			
1758-1	m œy s			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w ɑ l v ɪ s			
1136-1	v ɔ s			
1309-1	l œy s			
1307-1	n eː t			
1305-1	v l oː			
711-1	w ɛ s p			
1442-1	v l iː x			
62-1	m ʉ x			
-73-1	m ʉ s k iː t			
1810-1	h œy t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ɪ p			
2177-1	h oː f t			
246-1	w ɛ ŋ ɡ + b r ɑu w			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		θ ʌ n d ə r		
1375-2		l aɪ t		
760-2		w ɪ n d		
756-2		s n əʊ		
726-2		m ʌ ð ə r		
1351-2		ɡ r æ n d + f ɑː ð ə r		
1353-2		ɡ r æ n + m ʌ ð ə r		
412-2		f ɑː ð ə r + ɪ n + l ɔː		
406-2		m ʌ ð ə r + ɪ n + l ɔː		
1005-2		s t ɛ p + f ɑː ð ə r		
1012-2		s t ɛ p + m ʌ ð ə r		
1016-2		w ɪ d əʊ ə r		
1069-2		aɪ		
509-2		f əʊ l		
693-2		m j uː l		
2179-2		n ɛ s t		
1753-2		f ɪ ʃ		
1131-2		w ʊ l f		
1198-2		b ɪ ə d		
2032-2		h ɔː n		
2241-2		n əʊ z		
2244-2		l ɪ p		
610-2		n iː		
945-2		h ɑː t		
1534-2		l ɪ k		
384-2		s ʌ k		
1650-2		n ʌ t		
1663-2		s ɔː l t		
2279-2		l ɪ n ɪ n		
471-2		s əʊ		
1385-2		s iː d		
792-2		j əʊ k		
1111-2		m ɑː s t		
197-2		s aʊ θ		
2020-2		l ɔ ŋ		
867-2		h ʌ n d r ə d		
1970-2		f ʊ l		
1230-2		θ ɜː d		
2017-2		n j uː		
968-2		w ɜː l d		
1674-2		l æ n d		
1671-2		h ɪ l		
829-2		k l ɪ f		
1025-2		w ɔː t ə r		
1027-2		s iː		
1832-2		r ʌ f		
-1816-2		əʊ ʃ n̩		
-335-2		l ə ɡ uː n		
1043-2		s t r iː m		
423-2		s t əʊ n		
2049-2		m uː n		
2062-2		s t ɔː m		
2065-2		r eɪ n + b əʊ		
1368-2		ʃ æ d əʊ		
1365-2		d j uː		
754-2		r eɪ n		
768-2		w ɛ ð ə r		
1211-2		f aɪ ə r		
106-2		m æ n		
-98-2		b eɪ b ɪ		
719-2		f ɑː ð ə r		
1341-2		s ʌ n		
-2027-2		ɑː n t		
-2026-2		n ɛ v j uː		
409-2		s ʌ n + ɪ n + l ɔː		
402-2		d ɔː t ə r + ɪ n + l ɔː		
1014-2		s t ɛ p + d ɔː t ə r		
1059-2		w iː		
120-2		s t ɔː l		
2194-2		ɔ k s		
