COGID	dutch	english	french	german
249	oː ɣ + l ɪ t	aɪ + l ɪ d		au ɡ ə n + l iː t
1506	n øː s + f l øː ɣ ə l	n ɔ s t r ə l		n aː z ə n + l ɔ x
2242	m ɔ n t	m aʊ ð		m ʊ n t
2245	t ɔ ŋ	t ʌ ŋ		ts ʊ ŋ ə
1196	n ɛ k		n y k	n a k ə n
2174	s x ɑu d ə r	ʃ əʊ l d ə r		ʃ ʊ l t ə r
575	ɔ k s ə l		ɛ s ɛ l	a k s ə l + h ɶː l ə
603	ɛ l ə + b oː x	ɛ l + b əʊ		ɛ l ə n + b oː ɡ ə n
601	h ɑ n t	h æ n d		h a n t
615	v ɪ ŋ ə r	f ɪ ŋ ɡ ə r		f ɪ ŋ ə r
901	k l ɑu w	k l ɔː		k l au ə
608	v uː t	f ʊ t		f uː s
596	t eː n	t əʊ		ts eː ə
937	b ɔ r s t	b r ɛ s t		b r ʊ s t
936	n aː v ə l	n eɪ v l̩		n aː b ə l
646	l ɔ ŋ	l ʌ ŋ		l ʊ ŋ ə
947	l eː v ə r	l ɪ v ə r		l eː b ə r
1606	h øː p	h ɪ p		h ʏ f t ə
472	n iː z ə	s n iː z		n iː z ə n
1535	z w eː t ə	s w ɛ t		ʃ v ɪ ts ə n
1546	s p yː ɣ ə	s p ɪ t		ʃ p ʊ k ə n
1959	s l aː p ə	s l iː p		ʃ l aː f ə n
694	s n ʉ r k ə	s n ɔː r		ʃ n a r x ə n
1961	d r oː m ə	d r iː m		t r ɔy m ə n
323	l eː v ə	ə + l aɪ v		l eː b ə n
1885	x r ɑ f	ɡ r ɑː v		ɡ r aː p
2156	v ə r + k ɑu t + h ɛɪ t	k əʊ l d		ɛ r + k ɛ l t + ʊ ŋ
1903	w ɔ n t	w aʊ n d		v ʊ n d ə
525	z w ɛ l ɪ ŋ	s w ɛ l ɪ ŋ		ʃ v ɛ l ʊ ŋ
276	l ɑ m	l ɑː m eɪ		l aː m
274	d oː f	d ɛ f		t au p
278	b l ɪ n t	b l aɪ n d		b l ɪ n t
258	d r ɔ ŋ k ə	d r ʌ ŋ k		b ə + t r ʊ ŋ k ə n
256	n aː k t	n eɪ k ɪ d		n a k t
383	eː t ə	iː t		ɛ s ə n
207	r ɛɪ p	r aɪ p		r ai f
376	d r ɪ ŋ k ə	d r ɪ ŋ k		t r ɪ ŋ k ə n
2014		r ɔː s t	ʀ ɔ t i ʀ	r ɶː s t ə n
2009	oː v ə	ʌ v n̩		oː f ə n
2003	k eː t ə l	k ɛ t l̩		k ɛ s ə l
2024	p ɑ n	p æ n		pf a n ə
1321	k ɔ p	k ʌ p	k u p	
1976	t ɑ ŋ	t ɔ ŋ z		ts a ŋ ə
1243	m aː l + t ɛɪ t	m iː l		m aː l ts ai t
1265	p ɛ l ə	p iː l	p ə l e	
1261	z eː v ə	s ɪ v		z iː b ə n
655	b r oː t	b r ɛ d		b r oː t
650	d eː x	d əʊ		t ai k
1532	k n eː d ə	n iː d		k n eː t ə n
-36	s uː p	s uː p		z ʊ p ə
34	b oː n	b iː n		b oː n ə
-1647	v ɛɪ x	f ɪ ɡ		f ai ɡ ə
-1615	oː l iː	ɔ ɪ l		ɶː l
125	v ɛ t	f æ t		f ɛ t
1659	h oː n ɪ ŋ	h ʌ n ɪ		h oː n ɪ x
1661	m ɛ l k	m ɪ l k		m ɪ l x
1676	b oː t ə r	b ʌ t ə r		b ʊ t ə r
480	d r ɑ ŋ k	d r ɪ ŋ k		ɡ ə + t r ɛ ŋ k
1466	k l eː d ɪ ŋ	k l əʊ ð z		k l ai d ʊ ŋ
2277	w ɔ l	w ʊ l		v ɔ l ə
2271	v ɪ l t	f ɛ l t		f ɪ l ts
2293	l eː r	l ɛ ð ə r		l eː d ə r
624	s p ɪ n ə	s p ɪ n		ʃ p ɪ n ə n
628	s p ɪ n d ə l	s p ɪ n d l̩		ʃ p ɪ n d ə l
626	w eː v ə	w iː v		v eː b ə n
633	n aː l t	n iː d l̩		n aː d ə l
1185	s x uː n + m aː k ə r	ʃ uː + m eɪ k ə r		ʃ uː s t ə r
1179	h uː t	h æ t		h uː t
2168	k ɑ m	k əʊ m		k a m
1952	d øː r	d ɔː r		t oː r
899	l ɑ d ə r	l æ d ə r		l ai t ə r
922	b ɛ t	b ɛ d		b ɛ t
-934	l ɑ m p	l æ m p		l a m p ə
916	t r ɔ x	t r ɔ f		t r oː k
1726	v ɛ l t	f iː l d		f ɛ l t
2108	p l uː ɣ ə	p l aʊ		pf l yː ɡ ə n
1133	v oː r ə	f ʌ r əʊ		f ʊ r x ə
2114	s p aː d ə	s p eɪ d		ʃ p aː t ə n
1272	r ɔ ɣ ə	r aɪ		r ɔ ɡ ə n
1979	x r ɑ s	ɡ r ɑː s		ɡ r aː s
1989	h oː j	h eɪ		h ɔy
-2260	p l ɑ n t ə	p l ɑː n t		pf l a n ts ə n
70	b øː k	b iː tʃ		b uː x ə
-89	w ɪ ŋ ə r t	v aɪ n		v ai n + ʃ t ɔ k
-12	p ɛɪ p	p aɪ p		pf ai f ə
713	s ɑ p	s æ p		z a f t
747	n eː t ə l	n ɛ t l̩		n ɛ s ə l
308	d uː n	d uː		t uː n
289	b ɪ n d ə	b aɪ n d		b ɪ n d ə n
1930	b r eː k ə	b r eɪ k		b r ɛ x ə n
1928	s p l ɛɪ t ə	s p l ɪ t		ʃ p a l t ə n
858	œy t + r ɛ k ə	s t r ɛ tʃ		ʃ t r ɛ k ə n
1577	ɔ p + h ɑ ŋ ə	h æ ŋ		au f + h ɛ ŋ ə n
908	w ɑ s ə	w ɔ ʃ		v a ʃ ə n
648	b oː r ə	b ɔː r		b oː r ə n
1855	œy t + h ɔ l ə	h ɔ l əʊ		au s + h ɶː l ə n
657	h aː m ə r	h æ m ə r		h a m ə r
2058	n aː ɣ ə l	n eɪ l		n aː ɡ ə l
949	s m ɪ t	b l æ k + s m ɪ θ		ʃ m iː t
1642	x ɑu t	ɡ əʊ l d		ɡ ɔ l t
1640	z ɪ l v ə r	s ɪ l v ə r		z ɪ l b ə r
1633	ɛɪ z ə r	aɪ r ə n		ai z ə n
1630	t ɪ n	t ɪ n		ts ɪ n
993	x l ɑ s	ɡ l ɑː s		ɡ l aː s
-2121	r ɔ l ə	r əʊ l		r ɔ l ə n
1692	v ɑ l ə	f ɔː l		f a l ə n
1694	d r ʉ p ə l ə	d r ɪ p		t r ɔ pf ə n
1062	z ɪ ŋ k ə	s ɪ ŋ k		z ɛ ŋ k ə n
476	z w ɛ m ə	s w ɪ m		ʃ v ɪ m ə n
1051	v l iː ɣ ə	f l aɪ		f l iː ɡ ə n
1075	b l aː z ə	b l əʊ		b l aː z ə n
135	x l ɛɪ d ə	s l aɪ d		ɡ l ai t ə n
-134	d ɑ n s ə	d ɑː n s		t a n ts ə n
1839	w ɛ + ɣ aː n	ɡ əʊ + aʊ t		au s + ɡ eː ə n
1097	t ə r ʉ x + k oː m ə	k ʌ m + b æ k		ts uː r ʏ k + k ɔ m ə n
1777	v ɔ l ɣ ə	f ɔ l əʊ		f ɔ l ɡ ə n
1434	b r ɛ ŋ ə	b r ɪ ŋ		b r ɪ ŋ ə n
