ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
434	827_i	I	german	German	ich	ɪx	ɪ x	stan1295	48.649	12.4676	Indo-European	1069
435	827_i	I	french	French	je	ʒə	ʒ ə	stan1290	48.0	2.0	Indo-European	1069
436	827_i	I	french	French	moi	mwɑ	m w ɑ	stan1290	48.0	2.0	Indo-European	6010
437	827_i	I	dutch	Dutch	ik	ɪk	ɪ k	dutc1256	52.0	5.0	Indo-European	1069
438	827_i	I	english	English	I	aɪ	aɪ	stan1293	53.0	-1.0	Indo-European	1069
2148	146_accountreckoning	account, reckoning	german	German	Rechnung	rɛxnʊŋ	r ɛ x n ʊ ŋ	stan1295	48.649	12.4676	Indo-European	181
2149	146_accountreckoning	account, reckoning	french	French	compte	kɔ̃t	k ɔ̃ t	stan1290	48.0	2.0	Indo-European	183
2150	146_accountreckoning	account, reckoning	dutch	Dutch	rekening	reːkənɪŋ	r eː k ə n ɪ ŋ	dutc1256	52.0	5.0	Indo-European	181
2151	146_accountreckoning	account, reckoning	english	English	bill	bɪl	b ɪ l	stan1293	53.0	-1.0	Indo-European	182
219	913_air	air	german	German	Luft	lʊft	l ʊ f t	stan1295	48.649	12.4676	Indo-European	758
220	913_air	air	french	French	air	ɛʀ	ɛ ʀ	stan1290	48.0	2.0	Indo-European	759
221	913_air	air	dutch	Dutch	lucht	lʉxt	l ʉ x t	dutc1256	52.0	5.0	Indo-European	758
222	913_air	air	english	English	air	ɛər	ɛ ə r	stan1293	53.0	-1.0	Indo-European	-759
458	819_animal	animal	german	German	Tier	tiːr	t iː r	stan1295	48.649	12.4676	Indo-European	122
459	819_animal	animal	french	French	animal	animal	a n i m a l	stan1290	48.0	2.0	Indo-European	123
460	819_animal	animal	french	French	bête	bɛːt	b ɛː t	stan1290	48.0	2.0	Indo-European	124
461	819_animal	animal	dutch	Dutch	dier	diːr	d iː r	dutc1256	52.0	5.0	Indo-European	122
462	819_animal	animal	dutch	Dutch	beest	beːst	b eː s t	dutc1256	52.0	5.0	Indo-European	-124
463	819_animal	animal	english	English	animal	ænɪmḷ	æ n ɪ m l̩	stan1293	53.0	-1.0	Indo-European	-123
879	659_ankle	ankle	german	German	Knöchel	knœxəl	k n œ x ə l	stan1295	48.649	12.4676	Indo-European	1236
880	659_ankle	ankle	french	French	cheville	ʃəvij	ʃ ə v i j	stan1290	48.0	2.0	Indo-European	1238
881	659_ankle	ankle	dutch	Dutch	enkel	ɛŋkəl	ɛ ŋ k ə l	dutc1256	52.0	5.0	Indo-European	1237
882	659_ankle	ankle	english	English	ankle	æŋkḷ	æ ŋ k l̩	stan1293	53.0	-1.0	Indo-European	1237
1534	397_arch	arch	german	German	Bogen	boːɡən	b oː ɡ ə n	stan1295	48.649	12.4676	Indo-European	280
1535	397_arch	arch	german	German	Wölbung	vœlbʊŋ	v œ l b ʊ ŋ	stan1295	48.649	12.4676	Indo-European	283
1536	397_arch	arch	french	French	arche	aʀʃ	a ʀ ʃ	stan1290	48.0	2.0	Indo-European	282
1537	397_arch	arch	dutch	Dutch	boog	boːx	b oː x	dutc1256	52.0	5.0	Indo-European	280
1538	397_arch	arch	english	English	arch	ɑːʧ	ɑː tʃ	stan1293	53.0	-1.0	Indo-European	-281
833	673_armpit	armpit	german	German	Achselhöhle	aksəl-hɶːlə	a k s ə l + h ɶː l ə	stan1295	48.649	12.4676	Indo-European	575
834	673_armpit	armpit	french	French	aisselle	ɛsɛl	ɛ s ɛ l	stan1290	48.0	2.0	Indo-European	575
