COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1	m au ³⁴	m au ⁵²	m au ³	m o ʔ ³⁵	m u ³¹	m w iː	m au ³
2	kʰ o ŋ ³²		kʰ o ŋ ³¹	g au ŋ ⁵¹		k au ŋ	kʰ u ŋ ⁵³
3	p w i ³¹	p w i ³	b e ⁵¹	b a ³¹		p au ŋ	b w i ³
4	l a̰ ⁵	l ḛ ²³	l a ⁵	l o̰ ⁴³	l a ³¹	l aˀ	l ə ⁴
5	m ṵ ⁵	m ə ⁵²	m ɔ ⁵³				m ɔ ⁴
6	g i ²	k ḭ ³	k ḭ ⁵³	g i ⁵²		k r ai	k ḭ ⁵³
7	dʒ ə ³²	ts a̰ m ³	dʒ ɛ ⁵³	dʒ a̰ m ³¹		t i m	d u m ⁴²
8			ŋ ãɪ ³	ŋ ɪ n ⁴²		h n a ŋ	ŋ a̰ n ⁵³
9	dʒ w e ⁴⁵			tʃʰ e ⁴³			
10			w ɔ ⁵¹		w a ʔ ⁵⁵	r w a	
11	s ai ³⁵		s ə ŋ ⁴³	s a ŋ k ⁵³	s ə	s a k	
12	j a ŋ ⁵³		j ɔ ʔ ³¹	j a ⁴¹	j ʊ ŋ		β w ɔ ʔ ³²
13	k a n ²			g e n ⁴			g a n ²
14			l æ̰ p ⁵³			h l j a p	l a̰ p ⁴
15			g w ɛ m ³			k r w iː	g u m ⁵³
16	j æ t ²¹		j ø p ³			r i p	v ʊ p ³
17			p a ŋ ⁵³	b a ʔ ²¹			
18	n j ɛ n ³⁵	m j a n ²³	m j eː ŋ ⁵	m ḭ ⁵	m eɪ ³¹	ɲ a ɲˀ	m j ɪ n ³⁴
19	n j ei ⁴⁵	n e ʔ ⁵²	n j eː ⁵	n a ³¹	n i ³¹	n eˀ	n i ⁴⁵
20	n a p ³	n e ²³	n æ p ³²	n ɛ ʔ ³²		n a k	n a p ³
21		k a ŋ ³	g j o t ⁵²	g a ³¹			g j ɔ ⁴
22	k u ŋ ⁵¹	k a̰ː ⁵²	g o ŋ ⁵¹	g au ³¹			g u ŋ ⁵³
23		j ə ²³	j ɪ n ⁵³	j ɛ ʔ ²³		j a	
24		ʔ a ŋ ³	ʔ ai ²⁵	ʔ a ³²			ʔ ə ³
25	j ɔ ³¹		j ɔ ⁴²				
26		m a ²³		m ɔ ³⁵			m a ³
27	d z a n ⁴²		ts ai n ⁴	d z ɪ n ³¹			d z a n ⁵¹
28	b w i ⁴²	p w i ³	b ø ⁵³	b a ³¹			b a ³¹
29	tʰ u ʔ ⁵⁴	tʰ au ⁵²	tʰ u ʔ ⁵²	tʰ u k ⁵			tʰ ɔ ʔ ⁵
30	w a ŋ ³¹	w ã ŋ ³	w a ŋ ³¹	w a ³²			w a ŋ ³¹
31	d z o̰ ŋ ³²	ts a ŋ ³	ts o̰ ŋ ³²				
32	t ḭ ³²	p i ³	b i ³²				
33	dʒ ei ⁴²				tsʰ i ⁵⁵	r e	
34		ɣ i ³	g e ⁵¹	ɣ i t ⁴			ʔ ʊ̰ t ⁵
35	l a ŋ ³²	l a ŋ ⁵²	l a̰ ŋ ³¹			kʰ j ŋ	l a ŋ ³¹
36			b a ŋ ²³	b a ŋ ³		p a ŋ	b a ŋ ³
37			l ai ³²	l ai ³²		l ai	l ai ³¹
38	d z ɔ ⁴⁵	ts ai ²³	dʒ o ŋ ⁵¹			tsʰ i	d z ɛ ³¹
39		m i ³	m j ḛ ⁵³	m i ʔ ³	m j i ⁵⁵	m r e	m i t ⁵
40	tʰ ɔ m ⁵		tʰ ø m ⁵	tʰ a m ³²		h r w a mˀ	
41	b ɔ p ⁴³		b ø p ²¹	b a p ³²			b ɔ ³
42	pʰ ə ⁵		pʰ ə ⁵	b ə t ³		pʰ u t	pʰ w i ²
43	l a̰u ⁵¹		l au ⁵¹				l au ⁵³
44	l u k ³	l au ʔ ²³	l o k ³	l au ⁴³	l o ʔ ³¹	k l au k	l u ʔ ³
45	s i ⁵					s a	s u ³⁵
46	ʃ ɔ ³¹	ʃ a ³	tʃʰ o ³¹	tʃʰ ø ³¹	ʃ e		
47			m j ḛ ⁴³	m a ³²	m u		m w i ⁵²
48	ʃ ə ⁴³		ʃ o ⁵³			tʰ u mˀ	tʃʰ ɔ ³²
49	h w i ⁵		h ḛ i ⁴²				h w i ³
50	x j e n ³	x a ŋ ³	ʃ ə ŋ ⁵²	x a ŋ ⁴²	ʃ ai ŋ ⁵⁵	h r w e	h ɯ ŋ ⁵³
51	ŋ w i ⁴²	n w i ³	ŋ ⁵²	ŋ oi ⁴²		ŋ w e	ŋ u n ³¹
52	tʰ j ɛ ʔ ⁴²	t a̰ ʔ ⁵²	d ɔ ʔ ⁵²	t o̰ ʔ ⁵⁴			d ɔ ʔ ⁵
53			dʒ ɔ ʔ ³	dʒ o ʔ ³²			
54					s e ⁵⁵	s a m	ʃ a m ⁵⁴
55	b w ɔ m ³¹	p a m ²³	b ɛ m ⁵¹	b a m ³¹			b u m ³¹
56	l u k ³²		l o ʔ ³⁴	l au k ³²			l ʊ p ³
57	kʰ j u ŋ ³²						kʰ j u ŋ ⁵³
58			ʔ o ʔ ⁵³	ʔ a̰u k ⁵			
59			g j ɛ m ⁵³	dʒ a m ⁴			
60	kʰ j a m ⁴¹		kʰ au ³²				
61				tʰ a ⁴		t aːu	
