COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m j ə j ⁴³						
4-1	l ɔ Ø						
18-1	m w a n ³¹						
19-1	n j Ø ³¹						
44-1	j l au ⁴³						
50-1	ʃ j j u ŋ ³						
62-1	s a ʔ ³¹						
70-1	p Ø n Ø						
75-1	m ŋ u ŋ ⁵³						
97-1	j tʰ u ŋ ⁵³						
112-1	tsʰ a Ø						
122-1	m j a ⁵³						
127-1	kʰ Ø i Ø						
132-1	Ø ɔ ŋ ⁴³						
133-1	n j ə ŋ ⁴³						
135-1	n j ə ŋ ⁵³						
142-1	t Ø i ⁵⁴						
143-1	j n a̰ ʔ ⁵³						
149-1	m au j ⁵³						
152-1	n ə j ŋ						
157-1	p a ⁵³						
183-1	ʔ au ŋ						
184-1	j n au j ʔ Ø						
185-1	tsʰ u j ⁵³						
189-1	m j ɔ ŋ ⁵³						
192-1	j n a ⁴³						
195-1	n Ø ⁵³						
200-1	g j ɛ ⁵³						
216-1	s a n ⁵³						
218-1	l ə ŋ ⁴³						
225-1	s a n Ø						
235-1	kʰ i j ⁵⁴						
244-1	s Ø i Ø						
253-1	m j ɪ ⁵⁴						
270-1	m i ⁵³						
278-1	m j a n ⁵³						
279-1	j Ø ɔ ⁵³						
285-1	m i m ⁵³						
308-1	j j ɔ̰ j ⁵³						
322-1	m i Ø						
325-1	kʰ j ə j ⁵³						
337-1	m j ɔ ŋ ⁵³						
341-1	t a ⁴³						
347-1	ʃ j au ⁵						
362-1	j w i ⁵³						
391-1	ʔ i p ³¹						
394-1	m ə ŋ ⁵³						
397-1	tʃʰ i j ⁵³						
443-1	m j ɛ p ³¹						
460-1	s w ʔ ⁵³						
463-1	Ø Ø ⁵³						
464-1	ʔ a n Ø						
473-1	s u m ⁴³						
476-1	kʰ j a ⁵³						
481-1	tʰ Ø j ⁵³						
494-1	g j i ⁴³						
496-1	h j u n ⁵³						
516-1	Ø Ø Ø						
522-1	n ə ʔ ⁴³						
523-1	b j ɔ ⁵³						
524-1	n Ø ⁵³						
540-1	kʰ a ³¹						
3-1	b Ø u j ⁵³						
6-1	k j ⁵³						
7-1	dʒ a̰ m ⁵³						
20-1	n ṵ ⁵³						
51-1	ŋ n u z ⁵³						
64-1	kʰ ɔ ŋ ³¹						
65-1	ʔ a n ⁵³						
66-1	d n au ³¹						
71-1	ʃ i ³¹						
72-1	ʔ a						
76-1	Ø ʊ ³¹						
77-1	m j ɛ ʔ ³¹						
78-1	m ṵ j ⁵³						
82-1	p au ŋ ⁵³						
87-1	n ɔ j ⁵³						
93-1	l Ø m ³¹						
94-1	m j ṵ ⁵³						
100-1	ʃ j a n ³¹						
116-1	j l ə ³¹						
119-1	Ø Ø j ³¹						
124-1	d j au ⁵³						
136-1	l w i ⁵³						
137-1	kʰ j z u j ⁵³						
144-1	ʃ a g ³¹						
145-1	d a n ³¹						
146-1	m n ʊ j ³¹						
150-1	z kʰ j ɔ ʔ ⁵³						
154-1	m j m ṵ ⁵³						
165-1	j ɪ ŋ ³¹						
166-1	b j a ⁵³						
169-1	k j a̰ ŋ ⁵³						
170-1	b j a ⁵³						
171-1	j ɔ ŋ n						
174-1	l ɪ m ⁵³						
181-1	m j ɔ̰ ʔ ⁵³						
193-1	b ɔ ⁴³						
205-1	n ɛ j ŋ ⁵³						
206-1	m d ɛ j ⁵³						
212-1	tʃʰ ɔ ʔ ³¹						
214-1	l a m ³¹						
217-1	ʔ u ⁵³						
224-1	j n j z au ŋ ³¹						
228-1	b Ø ŋ ³¹						
238-1	ʔ d ʊ j ³¹						
241-1	ʃ ɔ̰ ³¹						
246-1	k j ɛ ⁵³						
256-1	ʔ a j j						
257-1	Ø a j ⁵³						
272-1	m ɔ̰ ³¹						
273-1	ʔ a j ⁵³						
274-1	m u ŋ ³¹						
286-1	kʰ u m ⁵³						
289-1	kʰ ṵ n ³¹						
294-1	ʔ au n ³¹						
301-1	w ɔ ʔ ⁴³						
306-1	kʰ j a p ³¹						
307-1	ŋ ṵ ⁵³						
321-1	tʰ ɔ j ³¹						
331-1	m w a ⁵³						
332-1	l Ø m ⁴³						
335-1	k j a ³¹						
336-1	n Ø j ⁵³						
340-1	n ə ⁵³						
342-1	m j z u ŋ ⁵³						
360-1	tʃʰ a p ³¹						
376-1	ʃ ɛ j ⁵³						
389-1	n j a̰ ʔ ⁵³						
395-1	n ɔ ⁵³						
401-1	ʃ i ⁵³						
404-1	d n a ŋ ⁵³						
408-1	d j au ⁵⁴						
409-1	l ʊ ⁵³						
413-1	d a̰ m ⁵³						
421-1	m m a p ⁵³						
425-1	p a ⁵³						
430-1	tʰ Ø j ⁵³						
442-1	d au ³¹						
447-1	tʰ a ³¹						
456-1	g ʊ ³¹						
458-1	tʃʰ u ⁵³						
469-1	kʰ ə ⁵³						
470-1	d ɔ m ⁵³						
475-1	ŋ a ⁵³						
477-1	j n n au d ⁵³						
478-1	ʃ ɪ t ⁵³						
480-1	k j ʊ j ⁵³						
485-1	m j a ³¹						
495-1	n z i ⁵³						
499-1	m j ɪ ⁵³						
500-1	m j m a̰ m ³¹						
501-1	tʰ Ø ⁵³						
506-1	ʃ j ɔ ³¹						
507-1	n ɔ ʔ ⁵³						
509-1	l a n ³¹						
510-1	b j a n ³¹						
511-1	l ɔ ʔ ⁵³						
521-1	n a n ⁵³						
525-1	n j z ɔ ŋ ⁵³						
538-1	ʃ Ø ṵ j ⁵³						
539-1	ʃ ɔ̰ ŋ ⁵³						
544-1	ʔ j ɛ ʔ ⁵⁴						
550-1	tʰ ɔ ʔ ³¹						
562-1	m j a ŋ ³¹						
568-1	k a j ³¹						
2-1	g au ŋ Ø						
11-1	ʃ ɔ ŋ ŋ ⁵⁴						
12-1	d Ø u ŋ d						
22-1	k au Ø						
28-1	b u ⁵⁴						
29-1	tʰ au ŋ ⁴						
30-1	Ø u ŋ ⁵⁴						
35-1	l ɛ ŋ d						
38-1	dʒ z Ø d						
42-1	b d ɔ n ⁵³						
46-1	ʃ a Ø						
52-1	t a̰ ʔ ⁴						
55-1	b u m Ø						
69-1	Ø a ʔ ⁵³						
79-1	kʰ w ə m Ø						
83-1	tʃʰ d au j ⁵⁴						
86-1	ʔ j ⁵³						
89-1	ʃ ɔ ŋ ⁵³						
90-1	n Ø ɔ m ⁵³						
91-1	ʔ au n ³¹						
92-1	kʰ ɔ g ⁵³						
106-1	k au ³²						
120-1	tsʰ ɛ j j d						
125-1	kʰ z z ʊ ŋ ³²						
148-1	n dʒ ə ³¹						
173-1	b ɔ g ⁵⁴						
179-1	ʔ u z ⁵⁴						
186-1	n a d ⁵³						
187-1	l ə ⁵³						
197-1	n n ɪ g ⁵³						
209-1	kʰ n a n d						
210-1	d Ø ɔ m ⁵³						
211-1	d Ø ³²						
213-1	j n a k d						
215-1	s z Ø ³¹						
220-1	tʰ au ŋ Ø						
237-1	tʃʰ u ŋ						
239-1	n u t ⁵³						
242-1	tsʰ au m ³¹						
248-1	kʰ n i ⁵³						
255-1	b j au ⁵³						
271-1	tʃʰ Ø u ⁵³						
275-1	n au ŋ ³²						
277-1	Ø d u Ø						
295-1	kʰ au m ⁵³						
302-1	ʃ j ə j ³¹						
309-1	l u ʔ ⁴³						
312-1	au Ø						
