COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	n j ɛ ³						
18-1	n j u ⁵						
19-1	n i ³¹						
44-1	n j ɔ ³						
50-1	d j u ŋ ³						
62-1	s ai k ⁵⁴						
70-1	b a m ³¹						
75-1	n j ɔ ʔ ⁵³						
97-1	l a ŋ ³						
112-1	d j ɔ ³						
122-1	n j u k ⁵³						
127-1	kʰ w a ³						
132-1	n j ɔ ʔ ³¹						
133-1	n i ³¹						
135-1	n a ³						
142-1	d u ³						
143-1	n j ɔ ³						
149-1	n a ³						
152-1	ŋ ³						
157-1	d j ɔ ³						
183-1	ʔ u ⁵						
184-1	n u ³¹						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n ɔ ³¹						
195-1	n ɔ ³¹						
200-1	kʰ ə ⁵						
216-1	d j u ³						
218-1	l ɔ ʔ ³¹						
225-1	d j u ³						
235-1	kʰ j u ⁵						
244-1	s a n ³						
253-1	n j æu ³						
270-1	d j u ³						
278-1	n j ɔ ³						
279-1	j a ŋ ³						
285-1	n j u ⁵						
308-1	b a ⁵						
322-1	m ³						
325-1	kʰ au ³						
337-1	n j a ŋ ³						
341-1	d j ɔ ³						
347-1	d j ɔ ³						
362-1	j a n ³¹						
391-1	d j ɔ ³						
394-1	n j ɔ ʔ ³¹						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ ³						
460-1	s a t ⁵³						
463-1	n a ³						
464-1	ʔ u ŋ ⁵						
473-1	s a m ³						
476-1	kʰ j u k ⁵³						
481-1	tsʰ a ³						
494-1	d j u ³						
496-1	d j ɔ ³						
516-1	w ɔ ³						
522-1	n ɔ ʔ ³²						
523-1	n j u ³						
524-1	n a ³						
540-1	kʰ j a m ⁵						
3-1	b ɔ ³¹						
6-1	g ɔ ⁵						
7-1	d j u ³						
20-1	n a ³						
51-1	ŋ a ³						
64-1	g u ŋ ⁵						
65-1	k ṵ k ⁵⁴						
66-1	d j u ⁵						
71-1	ʃ ei ³						
72-1	ʔ u ³						
76-1	j au ³						
77-1	j ɔ ʔ ³¹						
