COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m a̰u ⁵						
4-1	l a ŋ ³						
18-1	n j a̰ ŋ ³						
19-1	n a̰ ḭ ⁵³						
44-1	l u k ³²						
50-1	d a ŋ ³						
62-1	s a n ³						
70-1	b w i ⁴²						
75-1	n j ɔ ³⁵						
97-1	tʃʰ a ŋ ⁵						
112-1	tsʰ ɨu ³						
122-1	n j ṵ k ³⁵						
127-1	kʰ ei ⁵						
132-1	h a ŋ ⁵						
133-1	n ɔ ³¹						
135-1	n u ⁵						
142-1	d z ə ³¹						
143-1	ŋ a t ³¹						
149-1	ʔ u t ⁵						
152-1	ŋ i ³						
157-1	b u ³						
183-1	ʔ u t ⁵						
184-1	n u ⁵						
185-1	tsʰ a m ³						
189-1	n j ɔ ³⁵						
192-1	n ɔ ³¹						
195-1	n ɔ̰ ³¹						
200-1	dʒ ei ³¹						
216-1	s ai ³⁵						
218-1	l ɔ ʔ ³²						
225-1	s ai ³⁵						
235-1	kʰ j ei ³						
244-1	s i ³						
253-1	m i ³²						
270-1	n j ei ³						
278-1	n j a̰ ŋ ³						
279-1	w ɔ ³¹						
285-1	j a m ³						
308-1	d a ŋ ³						
322-1	m i ³²						
325-1	kʰ au ³						
337-1	n j a̰ ŋ ³						
341-1	d z ɔ ⁵						
347-1	ʃ o ⁵						
362-1	j ei ³						
391-1	j a p ³¹						
394-1	m ɔ ʔ ³²						
397-1	tʃʰ ei ⁵						
443-1	n j ɛ̰ ⁵³						
460-1	s ɛ ʔ ⁵³						
463-1	j ei ³¹						
464-1	ʔ u n ³						
473-1	s a ŋ ³						
476-1	kʰ j a m ⁵⁴						
481-1	ʃ e ³						
494-1	dʒ ei ⁴²						
496-1	d j a ŋ ⁵						
516-1	j ei ³¹						
522-1	n ɔ ʔ ³²						
523-1	pʰ ə ³						
524-1	n o̰ ³						
540-1	kʰ j a m ⁵⁴						
3-1	b w i ⁴²						
6-1	g j ɛ n ⁴²						
7-1	d w a n ³						
20-1	n a m ³¹						
51-1	ŋ i ³¹						
64-1	g u ŋ ³¹						
65-1	k a̰ ḭ ʔ ⁵³						
66-1	d z ə ³¹						
71-1	ʃ ei ³						
72-1	ʔ a ³						
76-1	w i ³⁴						
77-1	n j ɛ t ³²						
78-1	m au ³¹						
82-1	pʰ o̰ ³						
87-1	ŋ i ³						
93-1	l a m ³¹						
94-1	n j ei ³						
100-1	s a n ³						
116-1	l ai ³⁴						
119-1	w o m ³						
124-1	d j ɔ ³¹						
136-1	l ṵ ³						
137-1	kʰ j a m ⁵⁴						
144-1	s o t ⁵						
145-1	d u ŋ ³						
146-1	m a̰u ⁵						
150-1	g j u ʔ ⁴²						
154-1	m ɛ ⁵						
165-1	kʰ j a m ⁵⁴						
166-1	d j ɔ ³¹						
169-1	g j u ʔ ⁴²						
170-1	d j ɔ ³¹						
171-1	j a ŋ ³						
174-1	l a m ³¹						
181-1	n j ɔ ³⁵						
193-1	b e ³						
205-1	n ɔ̰ ³¹						
206-1	n j ɔ ³⁵						
212-1	tʃʰ o ʔ ⁵⁴						
214-1	l ɔ m ⁵³						
217-1	ʔ u t ⁵						
224-1	n j æu ³¹						
228-1	b au ³						
238-1	j au ³						
241-1	ʃ ei ³						
246-1	g j u ʔ ⁴²						
256-1	ʔ a ³						
257-1	pʰ ɔ ³						
272-1	m i ⁵						
273-1	ʔ u m ³						
274-1	m a ŋ ⁵						
1-2		m j ṵ̃ ³					
4-2		l u ²³					
18-2		m j ṵ̃ ³					
19-2		n a k ⁵²					
44-2		l a ŋ ⁵²					
50-2		l a ŋ ²³					
62-2		ts o̰ ²³					
70-2		p w i ³					
75-2		m j ṵ̃ ³					
97-2		ts õ ²³					
112-2		ts ai ²³					
122-2		m j ṵ ŋ ³					
127-2		k j a					
132-2		f a ʔ ⁵²					
133-2		n au ŋ ⁵²					
135-2		n au ŋ ⁵²					
142-2		ts a̰ ʔ ⁵²					
143-2		ŋ a ⁵²					
149-2		ʔ u ³					
152-2		ŋ a ⁵²					
157-2		p ə ²³					
183-2		ʔ u ³					
184-2		n au ŋ ⁵²					
185-2		x a m ³					
189-2		m j a ⁵²					
192-2		n e ²³					
195-2		n a k ⁵²					
200-2		ts i ²³					
216-2		ts o̰ ²³					
218-2		l a ʔ ⁵²					
225-2		ts o̰ ²³					
235-2		kʰ i ³					
244-2		ts o̰ ²³					
253-2		m i ⁵²					
270-2		m a̰ ³					
278-2		m j ṵ̃ ³					
279-2		w ã ²³					
285-2		n e ²³					
308-2		m i ⁵²					
322-2		m a̰ ³					
325-2		k au ⁵²					
337-2		m j ṵ̃ ³					
341-2		t a ⁵²					
347-2		s u ⁵²					
362-2		j e ³					
391-2		j ḭ ²³					
394-2		n a ʔ ⁵²					
397-2		tʃʰ ə ²³					
443-2		n a̰u t ⁵²					
460-2		s j ɛ ²³					
463-2		j ḭ ²³					
464-2		ʔ a					
473-2		ts ḛ ʔ ⁵²					
476-2		k j a					
481-2		ʃʰ u					
494-2		k j a					
496-2		l a ŋ ²³					
516-2		p ə ²³					
522-2		n a ʔ ⁵²					
523-2		m j ṵ̃ ³					
524-2		n e ²³					
540-2		kʰ a k ³					
3-2		p a ²³					
6-2		k j a					
7-2		ts i ²³					
20-2		n e ²³					
39-2		m j ṵ̃ ³					
51-2		ŋ a ⁵²					
72-2		ʔ a					
94-2		m i ⁵²					
100-2		ts ḛ ʔ ⁵²					
116-2		l u ²³					
136-2		l a ŋ ²³					
137-2		k j a					
139-2		m i ⁵²					
150-2		k j a					
154-2		m j ṵ̃ ³					
166-2		m j ṵ̃ ³					
169-2		k j ṵ̃ ³					
170-2		j w i ³					
171-2		j ḭ ²³					
174-2		l u ²³					
181-2		m j a ⁵²					
205-2		n a̰u t ⁵²					
206-2		m a̰ ³					
214-2		l a ²³					
217-2		ʔ u ³					
224-2		n j ṵ ŋ ³					
228-2		p au ⁵²					
246-2		k j a					
256-2		ʔ a					
257-2		p a					
273-2		ʔ a					
1-3			m au ²				
4-3			l ə ŋ ⁴				
18-3			m j e ³²				
19-3			m j e ⁴				
44-3			l o ʔ ³				
50-3			dʒ e ³²				
62-3			s ai ⁵²				
70-3			b ãɪ ³				
75-3			m j ɔ̃ ³				
97-3			tʃʰ a ŋ ⁵				
112-3			tsʰ u ³²				
122-3			m j o k ³²				
127-3			kʰ ei ⁵				
132-3			j ɔ̰ ʔ ³				
133-3			n j ẽ ʔ ⁵³				
135-3			n õ ŋ ⁵				
142-3			d z ɨ ²¹				
143-3			ŋ au ³¹				
149-3			ʔ a ³				
152-3			ŋ e ³¹				
157-3			b o ³				
183-3			w ə ⁵				
184-3			n o k ³²				
185-3			tsʰ a m ³				
189-3			m j o k ³²				
192-3			n o ²³				
195-3			n o ²³				
200-3			j e ⁴³				
216-3			s a ŋ ⁵				
218-3			l o ʔ ³²				
225-3			s ə ŋ ⁴³				
235-3			kʰ ei ⁵				
244-3			s ɛ ʔ ⁵²				
253-3			m j e ³²				
270-3			m j e ³²				
278-3			m j o ŋ ³				
279-3			w a ³				
285-3			j ɔ ʔ ³				
308-3			d ai ³				
322-3			m j e ³²				
325-3			g au ³				
337-3			m j ɔ̃ ³				
341-3			d z ɔ ⁴⁵				
347-3			ʃ o ⁵				
362-3			j e ⁵¹				
391-3			j oi ʔ ³				
394-3			m ɔ ʔ ³				
397-3			kʰ ei ⁵				
443-3			m j o k ³²				
460-3			s ai ⁵²				
463-3			j e ³¹				
464-3			ʔ a ³				
473-3			s ə ŋ ⁴³				
476-3			kʰ j o k ⁵³				
481-3			tsʰ u ³²				
494-3			g ɔ ⁴				
496-3			j æ̰ m ³				
516-3			j e ʔ ³				
522-3			n o k ³²				
523-3			pʰ j u ²¹				
524-3			n ɔ̃ ³				
540-3			kʰ o ³				
3-3			b j e ³¹				
6-3			g e ³¹				
7-3			dʒ ø m ³²				
20-3			n ãɪ ³				
39-3			m j e ³²				
51-3			ŋ e ³¹				
64-3			g o ŋ ⁵¹				
65-3			g o k ⁵³				
66-3			d u ³				
71-3			ʃ i ⁵				
72-3			ʔ a ³				
76-3			j o k ³²				
77-3			n j au ³¹				
78-3			m j ḛ ⁴³				
82-3			b a ŋ ²³				
87-3			ŋ au ³				
93-3			l a ŋ ³				
94-3			m j e ³²				
100-3			s ai ⁵²				
116-3			l a ²				
119-3			w a m ³¹				
124-3			b j e ³				
136-3			l e ³				
137-3			kʰ au ³				
139-3			m j e ⁴				
144-3			s ai ʔ ⁵²				
145-3			d o ŋ ²				
146-3			m au ²				
150-3			j ɔ ʔ ³				
154-3			m j e ³²				
165-3			g ai n ³				
166-3			pʰ j u ²¹				
169-3			g a ŋ k ⁵²				
170-3			b j ɔ ³¹				
171-3			j o ŋ ³				
174-3			l a ŋ ³				
181-3			m j o k ³²				
193-3			b j e ³				
205-3			n ə k ³²				
206-3			m oi ⁴⁵				
212-3			tʃʰ o ʔ ⁵³				
214-3			l a ³				
217-3			w ə ⁵				
224-3			n j au ³¹				
228-3			b j e ³¹				
238-3			j au ³				
241-3			ʃ o ⁵				
246-3			g j o k ³				
256-3			ʔ a ³				
257-3			b a ŋ ⁵				
272-3			m ɔ ⁴⁵				
273-3			ʔ a ²				
274-3			m a ŋ ³⁴				
1-4				m o ³²			
4-4				l a ³			
18-4				m j ɔ ⁴⁵			
19-4				n a p ⁴			
44-4				l o ʔ ³			
50-4				ɣ a m ³			
62-4				s a t ⁵⁴			
70-4				b a n ³¹			
75-4				m ø ʔ ⁵⁴			
97-4				tʃʰ a ²			
112-4				tsʰ au ³¹			
122-4				m j æu ʔ ³²			
127-4				kʰ ø ⁵			
132-4				ɣ o ʔ ³²			
133-4				n j o ³			
135-4				n au ŋ ³²			
142-4				d z a̰u ³¹			
143-4				ŋ o ʔ ³²			
149-4				ʔ au ²			
152-4				ŋ a ³			
157-4				b o ³			
183-4				ʔ au ²			
184-4				n o ʔ ⁴³			
185-4				tsʰ a m ⁴¹			
189-4				m j ɔ ʔ ³²			
192-4				n ɔ ³			
195-4				n a ⁴³			
200-4				g e ³¹			
216-4				s a ŋ ²¹			
218-4				l o ³			
225-4				s a ŋ ²¹			
235-4				kʰ i ʔ ⁵⁴			
244-4				s a ŋ ⁵²			
253-4				m ai ³²			
270-4				m ḭ t ⁵⁴			
278-4				m a ³²			
279-4				w a ³²			
285-4				ɣ a m ³			
308-4				p a̰ t ⁵			
322-4				m ai ³²			
325-4				kʰ au ³			
337-4				m j a̰ ³			
341-4				d z ɔ ³²			
347-4				ʃ ɛ ³¹			
362-4				j o ³²			
391-4				j e ʔ ³			
394-4				m o ʔ ⁴³			
397-4				tʃʰ i t ⁵⁴			
443-4				m a̰ p ⁵⁴			
460-4				s a k ⁵			
463-4				ŋ a ⁴⁵			
464-4				ʔ a ³²			
473-4				s a ŋ ⁵²			
476-4				g j æu ʔ ⁴³			
481-4				tsʰ au ³¹			
494-4				g o k ⁴³			
496-4				ɣ a m ³			
516-4				j æu ŋ ⁴			
522-4				n o ʔ ⁴³			
523-4				pʰ o ³			
524-4				n a ⁴³			
540-4				kʰ o ʔ ⁵⁴			
3-4				b a ³¹			
6-4				g a ³¹			
7-4				dʒ a̰ ³¹			
20-4				n a p ⁴			
39-4				m i ³			
51-4				ŋ a ⁴⁵			
64-4				g a ³¹			
65-4				g au k ³²			
66-4				d z o ³			
71-4				ʃ i t ⁵⁴			
72-4				ʔ a ²			
76-4				d au ³			
77-4				n a p ⁴			
78-4				m ai ³²			
82-4				b a ŋ ³			
87-4				ŋ a ⁴⁵			
93-4				l a ²			
94-4				m i t ³			
119-4				w a ³²			
124-4				p j i t ⁵⁴			
136-4				l a ²⁵			
137-4				kʰ o ʔ ⁵⁴			
139-4				m i ³			
144-4				s a ʔ ⁵⁴			
145-4				d au ³			
146-4				m o ³²			
150-4				g j o ⁵			
154-4				m i ³			
165-4				g a m ³			
166-4				pʰ j o ³			
169-4				g a ³¹			
170-4				b j ɔ ³¹			
174-4				l a m ³			
181-4				m j ɔ ʔ ³²			
193-4				b a p ³⁴			
205-4				n a p ⁴			
206-4				m ḭ t ⁵⁴			
212-4				f o ʔ ⁵			
217-4				ʔ au ²			
224-4				m j æu ʔ ³²			
228-4				b o ³			
238-4				j o ʔ ³²			
241-4				ʃ i t ⁵⁴			
246-4				g j o ⁵			
256-4				ʔ a ²			
257-4				b o ³⁴			
272-4				m ai ³²			
273-4				ʔ a ²			
274-4				m a ³²			
1-5					m u		
4-5					l a ʔ ³¹		
18-5					m j a ³¹		
19-5					n ʊ ʔ ³¹		
44-5					l o ʔ ⁵⁵		
50-5					ʃ a ŋ ⁵⁵		
62-5					s ə		
70-5					p a ³¹		
75-5					m j a ³¹		
97-5					ts i ⁵⁵		
112-5					ʃ ai ŋ ⁵⁵		
122-5					m j a ³¹		
127-5					kʰ i ³¹		
132-5					t u ʔ ³¹		
133-5					n a ʔ ⁵⁵		
135-5					n u ⁵⁵		
142-5					ʃ o ³¹		
143-5					n ʊ ʔ ³¹		
149-5					ʔ ai ʔ ³¹		
152-5					ŋ j i ⁵⁵		
157-5					p a ³¹		
183-5					ʔ ai ʔ ³¹		
184-5					n ʊ ʔ ³¹		
185-5					ts i ⁵⁵		
189-5					m j a ³¹		
192-5					n a ʔ ⁵⁵		
195-5					n ʊ ʔ ³¹		
200-5					s i ³¹		
216-5					s ə		
218-5					l ʊ ʔ ³¹		
225-5					s ə		
235-5					kʰ i ³¹		
244-5					s ə		
253-5					m i ³¹		
270-5					m j a ³¹		
278-5					m j a ³¹		
279-5					j a ʔ ⁵⁵		
285-5					j ʊ ŋ		
308-5					sʰ i ³¹		
322-5					m j a ³¹		
325-5					kʰ o ³¹		
337-5					ŋ ɔ ³¹		
341-5					ʃ a ʔ ⁵⁵		
347-5					tsʰ o		
362-5					j i ³¹		
391-5					ɹ e ʔ ⁵⁵		
394-5					m o ʔ ³¹		
397-5					ʃ e ³¹		
443-5					x o ʔ ³¹		
460-5					ʃ e ʔ		
463-5					j i ³¹		
464-5					ʔ ai ʔ ³¹		
473-5					s ə		
476-5					x o ʔ ³¹		
481-5					ʃ i ʔ ⁵⁵		
494-5					g a ³¹		
496-5					l a ŋ ³¹		
516-5					sʰ i ³¹		
522-5					n ʊ ʔ ³¹		
523-5					tʰ u ʔ ⁵⁵		
524-5					n a ʔ ⁵⁵		
540-5					k ə		
39-5					m j i ³¹		
64-5					k ɔ ŋ ³¹		
65-5					k o ³¹		
66-5					t u ³¹		
71-5					ʃ i ʔ ⁵⁵		
72-5					o ʔ ⁵⁵		
76-5					ɹ i ³¹		
77-5					m j a ³¹		
78-5					m u		
82-5					p u ³¹		
87-5					n ʊ ʔ ³¹		
93-5					l ɛ ⁵⁵		
100-5					ʃ e ³¹		
116-5					l a ʔ ³¹		
119-5					l i ʔ ⁵⁵		
124-5					p u ³¹		
136-5					l a ŋ ³¹		
139-5					m j a ³¹		
144-5					ʃ i ʔ ⁵⁵		
145-5					t o ³¹		
146-5					m u		
165-5					x ɔ ŋ ³¹		
171-5					j ʊ ŋ		
193-5					p a ³¹		
212-5					t u ʔ ³¹		
214-5					l a ŋ ³¹		
238-5					j i ³¹		
241-5					t o ʔ ³¹		
246-5					x o ʔ ³¹		
256-5					ʔ ə		
257-5					p a ³¹		
272-5					m ɔ ŋ ³¹		
274-5					m ɔ ŋ ³¹		
1-6						h m uˀ	
4-6						l u m	
18-6						m aː	
19-6						m j a	
44-6						l a k	
50-6						r a n	
62-6						s a ts	
70-6						p a m	
75-6						h m i t	
97-6						s a ŋ	
112-6						tsʰ i	
122-6						h n a ts	
127-6						kʰ aː	
132-6						ʔ u m	
133-6						n a	
135-6						n a	
142-6						tsʰ i	
143-6						ŋ aː	
149-6						ʔ u m	
152-6						n a	
157-6						p u	
183-6						ʔ u m	
184-6						n a k	
185-6						tsʰ a m	
189-6						h m aː	
192-6						h n a	
195-6						n a	
200-6						s eː	
216-6						s a ŋ	
218-6						l a k	
225-6						s a ŋ	
235-6						kʰ j ai	
