COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁵						
4-1	l ɔ ⁵						
18-1	n j ɔ n ³						
19-1	n j ei ⁵						
44-1	l au ʔ ³¹						
50-1	tsʰ a ŋ ³						
62-1	s ai k ⁵⁴						
70-1	b a n ³						
75-1	n j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ ³						
112-1	tsʰ ɔ ⁵						
122-1	n j u k ⁴²						
127-1	kʰ w i ³¹						
132-1	w ɔ ʔ ³¹						
133-1	n ɔ ³¹						
135-1	n au ⁵						
142-1	d z w i ³¹						
143-1	ŋ ɔ ⁵						
149-1	ʔ u ⁵						
152-1	ŋ ³						
157-1	b ɔ ³¹						
183-1	ʔ u ⁵						
184-1	n u ʔ ³¹						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n j ɔ ³						
195-1	n ɔ ³¹						
200-1	kʰ ə ³						
216-1	s a ŋ ³						
218-1	l ɔ ʔ ³¹						
225-1	s a ŋ ⁵						
235-1	kʰ j ei ³						
244-1	s a ŋ ³						
253-1	n j ei ³						
270-1	n j ei ³						
278-1	n j u ŋ ³						
279-1	w a ³						
285-1	ʔ u ŋ ³						
308-1	d j a m ³						
322-1	m i ⁵						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³						
341-1	d z ɔ ⁵						
347-1	ʃ u ʔ ⁵⁴						
362-1	j i ³¹						
391-1	ʔ u ⁵						
394-1	n ɔ ʔ ³¹						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ p ⁵⁴						
460-1	s a t ⁵⁴						
463-1	w i ³¹						
464-1	ʔ a ŋ ³						
473-1	s w a m ³						
476-1	kʰ j ṵ k ⁵⁴						
481-1	tsʰ j ei ³						
494-1	g j ei ³						
496-1	tsʰ a ŋ ³						
516-1	w a ŋ ⁵						
1-2		m au ⁵²					
4-2		l a ⁵²					
18-2		n w i ⁵²					
19-2		n w i ³					
44-2		l o ʔ ⁵²					
50-2		n e ³					
62-2		s a ⁵²					
70-2		p a n ²³					
75-2		m j a ʔ ⁵²					
97-2		k j a̰ ŋ ³					
112-2		x a ⁵²					
122-2		m j au ʔ ⁵²					
127-2		kʰ a ⁵²					
132-2		w a ʔ ⁵²					
133-2		n a ⁵²					
135-2		n au ⁵²					
142-2		t w i ³					
143-2		ŋ a ⁵²					
149-2		ʔ a ⁵²					
152-2		ŋ a ⁵²					
157-2		p a ⁵²					
183-2		ʔ u ³					
184-2		n a ʔ ⁵²					
185-2		x a m ³					
189-2		m j a ʔ ⁵²					
192-2		n a ʔ ⁵²					
195-2		n a ⁵²					
200-2		ɣ a ⁵²					
216-2		ts a ŋ ²³					
218-2		l a ʔ ⁵²					
225-2		ts a ŋ ²³					
235-2		kʰ i ³					
244-2		s au ⁵²					
253-2		m i ³					
270-2		m i ⁵²					
278-2		m j a̰ ŋ ³					
279-2		w ã ⁵²					
285-2		j a̰ m ³					
308-2		pʰ j ə ²³					
322-2		m i ⁵²					
325-2		kʰ a ²³					
337-2		m j o ŋ ³					
341-2		t a ⁵²					
347-2		s au ʔ ⁵²					
362-2		ɣ i ³					
391-2		ʔ ẽ ³					
394-2		m a ʔ ⁵²					
397-2		ʃ ɛ t ⁵²					
443-2		n j a̰ p ⁵²					
460-2		ʃ ɛ t ⁵²					
463-2		w i ³					
464-2		ʔ a ŋ ³					
473-2		ts ḛ ʔ ⁵²					
476-2		kʰ j a k ⁵²					
481-2		ts ai ³					
494-2		k i ⁵²					
496-2		n w i ²³					
516-2		au n ²³					
1-3			m au ³				
4-3			l o ³				
