COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³⁴						
4-1	l a̰ ⁵						
18-1	n j ɛ n ³⁵						
19-1	n j ei ⁴⁵						
44-1	l u k ³						
50-1	x j e n ³						
62-1	s ai ʔ ⁵						
70-1	p a n ³⁴						
75-1	m a̰ n ²⁵						
97-1	tʃʰ a ŋ ⁵						
112-1	tsʰ ɔ ⁵						
122-1	n j u k ⁴²						
127-1	kʰ w i ⁴⁵						
132-1	w u ʔ ⁴²						
133-1	n j u ³						
135-1	n au ⁵						
142-1	d z w i ³¹						
143-1	ŋ ɔ̰ ʔ ⁵²						
149-1	ʔ u ʔ ⁵³						
152-1	n ⁴³						
157-1	p ṵ ⁵						
183-1	ʔ u ⁴⁵						
184-1	n u k ⁴²						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³						
192-1	n ɔ̰ ³						
195-1	n ɔ ³						
200-1	dʒ ei ⁵						
216-1	t j ɛ̰ n ⁵						
218-1	l ɔ ʔ ⁴²						
225-1	s ai ⁵						
235-1	kʰ j ei ³						
244-1	s w i ⁵						
253-1	m ɛ ³¹						
270-1	n j ḭ ʔ ³⁴						
278-1	n j e ŋ ³¹						
279-1	w ʊ ³						
285-1	j ḛ n ³						
308-1	t j ḛ ⁵						
322-1	n j i ³						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³¹						
341-1	d z ɔ ³						
347-1	ʃ o k ⁵²						
362-1	j i ³¹						
391-1	j ɛ̰ t ⁵³						
394-1	m ɔ ʔ ³¹						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ̰ p ⁵²						
460-1	s a t ⁵²						
463-1	w i ³¹						
464-1	ʔ u ŋ ⁵						
473-1	s ɔ m ⁵³						
476-1	kʰ j u k ⁵³						
481-1	tsʰ i ³						
494-1	g u ⁵⁴						
496-1	x j e ŋ ³						
516-1	w ɛ ³						
522-1	n ɔ ʔ ³¹						
523-1	tʰ j ɨu ³						
524-1	n ɛ ³¹						
540-1	kʰ ɔ ⁵						
3-1	p w i ³¹						
6-1	g i ²						
7-1	dʒ ə ³²						
20-1	n a p ³						
51-1	ŋ w i ⁴²						
64-1	k ɔ̰ ³¹						
65-1	k ṵ k ⁵⁴						
66-1	d z u ³⁴						
71-1	ʃ i ⁵						
72-1	ʔ a ³²						
76-1	w u ³⁴						
77-1	n j i ʔ ⁴						
78-1	m au ³¹						
82-1	pʰ ɨ ŋ ⁵						
87-1	ŋ ɔ ʔ ³						
93-1	l a̰ m ⁵						
94-1	m j ɛ ³						
100-1	s o n ³						
116-1	l u ³						
119-1	w ɔ m ³¹						
124-1	t j ṵ ³						
136-1	l w i ⁴						
137-1	kʰ j æu ³						
144-1	s w a t ⁵⁴						
145-1	d u ŋ ³¹						
146-1	m au ⁴⁵						
150-1	g j ɔ ʔ ³¹						
154-1	n j i ³¹						
165-1	g w a n ⁵						
166-1	tʰ j ɔ ⁴²						
169-1	k j a̰ ŋ ³						
170-1	d j ɔ ³						
171-1	j a ŋ ³						
174-1	d j a m ³						
181-1	n j ɔ ʔ ⁴³						
193-1	b ə ⁴						
205-1	n ɔ̰ t ⁵⁴						
206-1	m i ⁴²						
212-1	tʃʰ ɔ ʔ ⁵⁴						
214-1	l a m ³²						
217-1	ʔ u ³						
224-1	n j æ̰ ṵ ⁵						
228-1	b au ⁵						
238-1	j æu ³						
241-1	ʃ ɔ ⁵						
246-1	g j ɛ̰ ³						
256-1	ʔ a ³						
257-1	b a ⁵						
272-1	m u ⁵						
273-1	ʔ a ³						
274-1	m a ŋ ³						
286-1	kʰ w a m ⁵						
289-1	kʰ o ŋ ³						
294-1	ʔ u ⁵						
301-1	j ɔ ʔ ³¹						
306-1	tʃʰ oa p ⁵¹						
307-1	ŋ a̰ p ⁵⁴						
321-1	tʰ a ŋ ⁵						
331-1	n j ɔ̃ ³						
332-1	l a̰ m ³						
335-1	g j ɔ ⁴¹						
336-1	n a m ³¹						
340-1	ŋ au ³¹						
342-1	n j æ̰ ṵ ³						
360-1	dʒ ɔ̰ p ⁵³						
376-1	s ɛ ʔ ⁵³						
389-1	n a̰ ḭ ⁵³						
395-1	n ɔ ³¹						
401-1	ʃ ei ³						
404-1	d z o̰ ŋ ³						
408-1	d u ³						
409-1	l ɔ ³¹						
413-1	d w a n ³						
421-1	n j ɔ p ⁴¹						
425-1	d j e ³						
430-1	tʃʰ ei ⁵						
442-1	d u ³						
447-1	tʰ u ŋ ⁵						
456-1	g ɔ ⁵						
458-1	ʃ o ⁵						
469-1	kʰ au ⁵						
470-1	d ai ³						
475-1	ŋ ³						
477-1	n j ɛ̰ ⁵³						
478-1	x j ɛ ⁵³						
480-1	g au ³⁴						
485-1	n j ɔ ³⁵						
495-1	ŋ i ³¹						
499-1	n j a̰ ŋ ³						
500-1	n j æ̰ n ⁴¹						
501-1	tʰ ɨu ³						
506-1	d z ə ³¹						
507-1	n ɔ ʔ ³²						
509-1	l ai ⁵						
510-1	d j e ŋ ⁵						
511-1	l ɔ ʔ ⁴³						
521-1	h au ³						
525-1	n j æu ³¹						
538-1	tʃʰ au ³						
539-1	dʒ j ɛ n ³						
544-1	k j ṵ k ⁵⁴						
550-1	d z u ʔ ³¹						
562-1	n j u ŋ ³						
568-1	g i ³¹						
2-1	kʰ o ŋ ³²						
11-1	s ai ³⁵						
12-1	j a ŋ ⁵³						
22-1	k u ŋ ⁵¹						
28-1	b w i ⁴²						
