ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGNACY
725	139_abdomen	abdomen	Achang	Achang	wom³ dau³	wom³ dau³	w o m ³ + d au ³	acha1249	24.25	97.8333	Sino-Tibetan	210 211	210 211
726	139_abdomen	abdomen	Bela	Bela	xuĩ³ tau⁵²	xuĩ³ tau⁵²	x u/w ĩ ³ + t au ⁵²	pela1242	24.45	98.6	Sino-Tibetan	210 211	210 211
727	139_abdomen	abdomen	Lashi	Lashi	wɛm³ dau³²	wɛm³ dau³²	w ɛ m ³ + d au ³²	lash1243	24.45	98.6	Sino-Tibetan	210 211	210 211
728	139_abdomen	abdomen	WrittenBurmese	Written_Burmese	wam:	wam:	w a mː/m	oldb1235	21.16	94.90	Sino-Tibetan	210	210
729	139_abdomen	abdomen	Zaiwa	Zaiwa	βʷam³ dau³¹	βʷam³ dau³¹	β w a m ³ + d au ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	210 211	210 211
730	139_abdomen	abdomen	Maru	Maru	duk³²	duk³²	d u k ³²	maru1249	24.45	98.6	Sino-Tibetan	211	211
1342	259_afraid	afraid	Achang	Achang	gjuk⁴²	gjuk⁴²	g j u k ⁴²	acha1249	24.25	97.8333	Sino-Tibetan	388	388
1343	259_afraid	afraid	Lashi	Lashi	gjok³²	gjok³²	g j o k ³²	lash1243	24.45	98.6	Sino-Tibetan	388	388
1344	259_afraid	afraid	Maru	Maru	gjæuɂ⁴³	gjæuɂ⁴³	g j æu ʔ ⁴³	maru1249	24.45	98.6	Sino-Tibetan	388	388
1345	259_afraid	afraid	WrittenBurmese	Written_Burmese	krauk	krauk	k r au k	oldb1235	21.16	94.90	Sino-Tibetan	388	388
1346	259_afraid	afraid	Zaiwa	Zaiwa	gjuɂ³²	gjuɂ³²	g j u ʔ ³²	zaiw1241	24.45	98.6	Sino-Tibetan	388	388
1739	335_all	all	Achang	Achang	ŋan⁵	ŋan⁵	ŋ a n ⁵	acha1249	24.25	97.8333	Sino-Tibetan	487	487
1740	335_all	all	Lashi	Lashi	ŋãɪ²⁴	ŋãɪ²⁴	ŋ ãɪ ²⁴	lash1243	24.45	98.6	Sino-Tibetan	487	487
1347	260_angry	angry	Achang	Achang	nạị⁵³ jɔ̣³²	nạị⁵³ jɔ̣³²	n a̰ ḭ ⁵³ + j ɔ̰ ³²	acha1249	24.25	97.8333	Sino-Tibetan	389 390	389 390
1348	260_angry	angry	Bela	Bela	nạk⁵² ja⁵²	nạk⁵² ja⁵²	n a̰ k ⁵² + j a ⁵²	pela1242	24.45	98.6	Sino-Tibetan	389 390	389 390
1349	260_angry	angry	Lashi	Lashi	nək³² jɔ²¹	nək³² jɔ²¹	n ə k ³² + j ɔ ²¹	lash1243	24.45	98.6	Sino-Tibetan	389 390	389 390
1350	260_angry	angry	Maru	Maru	nạk⁵⁴ jo³⁵	nạk⁵⁴ jo³⁵	n a̰ k ⁵⁴ + j o ³⁵	maru1249	24.45	98.6	Sino-Tibetan	389 390	389 390
1351	260_angry	angry	WrittenBurmese	Written_Burmese	mjak	mjak	m j a k	oldb1235	21.16	94.90	Sino-Tibetan	389	389
1352	260_angry	angry	Zaiwa	Zaiwa	nɪk⁵ jɔ⁵¹	nɪk⁵ jɔ⁵¹	n ɪ k ⁵ + j ɔ ⁵¹	zaiw1241	24.45	98.6	Sino-Tibetan	389 390	389 390
374	72_animal	animal	Achang	Achang	gau³⁴ njæ̣ụɂ⁵²	gau³⁴ njæ̣ụɂ⁵²	g au ³⁴ + n j æ̰ ṵ ʔ ⁵²	acha1249	24.25	97.8333	Sino-Tibetan	113 114	113 114
375	72_animal	animal	Lashi	Lashi	kau² njauk⁵³	kau² njauk⁵³	k au ² + n j au k ⁵³	lash1243	24.45	98.6	Sino-Tibetan	113 114	113 114
376	72_animal	animal	WrittenBurmese	Written_Burmese	kauŋ	kauŋ	k au ŋ	oldb1235	21.16	94.90	Sino-Tibetan	113	113
1294	248_answer	answer	Lashi	Lashi	duɛm³² deɂ³²	duɛm³² deɂ³²	d u/w ɛ m ³² + d e ʔ ³²	lash1243	24.45	98.6	Sino-Tibetan	369 370	369 370
1295	248_answer	answer	Maru	Maru	duk⁵ da⁴³	duk⁵ da⁴³	d u k ⁵ + d a ⁴³	maru1249	24.45	98.6	Sino-Tibetan	369 370	369 370
1296	248_answer	answer	Phon	Phon	tʰu³¹	tʰu³¹	tʰ u ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	369	369
1297	248_answer	answer	Zaiwa	Zaiwa	tạụ³¹	tạụ³¹	t a̰u ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	369	369
1298	248_answer	answer	Achang	Achang	pʰuk⁵³	pʰuk⁵³	pʰ u k ⁵³	acha1249	24.25	97.8333	Sino-Tibetan	371	371
1299	248_answer	answer	WrittenBurmese	Written_Burmese	pʰreuˀ	pʰreuˀ	pʰ r euˀ	oldb1235	21.16	94.90	Sino-Tibetan	371	371
773	147_armpit	armpit	Lashi	Lashi	tʃʰæp⁵³ kʰjoŋ⁴	tʃʰæp⁵³ kʰjoŋ⁴	tʃʰ æ p ⁵³ + kʰ j o ŋ ⁴	lash1243	24.45	98.6	Sino-Tibetan	222 223	222 223
774	147_armpit	armpit	Maru	Maru	tʃʰɛɂ⁴³ kʰæuŋ⁴²	tʃʰɛɂ⁴³ kʰæuŋ⁴²	tʃʰ ɛ ʔ ⁴³ + kʰ æu ŋ ⁴²	maru1249	24.45	98.6	Sino-Tibetan	222 223	222 223
775	147_armpit	armpit	WrittenBurmese	Written_Burmese	kʰjuiŋ:	kʰjuiŋ:	kʰ j u/w i ŋː/ŋ	oldb1235	21.16	94.90	Sino-Tibetan	223	223
1145	219_arrow	arrow	Achang	Achang	njɔ̃³	njɔ̃³	n j ɔ̃ ³	acha1249	24.25	97.8333	Sino-Tibetan	331	331
1146	219_arrow	arrow	Lashi	Lashi	mjɔ̃³	mjɔ̃³	m j ɔ̃ ³	lash1243	24.45	98.6	Sino-Tibetan	331	331
1147	219_arrow	arrow	Maru	Maru	mi³	mi³	m i ³	maru1249	24.45	98.6	Sino-Tibetan	331	331
1148	219_arrow	arrow	Phon	Phon	mja³¹	mja³¹	m j a ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	331	331
1149	219_arrow	arrow	WrittenBurmese	Written_Burmese	hmra:	hmra:	h m r aː	oldb1235	21.16	94.90	Sino-Tibetan	331	331
1150	219_arrow	arrow	Zaiwa	Zaiwa	mjɔ³¹	mjɔ³¹	m j ɔ ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	331	331
1119	213_ashes	ashes	Maru	Maru	kʰjum⁴³	kʰjum⁴³	kʰ j u m ⁴³	maru1249	24.45	98.6	Sino-Tibetan	323	323
1120	213_ashes	ashes	WrittenBurmese	Written_Burmese	kʰap	kʰap	kʰ a p	oldb1235	21.16	94.90	Sino-Tibetan	323	323
1121	213_ashes	ashes	Achang	Achang	jap⁴²	jap⁴²	j a p ⁴²	acha1249	24.25	97.8333	Sino-Tibetan	324	324
1122	213_ashes	ashes	Lashi	Lashi	jæp³	jæp³	j æ p ³	lash1243	24.45	98.6	Sino-Tibetan	324	324
1123	213_ashes	ashes	Zaiwa	Zaiwa	vap⁵	vap⁵	v a p ⁵	zaiw1241	24.45	98.6	Sino-Tibetan	324	324
720	138_back	back	Achang	Achang	noŋ⁵ kʰoŋ³	noŋ⁵ kʰoŋ³	n o ŋ ⁵ + kʰ o ŋ ³	acha1249	24.25	97.8333	Sino-Tibetan	208 209	208 209
721	138_back	back	Lashi	Lashi	noŋ⁴⁵ kʰoŋ³¹	noŋ⁴⁵ kʰoŋ³¹	n o ŋ ⁴⁵ + kʰ o ŋ ³¹	lash1243	24.45	98.6	Sino-Tibetan	208 209	208 209
722	138_back	back	WrittenBurmese	Written_Burmese	nauk kjauk	nauk kjauk	n au k + k j au k	oldb1235	21.16	94.90	Sino-Tibetan	208 209	208 209
723	138_back	back	Phon	Phon	tʰaŋ	tʰaŋ	tʰ a ŋ	hpon1238	25.3248194	97.3544031	Sino-Tibetan	209	209
724	138_back	back	Zaiwa	Zaiwa	kʰuŋ⁵³	kʰuŋ⁵³	kʰ u ŋ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	209	209
2043	396_bald	bald	Achang	Achang	la³	la³	l a ³	acha1249	24.25	97.8333	Sino-Tibetan	564	564
2044	396_bald	bald	WrittenBurmese	Written_Burmese	prauŋ	prauŋ	p r au ŋ	oldb1235	21.16	94.90	Sino-Tibetan	564	564
2045	396_bald	bald	Zaiwa	Zaiwa	laŋ³ ŋɔt³²	laŋ³ ŋɔt³²	l a ŋ ³ + ŋ ɔ t ³²	zaiw1241	24.45	98.6	Sino-Tibetan	564 565	564 565
2046	396_bald	bald	Lashi	Lashi	gjɛ³¹	gjɛ³¹	g j ɛ ³¹	lash1243	24.45	98.6	Sino-Tibetan	566	566
2047	396_bald	bald	Maru	Maru	kjɛ̣t⁵³ ŋa³⁴	kjɛ̣t⁵³ ŋa³⁴	k j ɛ̰ t ⁵³ + ŋ a ³⁴	maru1249	24.45	98.6	Sino-Tibetan	566 565	566 565
261	48_bamboo	bamboo	Achang	Achang	wu³⁴	wu³⁴	w u ³⁴	acha1249	24.25	97.8333	Sino-Tibetan	76	76
262	48_bamboo	bamboo	Lashi	Lashi	wɔ³	wɔ³	w ɔ ³	lash1243	24.45	98.6	Sino-Tibetan	76	76
263	48_bamboo	bamboo	Maru	Maru	vo⁴	vo⁴	v o ⁴	maru1249	24.45	98.6	Sino-Tibetan	76	76
264	48_bamboo	bamboo	Phon	Phon	wa³¹	wa³¹	w a ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	76	76
265	48_bamboo	bamboo	WrittenBurmese	Written_Burmese	wa:	wa:	w aː	oldb1235	21.16	94.90	Sino-Tibetan	76	76
266	48_bamboo	bamboo	Zaiwa	Zaiwa	wa³¹	wa³¹	w a ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	76	76
267	49_bambooshoot	bamboo shoot	Achang	Achang	njiɂ⁴	njiɂ⁴	n j i ʔ ⁴	acha1249	24.25	97.8333	Sino-Tibetan	77	77
268	49_bambooshoot	bamboo shoot	Lashi	Lashi	mjuk³	mjuk³	m j u k ³	lash1243	24.45	98.6	Sino-Tibetan	77	77
269	49_bambooshoot	bamboo shoot	Maru	Maru	mạk⁴²	mạk⁴²	m a̰ k ⁴²	maru1249	24.45	98.6	Sino-Tibetan	77	77
270	49_bambooshoot	bamboo shoot	Phon	Phon	maiɂ³¹	maiɂ³¹	m ai ʔ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	77	77
271	49_bambooshoot	bamboo shoot	WrittenBurmese	Written_Burmese	mrac	mrac	m r a ts	oldb1235	21.16	94.90	Sino-Tibetan	77	77
272	49_bambooshoot	bamboo shoot	Zaiwa	Zaiwa	nik³²	nik³²	n i k ³²	zaiw1241	24.45	98.6	Sino-Tibetan	77	77
303	57_banana	banana	Achang	Achang	ŋɔɂ³ njụk³⁵	ŋɔɂ³ njụk³⁵	ŋ ɔ ʔ ³ + n j ṵ k ³⁵	acha1249	24.25	97.8333	Sino-Tibetan	87 88	87 88
304	57_banana	banana	Lashi	Lashi	ŋɔ³ mjok⁵⁴	ŋɔ³ mjok⁵⁴	ŋ ɔ ³ + m j o k ⁵⁴	lash1243	24.45	98.6	Sino-Tibetan	87 88	87 88
305	57_banana	banana	Maru	Maru	ŋoɂ³ mjæuɂ³²	ŋoɂ³ mjæuɂ³²	ŋ o ʔ ³ + m j æu ʔ ³²	maru1249	24.45	98.6	Sino-Tibetan	87 88	87 88
306	57_banana	banana	Phon	Phon	ŋuɂ³¹	ŋuɂ³¹	ŋ u ʔ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	87	87
307	57_banana	banana	WrittenBurmese	Written_Burmese	hŋak	hŋak	h ŋ a k	oldb1235	21.16	94.90	Sino-Tibetan	87	87
308	57_banana	banana	Zaiwa	Zaiwa	ŋɔ⁴⁵ mjuɂ⁵³	ŋɔ⁴⁵ mjuɂ⁵³	ŋ ɔ ⁴⁵ + m j u ʔ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	87 88	87 88
210	40_bark	bark	Achang	Achang	kụk⁵⁴	kụk⁵⁴	k ṵ k ⁵⁴	acha1249	24.25	97.8333	Sino-Tibetan	65	65
211	40_bark	bark	Lashi	Lashi	gok⁵³	gok⁵³	g o k ⁵³	lash1243	24.45	98.6	Sino-Tibetan	65	65
212	40_bark	bark	Maru	Maru	kạụɂ⁵⁴	kạụɂ⁵⁴	k a̰u ʔ ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	65	65
213	40_bark	bark	Phon	Phon	kʰue⁵⁵	kʰue⁵⁵	kʰ u/w e ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	65	65
214	40_bark	bark	WrittenBurmese	Written_Burmese	kʰauk	kʰauk	kʰ au k	oldb1235	21.16	94.90	Sino-Tibetan	65	65
215	40_bark	bark	Zaiwa	Zaiwa	kụɂ⁵	kụɂ⁵	k ṵ ʔ ⁵	zaiw1241	24.45	98.6	Sino-Tibetan	65	65
423	82_bark	bark	Phon	Phon	kʰue⁵⁵	kʰue⁵⁵	kʰ u/w e ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	129	129
424	82_bark	bark	Zaiwa	Zaiwa	kʰui³²	kʰui³²	kʰ u/w i ³²	zaiw1241	24.45	98.6	Sino-Tibetan	129	129
425	82_bark	bark	Achang	Achang	dʒjæp⁴²	dʒjæp⁴²	dʒ j æ p ⁴²	acha1249	24.25	97.8333	Sino-Tibetan	130	130
426	82_bark	bark	Lashi	Lashi	gjæp³	gjæp³	g j æ p ³	lash1243	24.45	98.6	Sino-Tibetan	130	130
427	82_bark	bark	Maru	Maru	ɣeɂ³	ɣeɂ³	ɣ e ʔ ³	maru1249	24.45	98.6	Sino-Tibetan	130	130
1518	294_bathe	bathe	Achang	Achang	guŋ⁴³	guŋ⁴³	g u ŋ ⁴³	acha1249	24.25	97.8333	Sino-Tibetan	431	431
1519	294_bathe	bathe	Lashi	Lashi	goŋ³¹	goŋ³¹	g o ŋ ³¹	lash1243	24.45	98.6	Sino-Tibetan	431	431
1520	294_bathe	bathe	Maru	Maru	gauŋ³¹	gauŋ³¹	g au ŋ ³¹	maru1249	24.45	98.6	Sino-Tibetan	431	431
1521	294_bathe	bathe	WrittenBurmese	Written_Burmese	kʰjui:	kʰjui:	kʰ j u/w iː	oldb1235	21.16	94.90	Sino-Tibetan	431	431
1522	294_bathe	bathe	Zaiwa	Zaiwa	guŋ³	guŋ³	g u ŋ ³	zaiw1241	24.45	98.6	Sino-Tibetan	431	431
384	74_bear	bear	Achang	Achang	wɔm³¹	wɔm³¹	w ɔ m ³¹	acha1249	24.25	97.8333	Sino-Tibetan	119	119
385	74_bear	bear	Lashi	Lashi	wuɂ³⁴	wuɂ³⁴	w u ʔ ³⁴	lash1243	24.45	98.6	Sino-Tibetan	119	119
386	74_bear	bear	Maru	Maru	we⁴¹	we⁴¹	w e ⁴¹	maru1249	24.45	98.6	Sino-Tibetan	119	119
